Date	EUR	RON	PLN
2021/1/4	360.9	74.13	79.33
2021/1/5	361.29	74.16	79.5
2021/1/6	357.27	73.37	79.2
2021/1/7	356.78	73.26	79.32
2021/1/8	359.7	73.86	79.62
2021/1/11	360.6	74	79.53
2021/1/12	360.6	74.03	79.73
2021/1/13	359.37	73.74	79.38
2021/1/14	359.62	73.79	79.23
2021/1/15	359.3	73.73	79.02
2021/1/18	360.63	73.99	79.3
2021/1/19	359.27	73.71	79.24
2021/1/20	357.23	73.3	78.96
2021/1/21	357.25	73.28	78.85
2021/1/22	356.81	73.18	78.63
2021/1/25	357.32	73.3	78.65
2021/1/26	358.3	73.5	78.75
2021/1/27	359.78	73.81	79.13
2021/1/28	360.38	73.91	79.21
2021/1/29	358.51	73.49	79.01
2021/2/1	356.6	73.14	79
2021/2/2	355.2	72.86	78.87
2021/2/3	355.94	73.06	79.26
2021/2/4	355.81	72.98	79.11
2021/2/5	356.44	73.1	79.24
2021/2/8	358.19	73.48	79.82
2021/2/9	358.78	73.58	80.14
2021/2/10	358.09	73.44	79.91
2021/2/11	356.76	73.2	79.23
2021/2/12	359.3	73.68	79.8
2021/2/15	359.12	73.66	80.08
2021/2/16	357.65	73.34	79.66
2021/2/17	359.05	73.61	79.75
2021/2/18	358.8	73.59	79.99
2021/2/19	358.65	73.55	79.88
2021/2/22	359.24	73.67	79.9
2021/2/23	359.61	73.72	79.74
2021/2/24	359.23	73.67	79.53
2021/2/25	360.17	73.92	79.8
2021/2/26	361.01	74.06	79.88
2021/3/1	362.82	74.4	80.21
2021/3/2	363.85	74.63	80.19
2021/3/3	363.55	74.55	80.1
2021/3/4	364.56	74.75	80.05
2021/3/5	366.42	75.03	80.04
2021/3/8	367.75	75.28	80.08
2021/3/9	366.4	74.99	79.93
2021/3/10	366.83	75.06	80.24
2021/3/11	366.12	74.91	79.94
2021/3/12	366.38	75	79.82
2021/3/16	367.34	75.19	79.95
2021/3/17	367.46	75.19	79.77
2021/3/18	367.71	75.24	79.54
2021/3/19	368.25	75.37	79.66
2021/3/22	367.33	75.19	79.64
2021/3/23	366.9	75.05	79.62
2021/3/24	365.62	74.78	79
2021/3/25	364.71	74.63	78.66
2021/3/26	364.13	74.5	78.57
2021/3/29	362.72	74.15	77.9
2021/3/30	363.11	73.9	78.07
2021/3/31	363.73	73.84	78.01
2021/4/1	361.93	73.66	78.27
2021/4/6	361.4	73.5	78.47
2021/4/7	360.45	73.3	78.56
2021/4/8	358.7	72.89	78.69
2021/4/9	358.67	72.86	78.98
2021/4/12	357.09	72.55	78.77
2021/4/13	358.57	72.84	78.56
2021/4/14	358.94	72.88	78.78
2021/4/15	358.91	72.87	78.82
2021/4/16	360.84	73.23	79.39
2021/4/19	361.31	73.33	79.42
2021/4/20	360.97	73.22	79.23
2021/4/21	362.16	73.49	79.47
2021/4/22	363.21	73.73	79.71
2021/4/23	363.4	73.79	79.59
2021/4/26	363.85	73.9	79.85
2021/4/27	363.11	73.7	79.6
2021/4/28	362.01	73.46	78.99
2021/4/29	361.1	73.3	78.87
2021/4/30	359.59	72.98	78.76
2021/5/3	360.21	73.12	79.04
2021/5/4	360.45	73.17	79.14
2021/5/5	360.08	73.08	78.71
2021/5/6	358.72	72.81	78.29
2021/5/7	358.54	72.78	78.34
2021/5/10	358.2	72.71	78.48
2021/5/11	358.71	72.79	78.62
2021/5/12	357.81	72.62	78.75
2021/5/13	356.91	72.43	78.57
2021/5/14	356.16	72.31	78.58
2021/5/17	352.47	71.55	77.81
2021/5/18	350.99	71.25	77.54
2021/5/19	351.47	71.33	77.6
2021/5/20	349.76	70.99	77.41
2021/5/21	349.51	70.94	77.75
2021/5/25	348.42	70.74	77.76
2021/5/26	350.32	71.12	77.98
2021/5/27	349.16	70.99	77.61
2021/5/28	348	70.75	77.61
2021/5/31	348.24	70.76	77.7
2021/6/1	347.32	70.6	77.61
2021/6/2	346.38	70.4	77.59
2021/6/3	346.43	70.37	77.67
2021/6/4	347.35	70.55	77.62
2021/6/7	345.64	70.21	77.54
2021/6/8	347.37	70.56	77.75
2021/6/9	347.05	70.47	77.95
2021/6/10	346.3	70.35	77.29
2021/6/11	346.08	70.32	77.39
2021/6/14	350.14	71.18	77.8
2021/6/15	351.26	71.35	77.59
2021/6/16	351.14	71.31	77.55
2021/6/17	353.79	71.83	78.04
2021/6/18	355.38	72.13	78.1
2021/6/21	354.72	72	78.07
2021/6/22	353.85	71.83	78.02
2021/6/23	349.28	70.91	77.27
2021/6/24	349.51	70.96	77.16
2021/6/25	351.33	71.32	77.94
2021/6/28	351.1	71.28	77.87
2021/6/29	351.13	71.26	77.83
2021/6/30	351.9	71.42	77.86
2021/7/1	351.31	71.3	77.73
2021/7/2	351.76	71.39	77.76
2021/7/5	351.44	71.33	77.98
2021/7/6	353.54	71.78	78.51
2021/7/7	354.33	71.91	78.42
2021/7/8	358.1	72.67	78.84
2021/7/9	355.98	72.24	78.28
2021/7/12	355.34	72.12	77.97
2021/7/13	356.35	72.33	78.04
2021/7/14	358.65	72.77	78.16
2021/7/15	358.94	72.83	78.47
2021/7/16	359.29	72.88	78.39
2021/7/19	360.09	73.08	78.51
2021/7/20	359.55	72.97	78.21
2021/7/21	359.73	73	78.25
2021/7/22	359.01	72.89	78.44
2021/7/23	358.76	72.88	78.44
2021/7/26	361.48	73.44	78.83
2021/7/27	361.8	73.53	78.73
2021/7/28	359.25	73.04	78.18
2021/7/29	358.81	72.9	78.22
2021/7/30	357.62	72.67	78.26
2021/8/2	356.85	72.55	78.21
2021/8/3	355.16	72.2	78.03
2021/8/4	354.8	72.13	78.04
2021/8/5	354.07	72.01	77.71
2021/8/6	353.07	71.83	77.61
2021/8/9	354.46	72.13	77.54
2021/8/10	352.58	71.72	77.18
2021/8/11	354.73	72.17	77.35
2021/8/12	353.21	71.86	76.93
2021/8/13	352.69	71.79	77.13
2021/8/16	351.86	71.64	77.07
2021/8/17	351.93	71.5	77.04
2021/8/18	351.13	71.28	77.05
2021/8/19	351.48	71.31	76.67
2021/8/23	350.07	70.96	76.3
2021/8/24	349.17	70.84	76.14
2021/8/25	347.35	70.47	76.03
2021/8/26	348.83	70.72	76.21
2021/8/27	350.73	71.06	76.56
2021/8/30	348.25	70.58	76.21
2021/8/31	348.48	70.59	76.76
2021/9/1	348.43	70.6	77.1
2021/9/2	347.15	70.29	77.02
2021/9/3	348.49	70.53	77.22
2021/9/6	347.41	70.25	76.96
2021/9/7	347.79	70.27	76.95
2021/9/8	349.84	70.72	77.45
2021/9/9	351.36	71.02	77.52
2021/9/10	351.1	71.02	77.16
2021/9/13	349.77	70.72	77.06
2021/9/14	349.72	70.65	76.77
2021/9/15	349.49	70.61	76.81
2021/9/16	348.9	70.51	76.28
2021/9/17	351.42	71.02	76.74
2021/9/20	353.75	71.48	76.9
2021/9/21	352.89	71.3	76.46
2021/9/22	354.3	71.59	76.49
2021/9/23	355.39	71.81	77.23
2021/9/24	356.68	72.06	77.36
2021/9/27	357.71	72.27	77.85
2021/9/28	359.41	72.61	77.81
2021/9/29	359.47	72.63	77.64
2021/9/30	360.52	72.88	77.81
2021/10/1	359.21	72.58	78.19
2021/10/4	356.21	71.99	77.92
2021/10/5	357.05	72.15	77.57
2021/10/6	359.87	72.71	77.91
2021/10/7	358.42	72.43	78.81
2021/10/8	359.46	72.63	78.21
2021/10/11	361.58	73.06	78.39
2021/10/12	359.89	72.69	78.47
2021/10/13	360.34	72.81	78.67
2021/10/14	359.77	72.67	78.57
2021/10/15	359.76	72.65	78.65
2021/10/18	360.86	72.93	78.97
2021/10/19	359.99	72.75	78.76
2021/10/20	362.88	73.31	79.15
2021/10/21	361.65	73.12	78.72
2021/10/22	363.24	73.41	78.84
2021/10/25	364.46	73.68	79.2
2021/10/26	365.36	73.85	79.2
2021/10/27	365.34	73.85	79.13
2021/10/28	363.84	73.5	78.67
2021/10/29	360.8	72.88	78.05
2021/11/2	360.22	72.77	78.06
2021/11/3	359.09	72.55	78.06
2021/11/4	360.19	72.79	78.33
2021/11/5	359.88	72.7	78.11
2021/11/8	359.87	72.71	78.31
2021/11/9	362.23	73.18	78.87
2021/11/10	361.53	73.06	78.58
2021/11/11	365.15	73.79	78.86
2021/11/12	365.43	73.86	78.75
2021/11/15	367.08	74.17	79.19
2021/11/16	365.64	73.88	78.42
2021/11/17	365.24	73.81	78.38
2021/11/18	363.66	73.47	78.07
2021/11/19	365.03	73.77	77.94
2021/11/22	369.86	74.72	78.37
2021/11/23	371.35	75.03	78.71
2021/11/24	368.29	74.42	78.69
2021/11/25	366.69	74.06	78.58
2021/11/26	367.69	74.27	78.24
2021/11/29	368.63	74.48	78.46
2021/11/30	366.83	74.1	78.31
2021/12/1	364.35	73.63	78.37
2021/12/2	362.22	73.19	78.75
2021/12/3	363.51	73.43	79.19
2021/12/6	363.94	73.55	79.31
2021/12/7	365.65	73.87	79.49
2021/12/8	367.62	74.3	80.05
2021/12/9	365.85	73.91	79.17
2021/12/10	365.75	73.89	79.28
2021/12/13	366.51	74.05	79.31
2021/12/14	367.03	74.16	79.05
2021/12/15	368.76	74.49	79.78
2021/12/16	368.92	74.51	79.68
2021/12/17	367.71	74.28	79.35
2021/12/20	367.12	74.15	79.14
2021/12/21	367.98	74.35	79.57
2021/12/22	367.94	74.35	79.56
2021/12/23	369.52	74.64	79.71
2021/12/27	371.2	74.98	80.34
2021/12/28	369.52	74.64	80.3
2021/12/29	369.55	74.64	80.38
2021/12/30	369.71	74.69	80.52
2021/12/31	369	74.56	80.3
2022/1/3	367.66	74.31	80.13
2022/1/4	365.44	73.84	79.91
2022/1/5	361.71	73.1	79.21
2022/1/6	361.12	73.05	79.06
2022/1/7	359.36	72.69	78.85
2022/1/10	357.88	72.38	78.87
2022/1/11	357.39	72.28	78.63
2022/1/12	356.11	72.02	78.56
2022/1/13	355.15	71.81	78.45
2022/1/14	354.74	71.78	78.19
2022/1/17	355.89	72	78.7
2022/1/18	356.74	72.13	78.8
2022/1/19	356.48	72.1	78.73
2022/1/20	357.05	72.2	78.98
2022/1/21	357.02	72.2	78.8
2022/1/24	358.7	72.52	79.08
2022/1/25	360.52	72.92	78.72
2022/1/26	359.65	72.73	78.3
2022/1/27	358.69	72.53	78.47
2022/1/28	357.28	72.22	78.16
2022/1/31	358.11	72.39	77.9
2022/2/1	355.5	71.87	77.6
2022/2/2	355.25	71.82	78.1
2022/2/3	354.66	71.69	78.04
2022/2/4	354.51	71.65	77.96
2022/2/7	353.14	71.39	77.53
2022/2/8	353.69	71.5	78.13
2022/2/9	353.15	71.39	78.19
2022/2/10	353.52	71.49	78.77
2022/2/11	353.69	71.53	78.35
2022/2/14	357	72.19	77.99
2022/2/15	355.52	71.92	78.8
2022/2/16	354.49	71.77	78.93
2022/2/17	356.14	72.04	79
2022/2/18	356.35	72.08	78.72
2022/2/21	356.11	72.01	78.79
2022/2/22	357.14	72.21	78.61
2022/2/23	356.55	72.09	78.61
2022/2/24	364.45	73.63	78.65
2022/2/25	368.17	74.4	78.97
2022/2/28	369.8	74.74	78.82
2022/3/1	372.46	75.27	78.81
2022/3/2	380.47	76.88	79.22
2022/3/3	378.42	76.46	78.9
2022/3/4	381.71	77.11	78.96
2022/3/7	397.31	80.26	79.96
2022/3/8	388.08	78.4	78.94
2022/3/9	383.18	77.4	79.06
2022/3/10	380.06	76.8	79.13
2022/3/11	381.23	77.04	79.52
2022/3/16	372.2	75.21	79.02
2022/3/17	371.45	75.08	79.2
2022/3/18	373.54	75.49	79.09
2022/3/21	374.54	75.71	79.83
2022/3/22	373.46	75.48	79.49
2022/3/23	371.92	75.18	79.02
2022/3/24	375.27	75.83	78.87
2022/3/25	375.18	75.81	79.06
2022/3/28	373.15	75.39	79.3
2022/3/29	372.57	75.3	78.99
2022/3/30	367.22	74.2	78.9
2022/3/31	369.62	74.71	79.4
2022/4/1	367.52	74.32	79.15
2022/4/4	368.77	74.61	79.5
2022/4/5	370.49	74.92	79.97
2022/4/6	378.43	76.53	81.27
2022/4/7	381.83	77.25	82.13
2022/4/8	377.28	76.34	81.26
2022/4/11	379.99	76.89	81.8
2022/4/12	378.68	76.62	81.19
2022/4/13	378.11	76.51	81.41
2022/4/14	376.08	76.05	80.99
2022/4/19	373.19	75.53	80.48
2022/4/20	371.09	75.07	80.14
2022/4/21	371.6	75.18	79.9
2022/4/22	371.04	75.05	80.03
2022/4/25	373.14	75.85	80.44
2022/4/26	376.14	76.03	81.02
2022/4/27	380.41	76.91	80.8
2022/4/28	377.37	76.27	80.43
2022/4/29	377.12	76.19	80.95
2022/5/2	378.14	76.41	80.77
2022/5/3	382.38	77.29	81.24
2022/5/4	378.93	76.6	81.04
2022/5/5	378.26	76.43	81.03
2022/5/6	380.41	76.87	80.84
2022/5/9	383.6	77.54	81.54
2022/5/10	378.86	76.62	81.02
2022/5/11	379.46	76.67	81.24
2022/5/12	382.76	77.34	81.69
2022/5/13	384.08	77.63	82.24
2022/5/16	384.69	77.75	82.3
2022/5/17	387.5	78.31	83.18
2022/5/18	385.28	77.86	82.79
2022/5/19	386.01	78.02	83.18
2022/5/20	384.58	77.71	82.94
2022/5/23	382.6	77.33	82.86
2022/5/24	383.23	77.47	83.11
2022/5/25	385.03	77.93	83.74
2022/5/26	393.35	79.6	85.24
2022/5/27	392.82	79.47	85.2
2022/5/30	393.01	79.48	85.67
2022/5/31	394.05	79.7	86.12
2022/6/1	397.03	80.3	86.52
2022/6/2	394.53	79.85	85.99
2022/6/3	394.68	79.85	85.99
2022/6/7	389.61	78.83	84.97
2022/6/8	389.9	78.85	85.09
2022/6/9	394.71	79.8	86.17
2022/6/10	398.12	80.5	86.49
2022/6/13	397.69	80.41	85.81
2022/6/14	398.53	80.62	85.62
2022/6/15	398.5	80.58	85.43
2022/6/16	395.56	80	84.17
2022/6/17	398.81	80.63	84.94
2022/6/20	400.21	80.94	85.64
2022/6/21	396.4	80.12	85.29
2022/6/22	395.46	79.91	84.85
2022/6/23	399.58	80.77	84.84
2022/6/24	400.8	81.03	85.14
2022/6/27	403.52	81.59	85.93
2022/6/28	400.72	81.02	85.23
2022/6/29	396.27	80.17	84.65
2022/6/30	396.75	80.23	84.74
2022/7/1	398.74	80.62	84.5
2022/7/4	400.02	80.88	85.1
2022/7/5	404.79	81.87	85.46
2022/7/6	409.98	82.93	85.53
2022/7/7	412.97	83.45	86.1
2022/7/8	405.63	82.04	84.59
2022/7/11	409	82.74	85.17
2022/7/12	413.78	83.74	85.62
2022/7/13	410.43	83.02	84.77
2022/7/14	409.82	82.93	84.67
2022/7/15	404.08	81.78	83.98
2022/7/18	403.04	81.58	84.35
2022/7/19	399.1	80.79	83.63
2022/7/20	397.28	80.41	83.38
2022/7/21	401.59	81.29	84.41
2022/7/22	397.4	80.53	83.32
2022/7/25	396.36	80.41	83.92
2022/7/26	399.03	80.87	84.56
2022/7/27	404.1	81.9	84.53
2022/7/28	406.68	82.38	84.81
2022/7/29	404.2	81.91	85.29
2022/8/1	403.28	81.79	84.9
2022/8/2	397.93	80.76	84.46
2022/8/3	396.01	80.36	84.22
2022/8/4	396.49	80.48	83.93
2022/8/5	394.82	80.15	83.89
2022/8/8	392.66	79.75	83.5
2022/8/9	395.02	80.53	84.02
2022/8/10	401.29	81.67	85.12
2022/8/11	394.59	80.38	84.41
2022/8/12	393.04	80.4	83.93
2022/8/15	397.33	81.76	85.01
2022/8/16	404.01	82.69	86.07
2022/8/17	406.92	83.29	86.79
2022/8/18	405.05	82.94	85.72
2022/8/19	406.85	83.36	85.7
2022/8/22	405.83	83.07	85.43
2022/8/23	410.88	84.12	86.1
2022/8/24	411.24	84.19	86.09
2022/8/25	408.35	83.76	85.79
2022/8/26	409	83.92	86.25
2022/8/29	410.8	84.3	86.4
2022/8/30	407.29	83.68	86.08
2022/8/31	405.11	83.33	85.64
2022/9/1	401.28	82.66	85.11
2022/9/2	398.96	82.49	84.67
2022/9/5	403.83	83.78	85.45
2022/9/6	403.34	83.54	85.51
2022/9/7	401.49	82.68	85.2
2022/9/8	397.57	81.64	84.18
2022/9/9	395.48	80.81	83.96
2022/9/12	395.06	80.55	83.84
2022/9/13	396.42	80.6	84.19
2022/9/14	402.09	81.66	85.17
2022/9/15	405.65	82.33	86
2022/9/16	405.21	82.27	85.87
2022/9/19	400.98	81.44	85.06
2022/9/20	398.9	80.89	84.57
2022/9/21	403.14	81.54	84.96
2022/9/22	406.17	82.19	85.02
2022/9/23	406.29	82.17	85.42
2022/9/26	406.5	82.24	85.45
2022/9/27	407.45	82.43	85.55
2022/9/28	411.26	83.09	85.41
2022/9/29	420.21	84.9	86.37
2022/9/30	421.41	85.15	86.52
2022/10/3	422.51	85.38	87.51
2022/10/4	417.5	84.39	86.95
2022/10/5	422.4	85.54	87.71
2022/10/6	423.53	85.79	87.4
2022/10/7	423.77	85.76	87.16
2022/10/10	426.68	86.38	87.64
2022/10/11	427.89	86.68	87.83
2022/10/12	429.82	87.01	88.59
2022/10/13	432.94	87.59	89.31
2022/10/14	419.61	85	86.82
2022/10/17	419.2	84.89	86.89
2022/10/18	412.52	83.56	85.82
2022/10/19	412.93	83.7	86.04
2022/10/20	412.46	83.78	86.04
2022/10/21	413.14	84.03	86.35
2022/10/24	412.84	84.02	86.29
2022/10/25	412.69	84.15	86.35
2022/10/26	410.61	83.99	86.04
2022/10/27	407.71	83.56	85.85
2022/10/28	412.01	83.91	87.32
2022/11/2	408.3	83.14	86.79
2022/11/3	409.54	83.54	86.95
2022/11/4	402.82	82.27	85.89
2022/11/7	401.78	82.22	85.71
2022/11/8	401.1	81.99	85.54
2022/11/9	405.05	82.59	86.07
2022/11/10	401.91	82.16	85.28
2022/11/11	403.66	82.51	86.28
2022/11/14	406.16	82.91	86.83
2022/11/15	405.8	82.73	86.35
2022/11/16	407.13	82.78	86.77
2022/11/17	411.57	83.66	87.44
2022/11/18	410.5	83.12	87.18
2022/11/21	410.42	83.06	87.3
2022/11/22	408.51	82.78	86.77
2022/11/23	405.82	82.17	86.4
2022/11/24	414.44	84.05	88.25
2022/11/25	412.6	83.85	88.03
2022/11/28	408.3	82.9	87.13
2022/11/29	408.04	82.9	87.15
2022/11/30	407.67	82.82	87.32
2022/12/1	410	83.2	87.42
2022/12/2	408.78	82.89	87.2
2022/12/5	409.36	83.14	87.25
2022/12/6	414.34	84.29	88.15
2022/12/7	410.55	83.51	87.37
2022/12/8	414.49	84.29	88.24
2022/12/9	414.94	84.35	88.65
2022/12/12	417.81	84.84	89.05
2022/12/13	411.22	83.39	87.51
2022/12/14	408.41	82.89	87.1
2022/12/15	405.73	82.41	86.61
2022/12/16	406.09	82.55	86.52
2022/12/19	403.83	82.11	86.09
2022/12/20	403.16	82.04	86.17
2022/12/21	402.64	82.09	86.32
2022/12/22	402.23	82.17	86.42
2022/12/23	400.6	81.72	86.42
2022/12/27	401.96	81.7	86.32
2022/12/28	402.95	81.59	85.82
2022/12/29	402.54	81.4	85.72
2022/12/30	400.25	80.88	85.35
2023/1/2	400.66	81.04	85.64
2023/1/3	402.81	81.66	86.07
2023/1/4	397.14	80.55	85.1
2023/1/5	395.66	80.29	84.68
2023/1/6	396.68	80.48	84.5
2023/1/9	397.1	80.64	84.49
2023/1/10	398.26	80.85	84.71
2023/1/11	400.08	81.1	85.38
2023/1/12	399.29	80.87	85.18
2023/1/13	396.19	80.19	84.44
2023/1/16	398.98	80.69	84.92
2023/1/17	399.12	80.91	85.01
2023/1/18	394.81	80.03	83.81
2023/1/19	395.39	80.22	84.04
2023/1/20	395.88	80.36	83.99
2023/1/23	394.62	80.21	83.62
2023/1/24	396.68	80.64	84.23
2023/1/25	389.46	79.48	82.73
2023/1/26	388.61	79.55	82.23
2023/1/27	388.18	79.33	82.49
2023/1/30	391.96	79.93	83.12
2023/1/31	388.99	79.04	82.61
2023/2/1	390.13	79.38	82.86
2023/2/2	387.69	79.13	82.37
