date,category,value
2024/1/1 0:00,Biomass,108.0
2024/1/1 0:00,Fossil Gas,8.2
2024/1/1 0:00,Fossil Hard Coal,0.0
2024/1/1 0:00,Fossil Oil,0.0
2024/1/1 0:00,Geothermal,0.0175
2024/1/1 0:00,Hydro Pumped Storage,1056.2
2024/1/1 0:00,Hydro Run-of-river and Poundage,2989.1
2024/1/1 0:00,Hydro Water Reservoir,48.5
2024/1/1 0:00,Other,5.5
2024/1/1 0:00,Other Renewable,0.0
2024/1/1 0:00,Solar,0.0
2024/1/1 0:00,Waste,25.0
2024/1/1 0:00,Wind,175.0
2024/1/1 1:00,Biomass,0.0
2024/1/1 1:00,Fossil Gas,33.3
2024/1/1 1:00,Fossil Hard Coal,0.0
2024/1/1 1:00,Fossil Oil,0.0
2024/1/1 1:00,Geothermal,0.07
2024/1/1 1:00,Hydro Pumped Storage,0.0
2024/1/1 1:00,Hydro Run-of-river and Poundage,0.0
2024/1/1 1:00,Hydro Water Reservoir,123.9
2024/1/1 1:00,Other,22.0
2024/1/1 1:00,Other Renewable,0.0
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Waste,100.0
2024/1/1 1:00,Wind,983.0
2024/1/1 2:00,Biomass,70.0
2024/1/1 2:00,Fossil Gas,16.4
2024/1/1 2:00,Fossil Hard Coal,0.0
2024/1/1 2:00,Fossil Oil,0.0
2024/1/1 2:00,Geothermal,0.035
2024/1/1 2:00,Hydro Pumped Storage,883.5
2024/1/1 2:00,Hydro Run-of-river and Poundage,1997.2
2024/1/1 2:00,Hydro Water Reservoir,53.8
2024/1/1 2:00,Other,11.0
2024/1/1 2:00,Other Renewable,0.0
2024/1/1 2:00,Solar,0.0
2024/1/1 2:00,Waste,50.0
2024/1/1 2:00,Wind,786.0
2024/1/1 3:00,Biomass,70.0
2024/1/1 3:00,Fossil Gas,15.7
2024/1/1 3:00,Fossil Hard Coal,0.0
2024/1/1 3:00,Fossil Oil,0.0
2024/1/1 3:00,Geothermal,0.035
2024/1/1 3:00,Hydro Pumped Storage,926.6
2024/1/1 3:00,Hydro Run-of-river and Poundage,1944.7
2024/1/1 3:00,Hydro Water Reservoir,45.9
2024/1/1 3:00,Other,11.0
2024/1/1 3:00,Other Renewable,0.0
2024/1/1 3:00,Solar,0.0
2024/1/1 3:00,Waste,50.0
2024/1/1 3:00,Wind,1245.0
2024/1/1 4:00,Biomass,35.0
2024/1/1 4:00,Fossil Gas,23.8
2024/1/1 4:00,Fossil Hard Coal,0.0
2024/1/1 4:00,Fossil Oil,0.0
2024/1/1 4:00,Geothermal,0.0525
2024/1/1 4:00,Hydro Pumped Storage,485.6
2024/1/1 4:00,Hydro Run-of-river and Poundage,972.7
2024/1/1 4:00,Hydro Water Reservoir,80.8
2024/1/1 4:00,Other,16.5
2024/1/1 4:00,Other Renewable,0.0
2024/1/1 4:00,Solar,0.0
2024/1/1 4:00,Waste,75.0
2024/1/1 4:00,Wind,1780.0
2024/1/1 5:00,Biomass,70.0
2024/1/1 5:00,Fossil Gas,17.5
2024/1/1 5:00,Fossil Hard Coal,0.0
2024/1/1 5:00,Fossil Oil,0.0
2024/1/1 5:00,Geothermal,0.035
2024/1/1 5:00,Hydro Pumped Storage,777.8
2024/1/1 5:00,Hydro Run-of-river and Poundage,1985.9
2024/1/1 5:00,Hydro Water Reservoir,89.6
2024/1/1 5:00,Other,11.0
2024/1/1 5:00,Other Renewable,0.0
2024/1/1 5:00,Solar,0.0
2024/1/1 5:00,Waste,50.0
2024/1/1 5:00,Wind,739.0
2024/1/1 6:00,Biomass,35.0
2024/1/1 6:00,Fossil Gas,26.5
2024/1/1 6:00,Fossil Hard Coal,0.0
2024/1/1 6:00,Fossil Oil,0.0
2024/1/1 6:00,Geothermal,0.0525
2024/1/1 6:00,Hydro Pumped Storage,298.7
2024/1/1 6:00,Hydro Run-of-river and Poundage,988.8
2024/1/1 6:00,Hydro Water Reservoir,134.9
2024/1/1 6:00,Other,16.5
2024/1/1 6:00,Other Renewable,0.0
2024/1/1 6:00,Solar,0.0
2024/1/1 6:00,Waste,75.0
2024/1/1 6:00,Wind,770.0
2024/1/1 7:00,Biomass,35.0
2024/1/1 7:00,Fossil Gas,25.5
2024/1/1 7:00,Fossil Hard Coal,0.0
2024/1/1 7:00,Fossil Oil,0.0
2024/1/1 7:00,Geothermal,0.0525
2024/1/1 7:00,Hydro Pumped Storage,390.9
2024/1/1 7:00,Hydro Run-of-river and Poundage,993.6
2024/1/1 7:00,Hydro Water Reservoir,125.8
2024/1/1 7:00,Other,16.5
2024/1/1 7:00,Other Renewable,0.0
2024/1/1 7:00,Solar,0.0
2024/1/1 7:00,Waste,75.0
2024/1/1 7:00,Wind,1038.0
2024/1/1 8:00,Biomass,105.0
2024/1/1 8:00,Fossil Gas,8.5
2024/1/1 8:00,Fossil Hard Coal,0.0
2024/1/1 8:00,Fossil Oil,0.0
2024/1/1 8:00,Geothermal,0.0175
2024/1/1 8:00,Hydro Pumped Storage,1134.5
2024/1/1 8:00,Hydro Run-of-river and Poundage,3059.9
2024/1/1 8:00,Hydro Water Reservoir,39.3
2024/1/1 8:00,Other,5.5
2024/1/1 8:00,Other Renewable,0.0
2024/1/1 8:00,Solar,17.0
2024/1/1 8:00,Waste,25.0
2024/1/1 8:00,Wind,350.0
2024/1/1 9:00,Biomass,35.0
2024/1/1 9:00,Fossil Gas,24.6
2024/1/1 9:00,Fossil Hard Coal,0.0
2024/1/1 9:00,Fossil Oil,0.0
2024/1/1 9:00,Geothermal,0.0525
2024/1/1 9:00,Hydro Pumped Storage,317.9
2024/1/1 9:00,Hydro Run-of-river and Poundage,1049.7
2024/1/1 9:00,Hydro Water Reservoir,93.1
2024/1/1 9:00,Other,16.5
2024/1/1 9:00,Other Renewable,0.0
2024/1/1 9:00,Solar,184.0
2024/1/1 9:00,Waste,75.0
2024/1/1 9:00,Wind,1164.0
2024/1/1 10:00,Biomass,68.0
2024/1/1 10:00,Fossil Gas,16.5
2024/1/1 10:00,Fossil Hard Coal,0.0
2024/1/1 10:00,Fossil Oil,0.0
2024/1/1 10:00,Geothermal,0.035
2024/1/1 10:00,Hydro Pumped Storage,797.5999999999999
2024/1/1 10:00,Hydro Run-of-river and Poundage,2034.2
2024/1/1 10:00,Hydro Water Reservoir,94.1
2024/1/1 10:00,Other,11.0
2024/1/1 10:00,Other Renewable,0.0
2024/1/1 10:00,Solar,233.0
2024/1/1 10:00,Waste,50.0
2024/1/1 10:00,Wind,832.0
2024/1/1 11:00,Biomass,68.0
2024/1/1 11:00,Fossil Gas,16.299999999999997
2024/1/1 11:00,Fossil Hard Coal,0.0
2024/1/1 11:00,Fossil Oil,0.0
2024/1/1 11:00,Geothermal,0.035
