date,category,value
2024/1/1 0:00,Biomass,18.93
2024/1/1 0:00,Fossil Brown Coal/Lignite,1180.86
2024/1/1 0:00,Fossil Gas,333.39
2024/1/1 0:00,Fossil Hard Coal,61.17
2024/1/1 0:00,Hydro Pumped Storage,0.0
2024/1/1 0:00,Hydro Run-of-river and Poundage,60.76
2024/1/1 0:00,Hydro Water Reservoir,8.72
2024/1/1 0:00,Nuclear,2123.86
2024/1/1 0:00,Solar,0.01
2024/1/1 0:00,Waste,4.12
2024/1/1 0:00,Wind,95.85
2024/1/1 1:00,Biomass,19.35
2024/1/1 1:00,Fossil Brown Coal/Lignite,1154.45
2024/1/1 1:00,Fossil Gas,329.74
2024/1/1 1:00,Fossil Hard Coal,60.5
2024/1/1 1:00,Hydro Pumped Storage,0.0
2024/1/1 1:00,Hydro Run-of-river and Poundage,60.14
2024/1/1 1:00,Hydro Water Reservoir,8.72
2024/1/1 1:00,Nuclear,2122.7
2024/1/1 1:00,Solar,0.01
2024/1/1 1:00,Waste,4.1
2024/1/1 1:00,Wind,116.11
2024/1/1 2:00,Biomass,19.05
2024/1/1 2:00,Fossil Brown Coal/Lignite,1141.31
2024/1/1 2:00,Fossil Gas,330.19
2024/1/1 2:00,Fossil Hard Coal,60.68
2024/1/1 2:00,Hydro Pumped Storage,0.0
2024/1/1 2:00,Hydro Run-of-river and Poundage,59.08
2024/1/1 2:00,Hydro Water Reservoir,8.67
2024/1/1 2:00,Nuclear,2124.43
2024/1/1 2:00,Solar,0.01
2024/1/1 2:00,Waste,4.24
2024/1/1 2:00,Wind,151.61
2024/1/1 3:00,Biomass,19.08
2024/1/1 3:00,Fossil Brown Coal/Lignite,1137.0
2024/1/1 3:00,Fossil Gas,330.46
2024/1/1 3:00,Fossil Hard Coal,60.86
2024/1/1 3:00,Hydro Pumped Storage,0.0
2024/1/1 3:00,Hydro Run-of-river and Poundage,59.1
2024/1/1 3:00,Hydro Water Reservoir,8.72
2024/1/1 3:00,Nuclear,2123.71
2024/1/1 3:00,Solar,0.01
2024/1/1 3:00,Waste,4.22
2024/1/1 3:00,Wind,115.12
2024/1/1 4:00,Biomass,19.08
2024/1/1 4:00,Fossil Brown Coal/Lignite,1146.13
2024/1/1 4:00,Fossil Gas,334.7
2024/1/1 4:00,Fossil Hard Coal,59.26
2024/1/1 4:00,Hydro Pumped Storage,0.0
2024/1/1 4:00,Hydro Run-of-river and Poundage,61.44
2024/1/1 4:00,Hydro Water Reservoir,8.67
2024/1/1 4:00,Nuclear,2122.99
2024/1/1 4:00,Solar,0.05
2024/1/1 4:00,Waste,4.11
2024/1/1 4:00,Wind,97.92
