date,category,value
2024/1/1 0:00,Biomass,247.0
2024/1/1 0:00,Energy Storage,
2024/1/1 0:00,Fossil Brown Coal/Lignite,0.0
2024/1/1 0:00,Fossil Coal-derived Gas,0.0
2024/1/1 0:00,Fossil Gas,4437.0
2024/1/1 0:00,Fossil Hard Coal,280.0
2024/1/1 0:00,Fossil Oil,21.0
2024/1/1 0:00,Fossil Oil Shale,0.0
2024/1/1 0:00,Fossil Peat,0.0
2024/1/1 0:00,Geothermal,0.0
2024/1/1 0:00,Hydro Pumped Storage,1229.0
2024/1/1 0:00,Hydro Run-of-river and Poundage,1009.0
2024/1/1 0:00,Hydro Water Reservoir,2238.0
2024/1/1 0:00,Marine,0.0
2024/1/1 0:00,Nuclear,7096.0
2024/1/1 0:00,Other,0.0
2024/1/1 0:00,Other Renewable,76.0
2024/1/1 0:00,Solar,28.0
2024/1/1 0:00,Waste,243.0
2024/1/1 0:00,Wind,5479.0
2024/1/1 1:00,Biomass,235.0
2024/1/1 1:00,Energy Storage,
2024/1/1 1:00,Fossil Brown Coal/Lignite,0.0
2024/1/1 1:00,Fossil Coal-derived Gas,0.0
2024/1/1 1:00,Fossil Gas,4331.0
2024/1/1 1:00,Fossil Hard Coal,275.0
2024/1/1 1:00,Fossil Oil,20.0
2024/1/1 1:00,Fossil Oil Shale,0.0
2024/1/1 1:00,Fossil Peat,0.0
2024/1/1 1:00,Geothermal,0.0
2024/1/1 1:00,Hydro Pumped Storage,859.0
2024/1/1 1:00,Hydro Run-of-river and Poundage,964.0
2024/1/1 1:00,Hydro Water Reservoir,2011.0
2024/1/1 1:00,Marine,0.0
2024/1/1 1:00,Nuclear,7096.0
2024/1/1 1:00,Other,0.0
2024/1/1 1:00,Other Renewable,74.0
2024/1/1 1:00,Solar,28.0
2024/1/1 1:00,Waste,247.0
2024/1/1 1:00,Wind,5656.0
2024/1/1 2:00,Biomass,221.0
2024/1/1 2:00,Energy Storage,
2024/1/1 2:00,Fossil Brown Coal/Lignite,0.0
2024/1/1 2:00,Fossil Coal-derived Gas,0.0
2024/1/1 2:00,Fossil Gas,4326.0
2024/1/1 2:00,Fossil Hard Coal,272.0
2024/1/1 2:00,Fossil Oil,20.0
2024/1/1 2:00,Fossil Oil Shale,0.0
2024/1/1 2:00,Fossil Peat,0.0
2024/1/1 2:00,Geothermal,0.0
2024/1/1 2:00,Hydro Pumped Storage,944.0
2024/1/1 2:00,Hydro Run-of-river and Poundage,940.0
2024/1/1 2:00,Hydro Water Reservoir,1896.0
2024/1/1 2:00,Marine,0.0
2024/1/1 2:00,Nuclear,7096.0
2024/1/1 2:00,Other,0.0
2024/1/1 2:00,Other Renewable,72.0
2024/1/1 2:00,Solar,28.0
2024/1/1 2:00,Waste,247.0
2024/1/1 2:00,Wind,5553.0
2024/1/1 3:00,Biomass,214.0
2024/1/1 3:00,Energy Storage,
2024/1/1 3:00,Fossil Brown Coal/Lignite,0.0
2024/1/1 3:00,Fossil Coal-derived Gas,0.0
2024/1/1 3:00,Fossil Gas,4477.0
2024/1/1 3:00,Fossil Hard Coal,272.0
2024/1/1 3:00,Fossil Oil,20.0
2024/1/1 3:00,Fossil Oil Shale,0.0
2024/1/1 3:00,Fossil Peat,0.0
2024/1/1 3:00,Geothermal,0.0
2024/1/1 3:00,Hydro Pumped Storage,792.0
2024/1/1 3:00,Hydro Run-of-river and Poundage,921.0
2024/1/1 3:00,Hydro Water Reservoir,1686.0
2024/1/1 3:00,Marine,0.0
2024/1/1 3:00,Nuclear,7096.0
2024/1/1 3:00,Other,0.0
2024/1/1 3:00,Other Renewable,74.0
2024/1/1 3:00,Solar,28.0
2024/1/1 3:00,Waste,243.0
2024/1/1 3:00,Wind,5230.0
2024/1/1 4:00,Biomass,219.0
2024/1/1 4:00,Energy Storage,
2024/1/1 4:00,Fossil Brown Coal/Lignite,0.0
2024/1/1 4:00,Fossil Coal-derived Gas,0.0
2024/1/1 4:00,Fossil Gas,4438.0
2024/1/1 4:00,Fossil Hard Coal,272.0
2024/1/1 4:00,Fossil Oil,20.0
2024/1/1 4:00,Fossil Oil Shale,0.0
2024/1/1 4:00,Fossil Peat,0.0
2024/1/1 4:00,Geothermal,0.0
2024/1/1 4:00,Hydro Pumped Storage,377.0
2024/1/1 4:00,Hydro Run-of-river and Poundage,903.0
2024/1/1 4:00,Hydro Water Reservoir,1540.0
2024/1/1 4:00,Marine,0.0
2024/1/1 4:00,Nuclear,7096.0
2024/1/1 4:00,Other,0.0
2024/1/1 4:00,Other Renewable,73.0
2024/1/1 4:00,Solar,28.0
2024/1/1 4:00,Waste,246.0
2024/1/1 4:00,Wind,5233.0
2024/1/1 5:00,Biomass,212.0
2024/1/1 5:00,Energy Storage,
2024/1/1 5:00,Fossil Brown Coal/Lignite,0.0
2024/1/1 5:00,Fossil Coal-derived Gas,0.0
2024/1/1 5:00,Fossil Gas,4685.0
2024/1/1 5:00,Fossil Hard Coal,272.0
