date,category,value
2024/1/1 0:00,Biomass,343.0
2024/1/1 0:00,Energy Storage,
2024/1/1 0:00,Fossil Gas,1810.0
2024/1/1 0:00,Fossil Hard Coal,15.0
2024/1/1 0:00,Fossil Oil,162.0
2024/1/1 0:00,Hydro Pumped Storage,
2024/1/1 0:00,Hydro Run-of-river and Poundage,4822.0
2024/1/1 0:00,Hydro Water Reservoir,1481.0
2024/1/1 0:00,Nuclear,40387.0
2024/1/1 0:00,Solar,225.0
2024/1/1 0:00,Waste,87.0
2024/1/1 0:00,Wind,14977.0
2024/1/1 1:00,Biomass,343.0
2024/1/1 1:00,Energy Storage,
2024/1/1 1:00,Fossil Gas,1840.0
2024/1/1 1:00,Fossil Hard Coal,16.0
2024/1/1 1:00,Fossil Oil,191.0
2024/1/1 1:00,Hydro Pumped Storage,
2024/1/1 1:00,Hydro Run-of-river and Poundage,4767.0
2024/1/1 1:00,Hydro Water Reservoir,1282.0
2024/1/1 1:00,Nuclear,37528.0
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Waste,83.0
2024/1/1 1:00,Wind,14734.0
2024/1/1 2:00,Biomass,343.0
2024/1/1 2:00,Energy Storage,
2024/1/1 2:00,Fossil Gas,1787.0
2024/1/1 2:00,Fossil Hard Coal,16.0
2024/1/1 2:00,Fossil Oil,190.0
2024/1/1 2:00,Hydro Pumped Storage,
2024/1/1 2:00,Hydro Run-of-river and Poundage,4918.0
2024/1/1 2:00,Hydro Water Reservoir,1005.0
2024/1/1 2:00,Nuclear,37320.0
2024/1/1 2:00,Solar,0.0
2024/1/1 2:00,Waste,87.0
2024/1/1 2:00,Wind,14367.0
2024/1/1 3:00,Biomass,343.0
2024/1/1 3:00,Energy Storage,
2024/1/1 3:00,Fossil Gas,1778.0
2024/1/1 3:00,Fossil Hard Coal,15.0
2024/1/1 3:00,Fossil Oil,190.0
2024/1/1 3:00,Hydro Pumped Storage,
2024/1/1 3:00,Hydro Run-of-river and Poundage,4876.0
2024/1/1 3:00,Hydro Water Reservoir,936.0
2024/1/1 3:00,Nuclear,36954.0
2024/1/1 3:00,Solar,0.0
2024/1/1 3:00,Waste,87.0
2024/1/1 3:00,Wind,13393.0
2024/1/1 4:00,Biomass,343.0
2024/1/1 4:00,Energy Storage,
2024/1/1 4:00,Fossil Gas,1765.0
2024/1/1 4:00,Fossil Hard Coal,15.0
2024/1/1 4:00,Fossil Oil,191.0
2024/1/1 4:00,Hydro Pumped Storage,
