date,category,value
2024/1/1 0:00,Energy Storage,
2024/1/1 0:00,Fossil Brown Coal/Lignite,342.0
2024/1/1 0:00,Fossil Gas,1510.0
2024/1/1 0:00,Fossil Oil,0.0
2024/1/1 0:00,Hydro Pumped Storage,0.0
2024/1/1 0:00,Hydro Water Reservoir,49.0
2024/1/1 0:00,Solar,0.0
2024/1/1 0:00,Wind,657.0
2024/1/1 1:00,Energy Storage,
2024/1/1 1:00,Fossil Brown Coal/Lignite,347.0
2024/1/1 1:00,Fossil Gas,1258.0
2024/1/1 1:00,Fossil Oil,0.0
2024/1/1 1:00,Hydro Pumped Storage,0.0
2024/1/1 1:00,Hydro Water Reservoir,4.0
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Wind,738.0
2024/1/1 2:00,Energy Storage,
2024/1/1 2:00,Fossil Brown Coal/Lignite,344.0
2024/1/1 2:00,Fossil Gas,996.0
2024/1/1 2:00,Fossil Oil,0.0
2024/1/1 2:00,Hydro Pumped Storage,0.0
2024/1/1 2:00,Hydro Water Reservoir,4.0
2024/1/1 2:00,Solar,0.0
2024/1/1 2:00,Wind,837.0
2024/1/1 3:00,Energy Storage,
2024/1/1 3:00,Fossil Brown Coal/Lignite,354.0
2024/1/1 3:00,Fossil Gas,869.0
2024/1/1 3:00,Fossil Oil,0.0
2024/1/1 3:00,Hydro Pumped Storage,0.0
2024/1/1 3:00,Hydro Water Reservoir,47.0
2024/1/1 3:00,Solar,0.0
2024/1/1 3:00,Wind,858.0
2024/1/1 4:00,Energy Storage,
2024/1/1 4:00,Fossil Brown Coal/Lignite,349.0
2024/1/1 4:00,Fossil Gas,843.0
2024/1/1 4:00,Fossil Oil,0.0
2024/1/1 4:00,Hydro Pumped Storage,0.0
2024/1/1 4:00,Hydro Water Reservoir,51.0
2024/1/1 4:00,Solar,19.0
2024/1/1 4:00,Wind,826.0
2024/1/1 5:00,Energy Storage,
2024/1/1 5:00,Fossil Brown Coal/Lignite,354.0
2024/1/1 5:00,Fossil Gas,877.0
2024/1/1 5:00,Fossil Oil,0.0
2024/1/1 5:00,Hydro Pumped Storage,0.0
2024/1/1 5:00,Hydro Water Reservoir,301.0
2024/1/1 5:00,Solar,0.0
2024/1/1 5:00,Wind,844.0
2024/1/1 6:00,Energy Storage,
2024/1/1 6:00,Fossil Brown Coal/Lignite,353.0
2024/1/1 6:00,Fossil Gas,834.0
2024/1/1 6:00,Fossil Oil,0.0
2024/1/1 6:00,Hydro Pumped Storage,0.0
2024/1/1 6:00,Hydro Water Reservoir,291.0
2024/1/1 6:00,Solar,2.0
2024/1/1 6:00,Wind,837.0
2024/1/1 7:00,Energy Storage,
2024/1/1 7:00,Fossil Brown Coal/Lignite,355.0
2024/1/1 7:00,Fossil Gas,756.0
2024/1/1 7:00,Fossil Oil,0.0
2024/1/1 7:00,Hydro Pumped Storage,0.0
2024/1/1 7:00,Hydro Water Reservoir,202.0
2024/1/1 7:00,Solar,280.0
2024/1/1 7:00,Wind,919.0
2024/1/1 8:00,Energy Storage,
2024/1/1 8:00,Fossil Brown Coal/Lignite,348.0
2024/1/1 8:00,Fossil Gas,456.0
2024/1/1 8:00,Fossil Oil,0.0
2024/1/1 8:00,Hydro Pumped Storage,0.0
2024/1/1 8:00,Hydro Water Reservoir,55.0
2024/1/1 8:00,Solar,1354.0
2024/1/1 8:00,Wind,917.0
2024/1/1 9:00,Energy Storage,
2024/1/1 9:00,Fossil Brown Coal/Lignite,337.0
2024/1/1 9:00,Fossil Gas,403.0
2024/1/1 9:00,Fossil Oil,0.0
2024/1/1 9:00,Hydro Pumped Storage,0.0
2024/1/1 9:00,Hydro Water Reservoir,4.0
2024/1/1 9:00,Solar,2273.0
2024/1/1 9:00,Wind,879.0
2024/1/1 10:00,Energy Storage,
2024/1/1 10:00,Fossil Brown Coal/Lignite,336.0
2024/1/1 10:00,Fossil Gas,392.0
2024/1/1 10:00,Fossil Oil,0.0
2024/1/1 10:00,Hydro Pumped Storage,0.0
2024/1/1 10:00,Hydro Water Reservoir,4.0
2024/1/1 10:00,Solar,2819.0
2024/1/1 10:00,Wind,897.0
2024/1/1 11:00,Energy Storage,
2024/1/1 11:00,Fossil Brown Coal/Lignite,334.0
2024/1/1 11:00,Fossil Gas,471.0
2024/1/1 11:00,Fossil Oil,0.0
2024/1/1 11:00,Hydro Pumped Storage,0.0
2024/1/1 11:00,Hydro Water Reservoir,4.0
2024/1/1 11:00,Solar,2944.0
2024/1/1 11:00,Wind,982.0
2024/1/1 12:00,Energy Storage,
2024/1/1 12:00,Fossil Brown Coal/Lignite,331.0
2024/1/1 12:00,Fossil Gas,470.0
2024/1/1 12:00,Fossil Oil,0.0
2024/1/1 12:00,Hydro Pumped Storage,0.0
2024/1/1 12:00,Hydro Water Reservoir,4.0
2024/1/1 12:00,Solar,2692.0
2024/1/1 12:00,Wind,1114.0
2024/1/1 13:00,Energy Storage,
2024/1/1 13:00,Fossil Brown Coal/Lignite,330.0
2024/1/1 13:00,Fossil Gas,403.0
2024/1/1 13:00,Fossil Oil,0.0
2024/1/1 13:00,Hydro Pumped Storage,0.0
2024/1/1 13:00,Hydro Water Reservoir,14.0
2024/1/1 13:00,Solar,2297.0
2024/1/1 13:00,Wind,1164.0
2024/1/1 14:00,Energy Storage,
2024/1/1 14:00,Fossil Brown Coal/Lignite,333.0
2024/1/1 14:00,Fossil Gas,433.0
2024/1/1 14:00,Fossil Oil,0.0
2024/1/1 14:00,Hydro Pumped Storage,0.0
2024/1/1 14:00,Hydro Water Reservoir,35.0
2024/1/1 14:00,Solar,1473.0
2024/1/1 14:00,Wind,1128.0
2024/1/1 15:00,Energy Storage,
2024/1/1 15:00,Fossil Brown Coal/Lignite,350.0
2024/1/1 15:00,Fossil Gas,524.0
2024/1/1 15:00,Fossil Oil,0.0
2024/1/1 15:00,Hydro Pumped Storage,119.0
2024/1/1 15:00,Hydro Water Reservoir,455.0
2024/1/1 15:00,Solar,355.0
2024/1/1 15:00,Wind,1113.0
2024/1/1 16:00,Energy Storage,
2024/1/1 16:00,Fossil Brown Coal/Lignite,351.0
2024/1/1 16:00,Fossil Gas,960.0
2024/1/1 16:00,Fossil Oil,0.0
2024/1/1 16:00,Hydro Pumped Storage,345.0
2024/1/1 16:00,Hydro Water Reservoir,709.0
2024/1/1 16:00,Solar,8.0
2024/1/1 16:00,Wind,1137.0
2024/1/1 17:00,Energy Storage,
2024/1/1 17:00,Fossil Brown Coal/Lignite,351.0
2024/1/1 17:00,Fossil Gas,1063.0
2024/1/1 17:00,Fossil Oil,0.0
2024/1/1 17:00,Hydro Pumped Storage,448.0
2024/1/1 17:00,Hydro Water Reservoir,820.0
2024/1/1 17:00,Solar,1.0
2024/1/1 17:00,Wind,1102.0
2024/1/1 18:00,Energy Storage,
2024/1/1 18:00,Fossil Brown Coal/Lignite,355.0
2024/1/1 18:00,Fossil Gas,1124.0
2024/1/1 18:00,Fossil Oil,0.0
2024/1/1 18:00,Hydro Pumped Storage,448.0
2024/1/1 18:00,Hydro Water Reservoir,867.0
2024/1/1 18:00,Solar,0.0
2024/1/1 18:00,Wind,1065.0
2024/1/1 19:00,Energy Storage,
2024/1/1 19:00,Fossil Brown Coal/Lignite,356.0
2024/1/1 19:00,Fossil Gas,1265.0
2024/1/1 19:00,Fossil Oil,0.0
2024/1/1 19:00,Hydro Pumped Storage,446.0
2024/1/1 19:00,Hydro Water Reservoir,827.0
2024/1/1 19:00,Solar,0.0
