date,category,value
2024/1/1 0:00,Biomass,76.0
2024/1/1 0:00,Fossil Gas,235.9
2024/1/1 0:00,Fossil Hard Coal,0.0
2024/1/1 0:00,Fossil Oil,0.0
2024/1/1 0:00,Geothermal,0.0
2024/1/1 0:00,Hydro Pumped Storage,179.2
2024/1/1 0:00,Hydro Run-of-river and Poundage,144.3
2024/1/1 0:00,Hydro Water Reservoir,150.6
2024/1/1 0:00,Other Renewable,28.4
2024/1/1 0:00,Solar,0.0
2024/1/1 0:00,Waste,9.2
2024/1/1 0:00,Wind,762.3
2024/1/1 1:00,Biomass,76.0
2024/1/1 1:00,Fossil Gas,220.7
2024/1/1 1:00,Fossil Hard Coal,0.0
2024/1/1 1:00,Fossil Oil,0.0
2024/1/1 1:00,Geothermal,0.0
2024/1/1 1:00,Hydro Pumped Storage,0.0
2024/1/1 1:00,Hydro Run-of-river and Poundage,141.5
2024/1/1 1:00,Hydro Water Reservoir,141.4
2024/1/1 1:00,Other Renewable,28.4
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Waste,9.2
2024/1/1 1:00,Wind,740.2
2024/1/1 2:00,Biomass,76.0
2024/1/1 2:00,Fossil Gas,220.5
2024/1/1 2:00,Fossil Hard Coal,0.0
2024/1/1 2:00,Fossil Oil,0.0
2024/1/1 2:00,Geothermal,0.0
2024/1/1 2:00,Hydro Pumped Storage,123.3
2024/1/1 2:00,Hydro Run-of-river and Poundage,152.1
2024/1/1 2:00,Hydro Water Reservoir,146.5
2024/1/1 2:00,Other Renewable,28.4
2024/1/1 2:00,Solar,0.0
2024/1/1 2:00,Waste,9.2
2024/1/1 2:00,Wind,781.1
2024/1/1 3:00,Biomass,76.0
2024/1/1 3:00,Fossil Gas,220.7
2024/1/1 3:00,Fossil Hard Coal,0.0
2024/1/1 3:00,Fossil Oil,0.0
2024/1/1 3:00,Geothermal,0.0
2024/1/1 3:00,Hydro Pumped Storage,123.1
2024/1/1 3:00,Hydro Run-of-river and Poundage,152.0
2024/1/1 3:00,Hydro Water Reservoir,139.0
2024/1/1 3:00,Other Renewable,28.0
2024/1/1 3:00,Solar,0.0
2024/1/1 3:00,Waste,9.2
2024/1/1 3:00,Wind,815.4
2024/1/1 4:00,Biomass,76.0
2024/1/1 4:00,Fossil Gas,220.4
2024/1/1 4:00,Fossil Hard Coal,0.0
2024/1/1 4:00,Fossil Oil,0.0
2024/1/1 4:00,Geothermal,0.0
