date,category,value
2024/1/1 0:00,Biomass,78.63
2024/1/1 0:00,Fossil Brown Coal/Lignite,230.015
2024/1/1 0:00,Fossil Gas,350.2825
2024/1/1 0:00,Fossil Hard Coal,26.04
2024/1/1 0:00,Fossil Oil,0.3
2024/1/1 0:00,Geothermal,0.6
2024/1/1 0:00,Hydro Run-of-river and Poundage,7.24
2024/1/1 0:00,Hydro Water Reservoir,0.08
2024/1/1 0:00,Nuclear,1877.575
2024/1/1 0:00,Other,56.1775
2024/1/1 0:00,Other Renewable,4.745
2024/1/1 0:00,Solar,0.0
2024/1/1 0:00,Waste,18.6225
2024/1/1 0:00,Wind,82.7275
2024/1/1 1:00,Biomass,80.095
2024/1/1 1:00,Fossil Brown Coal/Lignite,223.9425
2024/1/1 1:00,Fossil Gas,359.72
2024/1/1 1:00,Fossil Hard Coal,24.7775
2024/1/1 1:00,Fossil Oil,0.295
2024/1/1 1:00,Geothermal,0.6
2024/1/1 1:00,Hydro Run-of-river and Poundage,7.2275
2024/1/1 1:00,Hydro Water Reservoir,0.08
2024/1/1 1:00,Nuclear,1681.6275
2024/1/1 1:00,Other,56.885
2024/1/1 1:00,Other Renewable,4.82
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Waste,17.932499999999997
2024/1/1 1:00,Wind,56.087500000000006
2024/1/1 2:00,Biomass,80.13
2024/1/1 2:00,Fossil Brown Coal/Lignite,221.3525
2024/1/1 2:00,Fossil Gas,370.925
2024/1/1 2:00,Fossil Hard Coal,26.905
2024/1/1 2:00,Fossil Oil,0.31
2024/1/1 2:00,Geothermal,0.6
2024/1/1 2:00,Hydro Run-of-river and Poundage,7.25
2024/1/1 2:00,Hydro Water Reservoir,0.08
2024/1/1 2:00,Nuclear,1643.91
2024/1/1 2:00,Other,55.9975
2024/1/1 2:00,Other Renewable,4.7325
2024/1/1 2:00,Solar,0.0
2024/1/1 2:00,Waste,19.8225
2024/1/1 2:00,Wind,58.115
2024/1/1 3:00,Biomass,80.0625
2024/1/1 3:00,Fossil Brown Coal/Lignite,220.87
2024/1/1 3:00,Fossil Gas,398.5575
2024/1/1 3:00,Fossil Hard Coal,26.3725
2024/1/1 3:00,Fossil Oil,0.32
2024/1/1 3:00,Geothermal,0.6
2024/1/1 3:00,Hydro Run-of-river and Poundage,7.2375
2024/1/1 3:00,Hydro Water Reservoir,0.08
2024/1/1 3:00,Nuclear,1443.46
2024/1/1 3:00,Other,56.0475
2024/1/1 3:00,Other Renewable,4.6975
2024/1/1 3:00,Solar,0.0
2024/1/1 3:00,Waste,17.475
2024/1/1 3:00,Wind,90.1725
2024/1/1 4:00,Biomass,79.5975
2024/1/1 4:00,Fossil Brown Coal/Lignite,221.0425
2024/1/1 4:00,Fossil Gas,448.23
2024/1/1 4:00,Fossil Hard Coal,25.965
2024/1/1 4:00,Fossil Oil,0.3175
2024/1/1 4:00,Geothermal,0.6
2024/1/1 4:00,Hydro Run-of-river and Poundage,7.1925
2024/1/1 4:00,Hydro Water Reservoir,0.075
2024/1/1 4:00,Nuclear,1391.9450000000002
2024/1/1 4:00,Other,55.4175
2024/1/1 4:00,Other Renewable,4.77
2024/1/1 4:00,Solar,0.0
2024/1/1 4:00,Waste,19.5425
2024/1/1 4:00,Wind,121.765
2024/1/1 5:00,Biomass,80.5475
2024/1/1 5:00,Fossil Brown Coal/Lignite,221.18
2024/1/1 5:00,Fossil Gas,461.625
2024/1/1 5:00,Fossil Hard Coal,25.8525
2024/1/1 5:00,Fossil Oil,0.32
2024/1/1 5:00,Geothermal,0.6
2024/1/1 5:00,Hydro Run-of-river and Poundage,7.24
2024/1/1 5:00,Hydro Water Reservoir,0.08
2024/1/1 5:00,Nuclear,1404.8
2024/1/1 5:00,Other,55.52
2024/1/1 5:00,Other Renewable,4.91
2024/1/1 5:00,Solar,0.0
2024/1/1 5:00,Waste,19.3275
2024/1/1 5:00,Wind,117.1925
2024/1/1 6:00,Biomass,81.92750000000001
2024/1/1 6:00,Fossil Brown Coal/Lignite,220.0375
2024/1/1 6:00,Fossil Gas,449.58
2024/1/1 6:00,Fossil Hard Coal,25.3925
2024/1/1 6:00,Fossil Oil,0.315
2024/1/1 6:00,Geothermal,0.6
2024/1/1 6:00,Hydro Run-of-river and Poundage,7.2625
2024/1/1 6:00,Hydro Water Reservoir,0.08
2024/1/1 6:00,Nuclear,1608.48
2024/1/1 6:00,Other,56.5025
2024/1/1 6:00,Other Renewable,5.07
2024/1/1 6:00,Solar,0.0
2024/1/1 6:00,Waste,18.7075
2024/1/1 6:00,Wind,68.34
2024/1/1 7:00,Biomass,84.9725
2024/1/1 7:00,Fossil Brown Coal/Lignite,221.5725
2024/1/1 7:00,Fossil Gas,429.8475
2024/1/1 7:00,Fossil Hard Coal,25.3475
2024/1/1 7:00,Fossil Oil,0.31
2024/1/1 7:00,Geothermal,0.6
2024/1/1 7:00,Hydro Run-of-river and Poundage,7.26
2024/1/1 7:00,Hydro Water Reservoir,0.08
2024/1/1 7:00,Nuclear,1632.1625
2024/1/1 7:00,Other,56.81
2024/1/1 7:00,Other Renewable,5.2325
