date,category,value
2024/1/1 0:00,Biomass,332.0
2024/1/1 0:00,Energy Storage,
2024/1/1 0:00,Fossil Coal-derived Gas,753.0
2024/1/1 0:00,Fossil Gas,8652.0
2024/1/1 0:00,Fossil Hard Coal,423.0
2024/1/1 0:00,Fossil Oil,19.0
2024/1/1 0:00,Geothermal,625.0
2024/1/1 0:00,Hydro Pumped Storage,0.0
2024/1/1 0:00,Hydro Run-of-river and Poundage,2181.0
2024/1/1 0:00,Hydro Water Reservoir,177.0
2024/1/1 0:00,Other,1147.0
2024/1/1 0:00,Other Renewable,
2024/1/1 0:00,Solar,0.0
2024/1/1 0:00,Waste,322.0
2024/1/1 0:00,Wind,3905.0
2024/1/1 1:00,Biomass,341.0
2024/1/1 1:00,Energy Storage,
2024/1/1 1:00,Fossil Coal-derived Gas,753.0
2024/1/1 1:00,Fossil Gas,7679.0
2024/1/1 1:00,Fossil Hard Coal,424.0
2024/1/1 1:00,Fossil Oil,26.0
2024/1/1 1:00,Geothermal,626.0
2024/1/1 1:00,Hydro Pumped Storage,0.0
2024/1/1 1:00,Hydro Run-of-river and Poundage,2092.0
2024/1/1 1:00,Hydro Water Reservoir,103.0
2024/1/1 1:00,Other,1092.0
2024/1/1 1:00,Other Renewable,
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Waste,326.0
2024/1/1 1:00,Wind,3927.0
2024/1/1 2:00,Biomass,337.0
2024/1/1 2:00,Energy Storage,
2024/1/1 2:00,Fossil Coal-derived Gas,754.0
2024/1/1 2:00,Fossil Gas,6774.0
2024/1/1 2:00,Fossil Hard Coal,424.0
2024/1/1 2:00,Fossil Oil,16.0
2024/1/1 2:00,Geothermal,626.0
2024/1/1 2:00,Hydro Pumped Storage,0.0
2024/1/1 2:00,Hydro Run-of-river and Poundage,1960.0
2024/1/1 2:00,Hydro Water Reservoir,91.0
2024/1/1 2:00,Other,999.0
2024/1/1 2:00,Other Renewable,
2024/1/1 2:00,Solar,0.0
2024/1/1 2:00,Waste,320.0
2024/1/1 2:00,Wind,4041.0
2024/1/1 3:00,Biomass,334.0
2024/1/1 3:00,Energy Storage,
2024/1/1 3:00,Fossil Coal-derived Gas,754.0
2024/1/1 3:00,Fossil Gas,6516.0
2024/1/1 3:00,Fossil Hard Coal,424.0
2024/1/1 3:00,Fossil Oil,26.0
2024/1/1 3:00,Geothermal,628.0
2024/1/1 3:00,Hydro Pumped Storage,0.0
2024/1/1 3:00,Hydro Run-of-river and Poundage,1922.0
2024/1/1 3:00,Hydro Water Reservoir,86.0
2024/1/1 3:00,Other,953.0
2024/1/1 3:00,Other Renewable,
2024/1/1 3:00,Solar,0.0
2024/1/1 3:00,Waste,323.0
2024/1/1 3:00,Wind,4122.0
2024/1/1 4:00,Biomass,332.0
2024/1/1 4:00,Energy Storage,
2024/1/1 4:00,Fossil Coal-derived Gas,753.0
2024/1/1 4:00,Fossil Gas,6308.0
2024/1/1 4:00,Fossil Hard Coal,424.0
2024/1/1 4:00,Fossil Oil,23.0
2024/1/1 4:00,Geothermal,629.0
2024/1/1 4:00,Hydro Pumped Storage,0.0
2024/1/1 4:00,Hydro Run-of-river and Poundage,1823.0
2024/1/1 4:00,Hydro Water Reservoir,89.0
2024/1/1 4:00,Other,882.0
2024/1/1 4:00,Other Renewable,
2024/1/1 4:00,Solar,0.0
2024/1/1 4:00,Waste,322.0
2024/1/1 4:00,Wind,4018.0
2024/1/1 5:00,Biomass,329.0
2024/1/1 5:00,Energy Storage,
2024/1/1 5:00,Fossil Coal-derived Gas,753.0
2024/1/1 5:00,Fossil Gas,6251.0
2024/1/1 5:00,Fossil Hard Coal,424.0
2024/1/1 5:00,Fossil Oil,26.0
2024/1/1 5:00,Geothermal,629.0
2024/1/1 5:00,Hydro Pumped Storage,0.0
2024/1/1 5:00,Hydro Run-of-river and Poundage,1921.0
2024/1/1 5:00,Hydro Water Reservoir,88.0
2024/1/1 5:00,Other,873.0
2024/1/1 5:00,Other Renewable,
2024/1/1 5:00,Solar,0.0
2024/1/1 5:00,Waste,309.0
2024/1/1 5:00,Wind,4062.0
2024/1/1 6:00,Biomass,338.0
2024/1/1 6:00,Energy Storage,
2024/1/1 6:00,Fossil Coal-derived Gas,752.0
2024/1/1 6:00,Fossil Gas,6385.0
2024/1/1 6:00,Fossil Hard Coal,429.0
2024/1/1 6:00,Fossil Oil,16.0
2024/1/1 6:00,Geothermal,629.0
2024/1/1 6:00,Hydro Pumped Storage,0.0
2024/1/1 6:00,Hydro Run-of-river and Poundage,1867.0
2024/1/1 6:00,Hydro Water Reservoir,101.0
2024/1/1 6:00,Other,894.0
2024/1/1 6:00,Other Renewable,
2024/1/1 6:00,Solar,0.0
2024/1/1 6:00,Waste,291.0
2024/1/1 6:00,Wind,3977.0
2024/1/1 7:00,Biomass,333.0
2024/1/1 7:00,Energy Storage,
2024/1/1 7:00,Fossil Coal-derived Gas,752.0
2024/1/1 7:00,Fossil Gas,6629.0
2024/1/1 7:00,Fossil Hard Coal,430.0
2024/1/1 7:00,Fossil Oil,16.0
2024/1/1 7:00,Geothermal,631.0
2024/1/1 7:00,Hydro Pumped Storage,44.0
2024/1/1 7:00,Hydro Run-of-river and Poundage,2113.0
2024/1/1 7:00,Hydro Water Reservoir,182.0
2024/1/1 7:00,Other,901.0
2024/1/1 7:00,Other Renewable,
2024/1/1 7:00,Solar,81.0
2024/1/1 7:00,Waste,279.0
2024/1/1 7:00,Wind,3957.0
2024/1/1 8:00,Biomass,332.0
2024/1/1 8:00,Energy Storage,
2024/1/1 8:00,Fossil Coal-derived Gas,751.0
