date,category,value
2024/1/1 0:00,Biomass,269.08
2024/1/1 0:00,Fossil Brown Coal/Lignite,1852.79
2024/1/1 0:00,Fossil Coal-derived Gas,51.03
2024/1/1 0:00,Fossil Gas,1548.76
2024/1/1 0:00,Fossil Hard Coal,5948.05
2024/1/1 0:00,Fossil Oil,374.16
2024/1/1 0:00,Hydro Pumped Storage,10.74
2024/1/1 0:00,Hydro Run-of-river and Poundage,254.86
2024/1/1 0:00,Hydro Water Reservoir,0.0
2024/1/1 0:00,Other,
2024/1/1 0:00,Other Renewable,
2024/1/1 0:00,Solar,0.0
2024/1/1 0:00,Wind,2817.75
2024/1/1 1:00,Biomass,274.45
2024/1/1 1:00,Fossil Brown Coal/Lignite,1908.03
2024/1/1 1:00,Fossil Coal-derived Gas,49.88
2024/1/1 1:00,Fossil Gas,1541.6
2024/1/1 1:00,Fossil Hard Coal,5958.6
2024/1/1 1:00,Fossil Oil,370.94
2024/1/1 1:00,Hydro Pumped Storage,25.34
2024/1/1 1:00,Hydro Run-of-river and Poundage,247.59
2024/1/1 1:00,Hydro Water Reservoir,0.0
2024/1/1 1:00,Other,
2024/1/1 1:00,Other Renewable,
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Wind,2485.7
2024/1/1 2:00,Biomass,274.46
2024/1/1 2:00,Fossil Brown Coal/Lignite,1905.68
2024/1/1 2:00,Fossil Coal-derived Gas,47.96
2024/1/1 2:00,Fossil Gas,1550.81
2024/1/1 2:00,Fossil Hard Coal,5873.12
2024/1/1 2:00,Fossil Oil,370.49
2024/1/1 2:00,Hydro Pumped Storage,26.95
2024/1/1 2:00,Hydro Run-of-river and Poundage,246.81
2024/1/1 2:00,Hydro Water Reservoir,0.0
2024/1/1 2:00,Other,
2024/1/1 2:00,Other Renewable,
2024/1/1 2:00,Solar,0.0
2024/1/1 2:00,Wind,2365.05
2024/1/1 3:00,Biomass,273.44
2024/1/1 3:00,Fossil Brown Coal/Lignite,1875.34
