date,category,value
2024/1/1 0:00,Biomass,31.5
2024/1/1 0:00,Energy Storage,
2024/1/1 0:00,Fossil Brown Coal/Lignite,809.75
2024/1/1 0:00,Fossil Gas,1428.25
2024/1/1 0:00,Fossil Hard Coal,0.0
2024/1/1 0:00,Hydro Run-of-river and Poundage,844.75
2024/1/1 0:00,Hydro Water Reservoir,33.0
2024/1/1 0:00,Nuclear,1396.25
2024/1/1 0:00,Solar,0.0
2024/1/1 0:00,Wind,1204.0
2024/1/1 1:00,Biomass,31.25
2024/1/1 1:00,Energy Storage,
2024/1/1 1:00,Fossil Brown Coal/Lignite,841.0
2024/1/1 1:00,Fossil Gas,1426.0
2024/1/1 1:00,Fossil Hard Coal,0.0
2024/1/1 1:00,Hydro Run-of-river and Poundage,839.25
2024/1/1 1:00,Hydro Water Reservoir,32.75
2024/1/1 1:00,Nuclear,1396.0
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Wind,1338.5
2024/1/1 2:00,Biomass,32.0
2024/1/1 2:00,Energy Storage,
2024/1/1 2:00,Fossil Brown Coal/Lignite,844.0
2024/1/1 2:00,Fossil Gas,1432.0
2024/1/1 2:00,Fossil Hard Coal,0.0
2024/1/1 2:00,Hydro Run-of-river and Poundage,813.25
2024/1/1 2:00,Hydro Water Reservoir,31.0
2024/1/1 2:00,Nuclear,1396.0
2024/1/1 2:00,Solar,0.0
2024/1/1 2:00,Wind,1323.25
2024/1/1 3:00,Biomass,32.0
2024/1/1 3:00,Energy Storage,
2024/1/1 3:00,Fossil Brown Coal/Lignite,843.5
2024/1/1 3:00,Fossil Gas,1430.25
2024/1/1 3:00,Fossil Hard Coal,0.0
2024/1/1 3:00,Hydro Run-of-river and Poundage,811.75
2024/1/1 3:00,Hydro Water Reservoir,31.0
2024/1/1 3:00,Nuclear,1396.0
2024/1/1 3:00,Solar,0.0
2024/1/1 3:00,Wind,1297.0
2024/1/1 4:00,Biomass,32.0
2024/1/1 4:00,Energy Storage,
2024/1/1 4:00,Fossil Brown Coal/Lignite,843.25
2024/1/1 4:00,Fossil Gas,1427.0
2024/1/1 4:00,Fossil Hard Coal,0.0
2024/1/1 4:00,Hydro Run-of-river and Poundage,905.0
2024/1/1 4:00,Hydro Water Reservoir,31.25
2024/1/1 4:00,Nuclear,1395.5
2024/1/1 4:00,Solar,0.0
2024/1/1 4:00,Wind,1282.25
2024/1/1 5:00,Biomass,32.0
2024/1/1 5:00,Energy Storage,
2024/1/1 5:00,Fossil Brown Coal/Lignite,840.0
2024/1/1 5:00,Fossil Gas,1423.5
2024/1/1 5:00,Fossil Hard Coal,0.0
2024/1/1 5:00,Hydro Run-of-river and Poundage,987.75
2024/1/1 5:00,Hydro Water Reservoir,31.75
2024/1/1 5:00,Nuclear,1395.25
2024/1/1 5:00,Solar,0.0
2024/1/1 5:00,Wind,1125.75
2024/1/1 6:00,Biomass,31.75
2024/1/1 6:00,Energy Storage,
2024/1/1 6:00,Fossil Brown Coal/Lignite,842.0
2024/1/1 6:00,Fossil Gas,1423.25
2024/1/1 6:00,Fossil Hard Coal,0.0
2024/1/1 6:00,Hydro Run-of-river and Poundage,1131.75
2024/1/1 6:00,Hydro Water Reservoir,121.0
2024/1/1 6:00,Nuclear,1395.0
2024/1/1 6:00,Solar,0.0
2024/1/1 6:00,Wind,853.5
2024/1/1 7:00,Biomass,31.5
2024/1/1 7:00,Energy Storage,
2024/1/1 7:00,Fossil Brown Coal/Lignite,827.25
2024/1/1 7:00,Fossil Gas,1384.0
2024/1/1 7:00,Fossil Hard Coal,0.0
2024/1/1 7:00,Hydro Run-of-river and Poundage,1171.5
2024/1/1 7:00,Hydro Water Reservoir,196.0
2024/1/1 7:00,Nuclear,1395.0
2024/1/1 7:00,Solar,37.25
2024/1/1 7:00,Wind,608.0
2024/1/1 8:00,Biomass,31.0
2024/1/1 8:00,Energy Storage,
2024/1/1 8:00,Fossil Brown Coal/Lignite,797.75
2024/1/1 8:00,Fossil Gas,1315.75
2024/1/1 8:00,Fossil Hard Coal,0.0
2024/1/1 8:00,Hydro Run-of-river and Poundage,1066.5
2024/1/1 8:00,Hydro Water Reservoir,136.75
2024/1/1 8:00,Nuclear,1394.25
2024/1/1 8:00,Solar,160.75
2024/1/1 8:00,Wind,410.25
2024/1/1 9:00,Biomass,31.75
2024/1/1 9:00,Energy Storage,
2024/1/1 9:00,Fossil Brown Coal/Lignite,823.5
2024/1/1 9:00,Fossil Gas,1375.5
2024/1/1 9:00,Fossil Hard Coal,0.0
2024/1/1 9:00,Hydro Run-of-river and Poundage,977.75
2024/1/1 9:00,Hydro Water Reservoir,48.5
2024/1/1 9:00,Nuclear,1394.75
2024/1/1 9:00,Solar,306.0
2024/1/1 9:00,Wind,349.25
2024/1/1 10:00,Biomass,30.75
2024/1/1 10:00,Energy Storage,
2024/1/1 10:00,Fossil Brown Coal/Lignite,728.25
2024/1/1 10:00,Fossil Gas,1317.75
2024/1/1 10:00,Fossil Hard Coal,0.0
2024/1/1 10:00,Hydro Run-of-river and Poundage,930.0
2024/1/1 10:00,Hydro Water Reservoir,49.25
2024/1/1 10:00,Nuclear,1395.25
2024/1/1 10:00,Solar,372.0
2024/1/1 10:00,Wind,328.25
2024/1/1 11:00,Biomass,30.75
2024/1/1 11:00,Energy Storage,
2024/1/1 11:00,Fossil Brown Coal/Lignite,724.5
2024/1/1 11:00,Fossil Gas,1390.0
2024/1/1 11:00,Fossil Hard Coal,0.0
2024/1/1 11:00,Hydro Run-of-river and Poundage,891.5
2024/1/1 11:00,Hydro Water Reservoir,45.25
2024/1/1 11:00,Nuclear,1395.25
2024/1/1 11:00,Solar,343.0
2024/1/1 11:00,Wind,305.0
2024/1/1 12:00,Biomass,30.75
2024/1/1 12:00,Energy Storage,
2024/1/1 12:00,Fossil Brown Coal/Lignite,731.25
2024/1/1 12:00,Fossil Gas,1402.25
2024/1/1 12:00,Fossil Hard Coal,0.0
2024/1/1 12:00,Hydro Run-of-river and Poundage,908.75
2024/1/1 12:00,Hydro Water Reservoir,34.75
2024/1/1 12:00,Nuclear,1395.0
2024/1/1 12:00,Solar,302.0
2024/1/1 12:00,Wind,358.0
2024/1/1 13:00,Biomass,32.0
2024/1/1 13:00,Energy Storage,
2024/1/1 13:00,Fossil Brown Coal/Lignite,733.5
2024/1/1 13:00,Fossil Gas,1409.75
2024/1/1 13:00,Fossil Hard Coal,0.0
2024/1/1 13:00,Hydro Run-of-river and Poundage,936.25
2024/1/1 13:00,Hydro Water Reservoir,35.25
2024/1/1 13:00,Nuclear,1395.0
2024/1/1 13:00,Solar,225.0
2024/1/1 13:00,Wind,411.75
2024/1/1 14:00,Biomass,32.0
2024/1/1 14:00,Energy Storage,
2024/1/1 14:00,Fossil Brown Coal/Lignite,731.75
2024/1/1 14:00,Fossil Gas,1410.0
2024/1/1 14:00,Fossil Hard Coal,0.0
2024/1/1 14:00,Hydro Run-of-river and Poundage,1160.25
2024/1/1 14:00,Hydro Water Reservoir,52.75
2024/1/1 14:00,Nuclear,1395.75
2024/1/1 14:00,Solar,129.25
2024/1/1 14:00,Wind,610.25
2024/1/1 15:00,Biomass,32.0
2024/1/1 15:00,Energy Storage,
2024/1/1 15:00,Fossil Brown Coal/Lignite,736.0
2024/1/1 15:00,Fossil Gas,1420.25
2024/1/1 15:00,Fossil Hard Coal,0.0
2024/1/1 15:00,Hydro Run-of-river and Poundage,1442.5
2024/1/1 15:00,Hydro Water Reservoir,476.25
2024/1/1 15:00,Nuclear,1396.0
2024/1/1 15:00,Solar,27.25
2024/1/1 15:00,Wind,989.75
2024/1/1 16:00,Biomass,32.0
2024/1/1 16:00,Energy Storage,
2024/1/1 16:00,Fossil Brown Coal/Lignite,730.5
2024/1/1 16:00,Fossil Gas,1411.0
2024/1/1 16:00,Fossil Hard Coal,0.0
2024/1/1 16:00,Hydro Run-of-river and Poundage,1464.5
2024/1/1 16:00,Hydro Water Reservoir,594.25
2024/1/1 16:00,Nuclear,1396.5
2024/1/1 16:00,Solar,0.25
2024/1/1 16:00,Wind,1424.5
2024/1/1 17:00,Biomass,32.0
2024/1/1 17:00,Energy Storage,
2024/1/1 17:00,Fossil Brown Coal/Lignite,710.75
2024/1/1 17:00,Fossil Gas,1380.5
2024/1/1 17:00,Fossil Hard Coal,0.0
2024/1/1 17:00,Hydro Run-of-river and Poundage,1497.75
2024/1/1 17:00,Hydro Water Reservoir,529.5
2024/1/1 17:00,Nuclear,1396.5
2024/1/1 17:00,Solar,0.0
2024/1/1 17:00,Wind,1834.5
2024/1/1 18:00,Biomass,32.0
2024/1/1 18:00,Energy Storage,
2024/1/1 18:00,Fossil Brown Coal/Lignite,734.75
2024/1/1 18:00,Fossil Gas,1428.0
2024/1/1 18:00,Fossil Hard Coal,0.0
2024/1/1 18:00,Hydro Run-of-river and Poundage,1511.5
2024/1/1 18:00,Hydro Water Reservoir,559.0
2024/1/1 18:00,Nuclear,1396.75
2024/1/1 18:00,Solar,0.0
2024/1/1 18:00,Wind,1845.75
