Date,AT,DE,ES,FR,GR,HR,HU,PL,RO,RS,SK
2024/1/1 0:00,31.985,78.0,40.73,-18.2,,0.0675,-44.745,279.4,3100.0,53.23,-5.0
2024/1/1 1:00,17.7225,77.58,29.82,-18.51,,0.01,-545.47,329.14,2000.0,32.04,29.25
2024/1/1 2:00,-11.46,84.605,43.91,-17.89,,0.02,-1390.0175,348.62,3100.0,33.06,-5.0
2024/1/1 3:00,-16.0425,86.7275,39.35,8.77,,0.0,-941.39,279.4,2000.0,31.35,-5.0
2024/1/1 4:00,23.3425,41.89,39.17,-1.125,,0.0,-116.8175,266.69,3100.0,5.59,-4.4975
2024/1/1 5:00,64.36,101.365,39.02,-11.81,,0.0,-1.31,279.4,2000.0,26.55,-5.0
2024/1/1 6:00,5.62,30.4575,1.9,51.115,,-17.535,31003.0325,374.88,1176.17,27.77,-5.0
2024/1/1 7:00,-51.6525,7.9925,1.33,65.51,,-81.47,-622.5525,374.36,674.2275,36.68,-5.0
2024/1/1 8:00,20.4875,-49.57,13.39,-22.585,,-59.565,-1350.84,374.88,-1979.2925,40.04,-5.0
2024/1/1 9:00,7.42,7.0925,1.52,-8.995,,0.06,-365.5425,375.55,-699.07,64.35,-3.4925
2024/1/1 10:00,15.7175,-23.16,1.04,-2.635,,0.08,-17584.4525,376.08,-1285.65,36.89,-4.4975
2024/1/1 11:00,-29.78,15.285,0.41,-21.845,,0.76,-50637.7675,376.08,-494.0125,31.97,29.25
2024/1/1 12:00,-37.7375,-10.91,0.0,-17.14,,3.14,-41094.61,376.75,-149.3275,34.34,-5.0
2024/1/1 13:00,22.4,109.885,-0.57,-12.095,,4.12,20104.62,377.03,-761.8275,35.51,63.5
2024/1/1 14:00,100.72,126.5825,0.0,-6.13,,11.0,99283.41,376.16,-324.73,42.09,97.75
2024/1/1 15:00,171.435,77.1125,0.0,28.235,,44.66,73689.065,376.68,-222.125,68.49,97.75
2024/1/1 16:00,29.855,-11.4875,0.24,51.125,,69.05,-3112.78,392.88,-312.505,90.74,-5.0
2024/1/1 17:00,65.1325,57.0325,5.06,76.715,,70.13,23449.1,374.88,-126.5925,103.93,-5.0
2024/1/1 18:00,66.4825,79.5075,36.58,43.985,,83.26,79200.9325,313.34,-1542.1975,41.06,-5.0
2024/1/1 19:00,52.02,28.8875,39.28,-7.39,,76.94,39985.315,312.14,-529.9725,0.0,29.25
2024/1/1 20:00,-6.24,77.62,59.56,17.335,,29.14,-324.75,375.48,-502.2675,42.61,-4.4975
2024/1/1 21:00,-9.5425,76.8275,39.96,10.11,,26.74,-517.8825,374.88,724.4475,31.81,-5.0
2024/1/1 22:00,-34.265,-13.1375,42.5,20.975,,39.93,37139.4,375.48,214.445,5.56,130.7475
2024/1/1 23:00,-749.0125,77.4325,10.12,-3.11,,21.33,23864.2475,375.48,-410.68,70.13,29.25
2024/1/2 0:00,-1391.33,-86.075,4.72,-15.38,,28.88,-1807.01,269.65,-1032.355,65.15,-5.0
2024/1/2 1:00,-1225.145,-54.845,0.08,11.465,,23.35,-1971.4575,256.94,-263.275,10.71,-5.0
2024/1/2 2:00,0.2075,89.19,0.05,-25.47,,36.72,2239.01,265.52,138.685,3.0,-4.495
2024/1/2 3:00,10.3725,-59.91,0.12,-21.335,,21.77,6320.26,269.02,-561.2,63.79,-4.7475
2024/1/2 4:00,-27.775,-32.8325,0.04,-34.93,,13.08,3802.09,280.49,742.255,34.01,-5.0
2024/1/2 5:00,21.075,-17.0325,52.11,-0.53,,45.23,89849.745,284.1,161.1075,92.1,30.5
2024/1/2 6:00,56.7975,-56.325,0.28,34.305,,62.29,17661.59,311.64,-506.8775,0.0,29.25
2024/1/2 7:00,54.655,-36.69,14.14,10.845,,96.99,-2383.03,422.3,-334.225,9.4,17.35
2024/1/2 8:00,10.9275,97.5,40.53,8.72,,100.72,-1533.0225,473.05,2301.3075,1.6,99.0975
2024/1/2 9:00,73.3125,121.715,38.49,11.8,,87.54,-1061.695,421.96,1108.4225,81.21,86.31
2024/1/2 10:00,65.93,53.47,22.52,18.085,,58.09,-3142.5,353.72,-403.2825,0.0,-3.4975
2024/1/2 11:00,115.02,117.145,20.43,46.9,,45.2,27232.1425,317.63,-399.1875,20.34,87.63
2024/1/2 12:00,75.855,101.5025,66.95,51.1,,46.7,58231.225,320.61,-751.72,15.73,90.12
