Date,AT,BG,DE,ES,FR,GR,HR,HU,IT,PL,RO,RS,SK
2024/1/1 0:00,5648.8,3886.3,40170.09,22047.0,52847.0,4301.0,1640.25,4260.095,20694.0,14097.63,5176.5,4034.0,2382.0
2024/1/1 1:00,5480.5,3743.14,38818.15,21378.0,51600.0,4122.0,1560.75,4122.0075,19910.0,13695.19,4973.75,4021.0,2280.0
2024/1/1 2:00,5326.7,3608.08,37847.565,20286.0,50992.0,3902.0,1473.0,3891.0025,18833.0,13190.86,4830.75,3863.0,2252.0
2024/1/1 3:00,5110.6,3521.38,37123.2325,19074.0,48187.0,3765.0,1406.75,3732.5725,17878.0,12752.41,4731.75,3610.0,2168.0
2024/1/1 4:00,5071.3,3486.74,36753.515,18261.0,46479.0,3749.0,1370.0,3685.135,17312.0,12708.3,4684.75,3444.0,2148.0
2024/1/1 5:00,5160.2,3496.48,37051.4025,17899.0,46285.0,3798.0,1376.5,3714.605,17529.0,12810.55,4683.5,3346.0,2167.0
2024/1/1 6:00,5297.6,3577.47,36725.425,17992.0,46633.0,3900.0,1426.0,3822.67,18408.0,13031.38,4674.0,3317.0,2226.0
2024/1/1 7:00,5599.3,3769.97,37321.025,18363.0,46820.0,4068.0,1457.0,3928.5225,19022.0,13042.59,4611.75,3294.0,2267.0
2024/1/1 8:00,5927.8,3940.41,37984.345,18477.0,46877.0,4483.0,1525.0,4079.8725,19226.0,13265.0,4527.25,3468.0,2366.0
2024/1/1 9:00,6166.8,4009.6,39951.8225,18596.0,47690.0,4827.0,1655.0,4271.2075,20353.0,13970.26,4417.25,3663.0,2519.0
2024/1/1 10:00,6278.3,4005.86,42309.145,19548.0,49158.0,5073.0,1809.25,4288.78,21360.0,14833.45,4384.75,3846.0,2540.0
2024/1/1 11:00,6273.1,3966.49,44829.0125,20895.0,50275.0,5117.0,1908.25,4145.745,21868.0,15593.63,4522.0,3904.0,2688.0
2024/1/1 12:00,6163.6,3850.13,45824.1075,21173.0,50897.0,4851.0,1901.5,4164.4875,22387.0,16178.48,4615.0,3936.0,2662.0
2024/1/1 13:00,6106.3,3765.29,45251.79,21283.0,49197.0,4410.0,1823.25,4180.38,21836.0,16679.21,4679.0,3959.0,2641.0
2024/1/1 14:00,6122.3,3820.14,44904.3225,21549.0,48355.0,4288.0,1768.0,4334.2625,21533.0,16669.61,4826.75,3912.0,2618.0
2024/1/1 15:00,6334.0,4072.93,44952.3025,20842.0,47879.0,4341.0,1752.0,4594.8075,21872.0,16752.64,5184.25,3939.0,2550.0
2024/1/1 16:00,6715.2,4551.86,46881.39,20762.0,47633.0,4773.0,1866.0,4919.395,23076.0,17333.63,5670.25,4154.0,2732.0
2024/1/1 17:00,7054.2,4719.73,50120.6075,21844.0,50761.0,5188.0,1987.25,5020.7575,25730.0,17323.3,5758.25,4177.0,2746.0
2024/1/1 18:00,7060.1,4685.9,50199.46,24291.0,53965.0,5280.0,2004.75,5037.105,26627.0,17262.66,5741.5,4169.0,2741.0
2024/1/1 19:00,6857.2,4558.08,49118.3525,25962.0,54973.0,5291.0,2030.75,5040.8675,27210.0,17301.56,5674.5,4181.0,2753.0
2024/1/1 20:00,6500.5,4388.22,47071.5375,26984.0,53641.0,5154.0,2029.5,4959.6125,26706.0,17014.4,5511.5,4141.0,2728.0
2024/1/1 21:00,6142.7,4253.18,45148.845,27543.0,52244.0,4906.0,2034.25,4801.83,25405.0,16213.79,5279.75,4034.0,2612.0
2024/1/1 22:00,6155.5,3985.04,43664.225,26266.0,53034.0,4626.0,1929.25,4582.3125,23519.0,15424.54,5008.5,4055.0,2491.0
2024/1/1 23:00,5764.1,3717.7,41057.3775,24043.0,53157.0,4220.0,1757.5,4324.65,21405.0,14435.16,4793.0,4098.0,2374.0
2024/1/2 0:00,5589.6,3506.19,38389.92,21831.0,50832.0,3903.0,1587.0,4071.915,19558.0,13653.49,4628.25,4100.0,2275.0
2024/1/2 1:00,5328.6,3397.97,37078.08,20025.0,49234.0,3803.0,1450.25,3929.1575,18195.0,13216.51,4534.0,3871.0,2176.0
2024/1/2 2:00,5226.1,3359.33,37041.8675,18892.0,48397.0,3664.0,1381.5,3784.715,17554.0,12978.1,4487.25,3646.0,2176.0
2024/1/2 3:00,5179.1,3385.5,37358.4775,18388.0,46148.0,3554.0,1365.5,3749.315,17358.0,13100.9,4485.0,3431.0,2186.0
2024/1/2 4:00,5374.8,3519.71,39411.915,18296.0,45319.0,3621.0,1394.75,3875.7275,17646.0,13510.31,4568.0,3379.0,2268.0
2024/1/2 5:00,5954.3,3848.66,42453.665,18775.0,46963.0,3936.0,1517.25,4228.835,19183.0,14635.7,4693.0,3403.0,2431.0
2024/1/2 6:00,6715.2,4280.38,47725.9,20973.0,50314.0,4357.0,1802.5,4768.0775,22838.0,17228.64,4907.75,3507.0,2734.0
2024/1/2 7:00,7491.1,4807.3,52564.765,24568.0,53487.0,4793.0,2020.5,5164.1325,26577.0,19191.15,5180.0,3633.0,2932.0
2024/1/2 8:00,7917.6,5187.7,56047.47,27605.0,55847.0,5262.0,2190.75,5245.9775,29944.0,20306.69,5509.75,3880.0,3090.0
2024/1/2 9:00,8157.6,5279.53,57931.3725,29481.0,57652.0,5605.0,2258.25,5178.785,31906.0,21046.26,5613.75,4068.0,3225.0
2024/1/2 10:00,8229.4,5289.09,59509.5425,30523.0,59159.0,5815.0,2256.0,5172.075,31840.0,21249.06,5459.5,4104.0,3177.0
2024/1/2 11:00,8374.7,5197.57,60929.47,30410.0,60575.0,5918.0,2253.75,5282.835,31011.0,21560.73,5198.0,4088.0,3298.0
2024/1/2 12:00,8212.6,5028.08,61269.675,30355.0,61433.0,5906.0,2241.0,5297.115,30416.0,21724.68,5109.0,4027.0,3337.0
2024/1/2 13:00,8060.6,4863.54,60607.0075,30734.0,60080.0,5744.0,2177.25,5456.6775,30177.0,22047.83,5166.25,4003.0,3335.0
2024/1/2 14:00,8004.8,4850.65,59704.995,31011.0,59888.0,5703.0,2127.75,5642.3975,31204.0,21734.26,5440.5,3954.0,3270.0
2024/1/2 15:00,8090.5,4975.83,60066.9225,30645.0,58747.0,5575.0,2140.0,5805.4775,31414.0,21876.73,5819.0,4019.0,3195.0
2024/1/2 16:00,8317.9,5281.81,61427.0775,30439.0,57433.0,5766.0,2276.25,5986.845,32253.0,22418.94,6374.5,4272.0,3347.0
2024/1/2 17:00,8448.2,5504.36,63377.005,30823.0,58778.0,6142.0,2409.5,5939.97,34122.0,22289.95,6431.5,4420.0,3308.0
