Date,AT,BG,DE,ES,FR,GR,HR,HU,IT,PL,RO,RS,SK
2024/1/1 0:00,0.1,0.1,0.1,63.33,0.1,107.09,0.1,0.1,107.09,76.69,0.1,7.07,0.1
2024/1/1 1:00,0.01,0.01,0.01,50.09,0.01,104.0,0.01,0.01,104.0,74.5,0.01,5.02,0.01
2024/1/1 2:00,0.02,0.04,0.0,47.5,0.0,100.0,0.03,0.04,100.0,73.29,0.04,1.1,0.05
2024/1/1 3:00,0.0,0.01,-0.01,43.5,-0.01,85.66,0.0,0.01,85.66,71.58,0.01,2.3,0.01
2024/1/1 4:00,-0.01,0.01,-0.03,42.5,-0.03,85.0,0.0,0.01,85.0,73.27,0.01,2.27,0.01
2024/1/1 5:00,-0.01,0.01,-0.02,42.09,-0.02,85.53,0.0,0.01,85.53,74.32,0.01,5.4,0.01
2024/1/1 6:00,0.0,0.04,-0.05,42.5,-0.04,95.07,0.02,0.04,95.07,76.69,0.04,7.03,0.04
2024/1/1 7:00,0.0,0.01,-0.02,42.59,-0.01,103.07,0.0,0.01,104.07,74.55,0.01,7.97,0.01
2024/1/1 8:00,0.0,0.01,0.0,43.37,0.0,65.0,0.0,0.0,106.95,72.25,0.0,8.92,0.0
2024/1/1 9:00,0.04,0.04,0.04,42.29,0.04,47.34,0.04,0.04,107.08,76.01,0.04,12.96,0.04
2024/1/1 10:00,0.06,0.06,0.06,25.0,0.06,1.0,0.06,0.06,104.0,82.2,0.06,7.02,0.06
2024/1/1 11:00,0.54,0.54,0.54,3.9,0.54,0.54,0.54,0.54,98.13,82.91,0.54,7.0,0.54
2024/1/1 12:00,2.24,2.24,2.24,3.2,2.24,2.24,2.24,2.24,101.55,80.87,2.24,6.93,2.24
2024/1/1 13:00,2.58,3.24,1.96,2.06,2.06,3.24,2.94,3.22,98.16,79.79,3.24,7.04,3.44
2024/1/1 14:00,5.29,9.85,1.04,1.73,1.73,65.1,7.86,9.73,98.17,82.68,9.85,13.07,11.18
2024/1/1 15:00,22.22,39.22,3.66,5.72,5.72,96.91,31.9,38.66,105.54,77.56,39.22,38.75,43.85
2024/1/1 16:00,47.61,53.13,43.06,18.49,18.49,97.44,49.32,53.17,110.0,75.46,53.13,57.06,55.61
2024/1/1 17:00,56.53,61.37,49.93,37.0,37.0,94.0,58.44,61.26,120.04,74.16,61.37,67.17,63.03
2024/1/1 18:00,59.06,60.67,58.0,47.5,47.5,98.58,59.47,60.7,131.5,74.16,60.67,62.49,61.39
2024/1/1 19:00,55.01,65.0,54.25,54.97,54.97,101.03,54.96,54.94,132.0,75.61,54.96,50.09,54.94
2024/1/1 20:00,48.76,50.01,48.01,60.9,48.61,105.72,48.57,48.47,127.75,86.1,48.47,46.69,48.4
2024/1/1 21:00,41.36,50.01,42.95,60.0,24.88,101.06,44.56,40.6,113.48,86.02,9.85,43.35,40.46
2024/1/1 22:00,45.95,43.0,47.09,47.5,35.89,103.19,49.91,44.92,109.18,81.21,9.85,41.66,44.59
2024/1/1 23:00,35.55,35.55,35.55,42.09,35.55,99.05,35.55,35.55,107.2,77.26,35.55,35.88,35.55
2024/1/2 0:00,29.22,29.38,30.59,37.8,19.49,55.0,28.88,29.48,105.49,82.35,29.38,37.87,29.71
2024/1/2 1:00,19.58,19.64,20.07,25.0,16.12,90.09,19.46,19.67,90.09,81.39,19.64,31.25,19.76
2024/1/2 2:00,27.57,27.65,31.03,3.99,0.06,84.27,26.23,27.92,84.27,81.04,27.65,26.09,28.56
2024/1/2 3:00,15.67,16.38,18.39,14.0,0.02,40.82,15.55,16.54,84.27,81.46,16.38,24.04,16.92
2024/1/2 4:00,9.69,9.85,11.08,10.0,0.01,84.27,9.34,9.95,84.27,90.75,9.85,26.1,10.17
2024/1/2 5:00,27.59,65.02,13.78,14.54,0.09,100.0,32.31,38.51,100.0,91.67,38.77,31.47,42.27
2024/1/2 6:00,45.09,108.28,47.63,36.29,20.74,108.28,44.49,46.22,108.28,91.78,46.0,40.2,46.94
2024/1/2 7:00,65.89,113.85,58.1,44.7,44.7,113.85,69.28,73.84,113.85,94.89,73.93,50.06,76.73
2024/1/2 8:00,70.99,107.42,65.67,53.78,53.78,107.42,74.26,77.86,126.9,94.23,77.9,55.88,80.12
2024/1/2 9:00,69.95,76.35,64.73,54.23,54.23,76.36,72.95,76.31,119.5,91.74,76.35,54.07,78.46
2024/1/2 10:00,70.63,75.6,68.98,50.0,50.0,75.6,72.61,75.65,110.6,87.51,75.6,52.12,77.51
2024/1/2 11:00,73.97,77.87,73.54,52.2,52.2,77.87,75.33,78.0,108.28,87.38,77.87,51.39,79.66
2024/1/2 12:00,77.85,80.27,78.16,45.0,45.0,80.27,77.84,80.54,105.88,87.39,80.27,55.63,81.93
2024/1/2 13:00,78.6,81.27,78.87,43.0,43.0,81.27,78.61,81.55,100.15,89.07,81.27,56.95,83.02
2024/1/2 14:00,80.4,85.03,79.24,43.0,43.0,95.12,80.8,84.21,108.28,94.14,83.94,59.21,85.98
2024/1/2 15:00,81.0,102.56,79.96,40.99,40.99,102.56,81.86,85.59,110.0,97.14,85.31,72.07,87.67
2024/1/2 16:00,83.56,87.85,83.46,43.66,43.66,102.38,84.43,88.12,112.8,99.25,87.85,91.48,90.19
2024/1/2 17:00,82.96,86.04,80.92,52.2,52.2,103.32,83.57,86.21,129.99,94.89,86.04,101.06,87.77
2024/1/2 18:00,77.28,81.49,74.95,57.77,57.77,103.58,79.04,81.53,130.0,91.7,81.49,83.07,83.15
2024/1/2 19:00,68.93,75.17,63.18,62.45,62.45,106.06,72.64,75.01,124.29,88.52,75.17,65.17,76.81
2024/1/2 20:00,58.85,65.01,57.11,58.0,58.0,104.96,59.51,59.91,111.26,87.37,59.95,58.07,60.22
2024/1/2 21:00,47.84,65.01,46.89,52.83,47.9,102.2,47.93,47.98,108.28,87.94,47.99,50.04,48.02
2024/1/2 22:00,41.05,101.97,40.0,46.26,41.67,101.97,41.06,41.04,106.0,91.82,41.04,36.03,40.93
2024/1/2 23:00,20.42,92.41,7.43,40.1,21.42,92.41,25.48,25.48,92.41,83.49,37.54,24.78,25.28
2024/1/3 0:00,11.43,19.44,-0.08,6.8,1.29,82.5,15.45,19.2,82.5,70.97,19.44,27.01,21.93
