Date,AT,BG,DE,ES,FR,GR,HR,HU,IT,PL,RO,RS,SK
2024/1/1 0:00,4851.8,3887.4,5381.1,16540,37645,3949,877.95,4177.4,16789,11279.9,4255.25,3782.1,2381.7
2024/1/1 10:00,4193.3,2878.7,2866.3,10292,37290,1675,1685.55,3755.55,14324,12840.8,3762,3587.8,2517.4
2024/1/1 11:00,3668.1,2703.9,3592.9,8329,37407,1357,1816.75,3369.8,14410,13553.5,3684.5,3682.5,2625.8
2024/1/1 12:00,3178.6,2665.1,5080.62,6006,36826,1191,1835.6,3182.22,15102,14044.9,3874,3817.9,2541.9
2024/1/1 13:00,3122.3,2602.7,6513.55,5102,34264,1045,1748.85,3122.65,15409,14543.7,3955,3824.4,2545.4
2024/1/1 14:00,3431.3,2818.6,9480.92,4454,33670,949,1716.9,3676.45,16447,14781.2,4042.25,3814.2,2564.1
2024/1/1 15:00,4546,3245.8,12767.8,2782,34473,1687,1720.3,4345.55,18226,15023.6,4087.25,3875,2537
2024/1/1 16:00,5507.2,3891.2,15629.5,4896,36324,2873,1839.7,4785.15,20680,15556.1,4167.25,4088.4,2730.8
2024/1/1 17:00,5985.2,4455.9,18128,11030,41091,3628,1950.25,4920.85,23652,15270.6,4245.5,4114.3,2745
2024/1/1 18:00,5846.1,4623.2,19105.1,15813,43823,4085,1984.85,4956.95,24633,14999,3923.75,4117.9,2740.1
2024/1/1 19:00,5580.2,4563.6,18545.1,16950,43168,4215,2012.45,4929.52,25170,14998.4,3895.75,4137.1,2752
2024/1/1 1:00,4497.5,3790.4,4452,15694,36866,3644,820.55,4065.93,15983,11209.5,3972.5,3777.1,2279.8
2024/1/1 20:00,4833.5,4419.5,17336.1,17697,40103,4338,2015.2,4838.1,24645,14558.5,3652.75,4089.2,2726.9
2024/1/1 21:00,4492.7,4267.8,16514.6,18610,37347,4147,2026.55,4696.05,23077,13864.3,3386,3996.7,2611.1
2024/1/1 22:00,4513.5,4114.5,16510.6,17503,37237,3824,1916.85,4493.57,20836,13185.9,3163.75,4044.1,2490.3
2024/1/1 23:00,3821.1,3863.9,15816.5,14927,37123,3563,1734.9,4195.02,18464,12240.4,2820,4096.5,2373.3
2024/1/1 2:00,3767.7,3627,3559.72,14705,36625,3384,691.9,3832.9,14792,10825.8,3635.25,3608.8,2251.8
2024/1/1 3:00,2802.6,3456.5,3877.25,13816,34794,3065,591.35,3642.4,13756,10503.8,3507.5,3347.6,2167.5
2024/1/1 4:00,2730.3,3406.2,3807.6,13000,37872,2907,521.7,3563.38,13294,10652.1,3434.75,3180.3,2147.3
2024/1/1 5:00,3625.2,3388.8,3793.88,12700,38037,2904,590.8,3597.4,13467,10905.8,3402.5,3082.6,2166.3
2024/1/1 6:00,4281.6,3406.5,3820.12,12739,38546,2954,617,3754.32,14431,11429.3,3557.75,3055.1,2225.1
2024/1/1 7:00,4192.3,3480.5,4224.25,12954,39122,3061,758.9,3846.9,14984,11673.6,3820.5,3033.5,2265.8
2024/1/1 8:00,4433.8,3556.3,3856.97,12829,39124,2869,990.6,3916.43,14669,11699.9,3966.5,3209.9,2364
2024/1/1 9:00,4403.8,3289,3651.97,12090,36469,2212,1462.4,3996.45,14593,12175.3,3956.25,3398.7,2511.4
2024/1/10 0:00,7127,4915.1,44896.3,25481,69190,2534,1372.8,5528.9,25158,19769.4,4394.5,4954.4,3137.7
2024/1/10 10:00,8756.3,5720.3,55981.7,30673,79149,3523,2348.85,4086.07,40283,24677,6867.75,5397,3638.2
2024/1/10 11:00,8380.3,5205.7,53187.6,28776,79017,3003,2328.8,3618.18,39205,24016.8,6337.98,5346,3661.2
2024/1/10 12:00,8002,4822.4,51810.9,27701,79382,2611,2310.55,3635.35,37035,23716.3,6091.25,5293.4,3605
2024/1/10 13:00,7987.9,4599.4,52275.9,27254,75865,2469,2232.25,4058.12,37359,23978.3,6043,5221.9,3606.2
2024/1/10 14:00,7965.3,4624,55076.8,26752,75190,2556,2184.4,5020.27,39307,24496.6,5974.25,5142.6,3665.4
2024/1/10 15:00,8291.6,5102.7,60069.2,25752,74224,3366,2208.8,6211.55,40826,25614.7,6374.75,5110.9,3753.9
2024/1/10 16:00,8686.4,5797,63143.1,26242,73864,4527,2369.85,6880.05,42007,26523.6,6589.25,5299,4037.2
2024/1/10 17:00,8693.1,6273.8,64451.2,28506,76142,5245,2601.05,6997.3,43197,26431.7,6797.25,5478,4055.1
2024/1/10 18:00,8521.7,6568.3,63602.8,31629,79583,5661,2563.6,6969.23,42337,25946.5,6813.5,5486.3,4030
2024/1/10 19:00,8129.6,6508.8,63277.3,33072,79388,5720,2552.45,6951.95,41662,25528.7,6994.25,5448.6,4009.1
2024/1/10 1:00,6847,4670.9,43910.2,23303,68171,2160,1248.7,5291.73,23685,19312.5,4401.25,4689.7,3044.6
2024/1/10 20:00,7637.2,6233,61114.9,33286,74731,5594,2503.15,6759.7,39250,24553.4,6624.5,5371,3916.1
2024/1/10 21:00,7046.7,5969.2,58632.8,32054,70581,5129,2459.7,6517.68,35998,22885.7,6264.75,5265,3670.1
2024/1/10 22:00,6834.3,5731.7,56384.1,27850,69940,4680,2275.75,6241.12,32086,20826.6,5778.75,5242,3456.2
2024/1/10 23:00,6410.4,5380.4,53425.9,23705,69125,4248,1997.9,5950.05,28640,19176,5459.5,5244,3279.1
2024/1/10 2:00,6645.1,4572,43186.8,21751,67427,2149,1203.15,5126.18,22920,19116,4378.25,4349.6,3108.8
2024/1/10 3:00,6494.8,4576.2,43357.7,20839,65186,2098,1193.75,5082.93,22770,19148.5,4450,4146.4,3088
2024/1/10 4:00,6561.5,4623.9,44045.7,20449,64182,2114,1256.55,5239.02,23182,19605.6,4559.75,4130.9,3182.1
2024/1/10 5:00,7188.1,4793.3,46953.7,21033,66384,2343,1442,5649.52,25200,20634.3,4852.75,4245.4,3389.1
2024/1/10 6:00,8325,5285.6,53224.8,23593,71021,2888,1855.7,6485.27,31158,23522.4,5560.75,4585.3,3850.9
2024/1/10 7:00,9304,5783.8,58646.1,28146,75679,3751,2209.3,6836.15,37670,25545.1,6402.5,5001.5,4074.3
2024/1/10 8:00,9562.1,6202.7,60914.7,31683,78567,4101,2349.5,6229.38,41524,26233,6870.75,5287.2,4078.1
