Date,AT,BG,DE,ES,FR,GR,HR,HU,IT,PL,RO,RS,SK
2024/1/1 0:00,797.0,95.85,35262.895,5479.0,14977.0,657.0,762.3,82.7275,3905.0,2817.75,1204.0,251.88,0.3
2024/1/1 1:00,983.0,116.11,34838.7975,5656.0,14734.0,738.0,740.2,56.0875,3927.0,2485.7,1338.5,243.94,0.2
2024/1/1 2:00,1559.0,151.61,34761.8675,5553.0,14367.0,837.0,781.1,58.115,4041.0,2365.05,1323.25,254.23,0.2
2024/1/1 3:00,2308.0,115.12,33711.67,5230.0,13393.0,858.0,815.4,90.1725,4122.0,2248.58,1297.0,262.43,0.5
2024/1/1 4:00,2341.0,97.92,33409.3125,5233.0,8607.0,826.0,848.3,121.765,4018.0,2056.19,1282.25,263.7,0.7
2024/1/1 5:00,1535.0,89.98,33721.245,5171.0,8248.0,844.0,785.7,117.1925,4062.0,1904.76,1125.75,263.38,0.7
2024/1/1 6:00,1016.0,96.16,33368.865,5225.0,8087.0,837.0,808.6,68.34,3977.0,1602.08,853.5,261.86,0.9
2024/1/1 7:00,1398.0,98.22,33569.2025,5381.0,7698.0,919.0,696.5,80.52,3957.0,1348.1,608.0,260.47,0.8
2024/1/1 8:00,1409.0,101.94,34202.685,5614.0,7507.0,917.0,529.3,113.7,3720.0,1412.44,410.25,258.11,0.7
2024/1/1 9:00,1542.0,146.68,33671.82,5849.0,10903.0,879.0,183.3,76.72,3472.0,1465.95,349.25,264.26,0.4
2024/1/1 10:00,1611.0,161.99,33785.2225,5798.0,10935.0,897.0,108.1,70.965,3485.0,1439.84,328.25,258.25,0.5
2024/1/1 11:00,1922.0,174.98,33839.785,5649.0,10414.0,982.0,71.2,68.8025,3651.0,1258.25,305.0,221.54,0.6
2024/1/1 12:00,2232.0,179.83,33702.7575,6287.0,10050.0,1114.0,42.8,95.8725,3596.0,1218.05,358.0,118.06,0.7
2024/1/1 13:00,2314.0,119.84,33049.1875,6420.0,10050.0,1164.0,54.6,116.28,3373.0,1246.59,411.75,134.57,1.0
2024/1/1 14:00,2222.0,119.2,31812.8625,6753.0,9759.0,1128.0,37.1,135.0025,2890.0,1327.5,610.25,97.76,1.0
2024/1/1 15:00,1574.0,93.39,31246.9825,7173.0,9218.0,1113.0,24.5,147.58,2543.0,1486.75,989.75,64.0,0.9
2024/1/1 16:00,1187.0,95.65,31610.24,7358.0,8606.0,1137.0,24.3,133.8225,2280.0,1757.21,1424.5,65.6,1.1
2024/1/1 17:00,1069.0,96.47,32435.8275,7295.0,8699.0,1102.0,35.8,99.895,2078.0,2052.68,1834.5,62.67,1.0
2024/1/1 18:00,1214.0,122.28,31522.6375,8060.0,9885.0,1065.0,19.1,80.1575,1994.0,2263.68,1845.75,51.06,0.9
2024/1/1 19:00,1277.0,138.54,30992.275,8892.0,11805.0,953.0,17.9,111.35,2040.0,2303.18,2021.75,43.91,1.0
2024/1/1 20:00,1667.0,120.45,30141.135,9200.0,13538.0,1007.0,14.3,121.5375,2061.0,2455.93,2125.5,51.8,1.1
2024/1/1 21:00,1650.0,138.69,29021.7075,8865.0,14897.0,1082.0,7.7,105.775,2328.0,2349.49,2116.0,37.28,0.9
2024/1/1 22:00,1642.0,121.15,27521.365,8703.0,15797.0,1063.0,12.4,88.7375,2683.0,2238.69,2188.5,10.93,0.7
2024/1/1 23:00,1943.0,123.09,25591.5225,9057.0,16034.0,1025.0,22.6,129.62,2941.0,2194.75,2175.25,1.48,0.7
2024/1/2 0:00,1851.0,150.9,24464.915,9598.0,16280.0,1109.0,18.9,136.4075,3241.0,2133.99,2093.25,0.0,0.5
2024/1/2 1:00,1601.0,132.88,23680.7975,9772.0,16499.0,1082.0,24.8,103.39,3351.0,2017.08,1932.0,0.0,0.4
2024/1/2 2:00,1319.0,112.32,23512.8825,9720.0,16716.0,1183.0,33.6,71.5425,2995.0,1924.53,1510.5,0.0,0.5
2024/1/2 3:00,1020.0,116.54,25021.955,9761.0,16630.0,1328.0,25.2,55.1625,2529.0,1889.4,1026.0,0.0,0.4
2024/1/2 4:00,978.0,113.91,27452.66,9450.0,16564.0,1509.0,23.5,45.3125,2307.0,1695.2,666.75,0.0,0.4
2024/1/2 5:00,532.0,149.08,30273.25,9307.0,16505.0,1633.0,22.1,43.195,2229.0,1536.49,473.0,0.0,0.3
2024/1/2 6:00,365.0,116.25,33341.8225,10131.0,16437.0,1597.0,27.4,70.8975,2133.0,1315.66,323.5,0.0,0.3
2024/1/2 7:00,389.0,146.99,35044.985,10852.0,16282.0,1665.0,23.9,74.275,2309.0,1220.23,290.25,0.63,0.2
2024/1/2 8:00,581.0,159.63,36048.275,11360.0,16277.0,1683.0,44.0,70.145,2204.0,1216.13,242.0,7.76,0.2
2024/1/2 9:00,934.0,94.88,35834.3225,11475.0,16280.0,1731.0,100.6,103.825,1920.0,1266.99,137.0,20.79,0.3
2024/1/2 10:00,1088.0,160.48,35669.535,11633.0,16500.0,1738.0,135.3,118.5925,2192.0,1308.25,141.0,28.43,0.4
2024/1/2 11:00,886.0,257.91,33367.82,11750.0,16861.0,1701.0,163.8,102.9875,2617.0,1155.78,342.0,28.01,0.6
2024/1/2 12:00,867.0,245.88,31726.46,12198.0,17030.0,1819.0,176.0,81.8875,3184.0,1161.5,213.25,23.5,0.4
2024/1/2 13:00,955.0,129.68,30809.1325,13091.0,17113.0,1736.0,180.8,106.8425,3529.0,1347.38,281.75,26.57,0.3
