Date,DE,FR,ES,IT,GR,RO,HU,AT,PL,SK,RS,HR,BG
01/01/2024 00:00,40170,52847,22047,20694,4563,5361,4260,5649,14098,2382,4034,1640,3992
01/01/2024 01:00,38818,51600,21378,19910,4301,5177,4122,5481,13695,2280,4021,1561,3886
01/01/2024 02:00,37848,50992,20286,18833,4122,4974,3891,5327,13191,2252,3863,1473,3743
01/01/2024 03:00,37123,48187,19074,17878,3902,4831,3733,5111,12752,2168,3610,1407,3608
01/01/2024 04:00,36754,46479,18261,17312,3765,4732,3685,5071,12708,2148,3444,1370,3521
01/01/2024 05:00,37051,46285,17899,17529,3749,4685,3715,5160,12811,2167,3346,1377,3487
01/01/2024 06:00,36725,46633,17992,18408,3798,4684,3823,5298,13031,2226,3317,1426,3496
01/01/2024 07:00,37321,46820,18363,19022,3900,4674,3929,5599,13043,2267,3294,1457,3577
01/01/2024 08:00,37984,46877,18477,19226,4068,4612,4080,5928,13265,2366,3468,1525,3770
01/01/2024 09:00,39952,47690,18596,20353,4483,4527,4271,6167,13970,2519,3663,1655,3940
01/01/2024 10:00,42309,49158,19548,21360,4827,4417,4289,6278,14833,2540,3846,1809,4010
01/01/2024 11:00,44829,50275,20895,21868,5073,4385,4146,6273,15594,2688,3904,1908,4006
01/01/2024 12:00,45824,50897,21173,22387,5117,4522,4164,6164,16178,2662,3936,1902,3966
01/01/2024 13:00,45252,49197,21283,21836,4851,4615,4180,6106,16679,2641,3959,1823,3850
01/01/2024 14:00,44904,48355,21549,21533,4410,4679,4334,6122,16670,2618,3912,1768,3765
01/01/2024 15:00,44952,47879,20842,21872,4288,4827,4595,6334,16753,2550,3939,1752,3820
01/01/2024 16:00,46881,47633,20762,23076,4341,5184,4919,6715,17334,2732,4154,1866,4073
01/01/2024 17:00,50121,50761,21844,25730,4773,5670,5021,7054,17323,2746,4177,1987,4552
01/01/2024 18:00,50199,53965,24291,26627,5188,5758,5037,7060,17263,2741,4169,2005,4720
01/01/2024 19:00,49118,54973,25962,27210,5280,5742,5041,6857,17302,2753,4181,2031,4686
01/01/2024 20:00,47072,53641,26984,26706,5291,5675,4960,6501,17014,2728,4141,2030,4558
01/01/2024 21:00,45149,52244,27543,25405,5154,5512,4802,6143,16214,2612,4034,2034,4388
01/01/2024 22:00,43664,53034,26266,23519,4906,5280,4582,6156,15425,2491,4055,1929,4253
01/01/2024 23:00,41057,53157,24043,21405,4626,5009,4325,5764,14435,2374,4098,1758,3985
02/01/2024 00:00,38390,50832,21831,19558,4220,4793,4072,5590,13653,2275,4100,1587,3718
02/01/2024 01:00,37078,49234,20025,18195,3903,4628,3929,5329,13217,2176,3871,1450,3506
