Date,AT,DE,ES,FR,GR,HR,HU,PL,RO,RS,SK
2022/1/1 0:00,424.56,,84.88,48.0,,651.78,18260.61,70.0,-73.89,121.6,-27.22
2022/1/1 0:15,42.06,,84.88,48.0,,651.78,138751.0,70.0,2525.17,121.6,-27.22
2022/1/1 0:30,25.84,,84.88,44.28,,651.78,18328.0,70.0,1605.09,121.6,-27.22
2022/1/1 0:45,1.41,,84.88,44.28,,651.78,15524.83,70.0,-605.7,121.6,-27.22
2022/1/1 1:00,329.38,,114.9,42.16,,232.36,1833.09,70.0,2105.11,104.33,-27.22
2022/1/1 1:15,337.05,,114.9,42.16,,232.36,15250.77,70.0,2385.09,104.33,-27.22
2022/1/1 1:30,23.46,,114.9,41.76,,232.36,15250.77,70.0,2328.25,104.33,-27.22
2022/1/1 1:45,27.03,,114.9,41.76,,232.36,10971.73,70.0,2048.7,104.33,-27.22
2022/1/1 2:00,372.89,,113.87,37.21,,589.29,15948.18,150.0,2214.79,85.4,-27.22
2022/1/1 2:15,227.91,,113.87,37.21,,589.29,15948.18,150.0,2007.45,85.4,-27.22
2022/1/1 2:30,32.63,,113.87,34.63,,589.29,15948.18,150.0,1744.62,85.4,-27.22
2022/1/1 2:45,12.85,,113.87,34.63,,589.29,4835.5,150.0,1481.11,85.4,-27.22
2022/1/1 3:00,341.14,,97.8,28.47,,494.75,16094.89,150.0,1155.96,64.32,-27.22
2022/1/1 3:15,36.93,,97.8,28.47,,494.75,16774.74,150.0,932.76,64.32,-27.22
2022/1/1 3:30,16.84,,97.8,27.78,,494.75,16774.74,150.0,909.12,64.32,-27.22
2022/1/1 3:45,341.14,,97.8,27.78,,494.75,16774.74,150.0,1066.08,64.32,-27.22
2022/1/1 4:00,8.19,,97.8,67.98,,397.04,13900.23,162.61,-1.88,73.23,-27.22
2022/1/1 4:15,12.02,,97.8,67.98,,397.04,13900.23,162.61,-64.77,73.23,-27.22
2022/1/1 4:30,24.82,,97.8,65.06,,397.04,13900.23,162.61,-22.99,73.23,-27.22
2022/1/1 4:45,3.77,,97.8,65.06,,397.04,13900.23,162.61,-10.71,73.23,-27.22
2022/1/1 5:00,10.43,,95.74,51.28,,418.43,14649.3,188.37,-11.35,91.99,-27.22
2022/1/1 5:15,0.78,,95.74,51.28,,418.43,14649.3,188.37,-51.13,91.99,-27.23
2022/1/1 5:30,1.43,,95.74,51.04,,418.43,14649.3,188.37,23.21,91.99,-27.23
2022/1/1 5:45,313.41,,95.74,51.04,,418.43,7580.79,188.37,123.93,91.99,-27.22
2022/1/1 6:00,-4.41,,97.8,38.56,,427.81,-1198.55,190.0,87.44,76.44,-27.22
2022/1/1 6:15,1.25,,97.8,38.56,,427.81,-1363.33,190.0,-1733.39,76.44,-27.22
2022/1/1 6:30,9.18,,97.8,39.81,,427.81,-836.64,190.0,-454.85,76.44,-27.22
2022/1/1 6:45,50.93,,97.8,39.81,,427.81,-3922.15,190.0,34.65,76.44,-27.22
2022/1/1 7:00,-7.46,,97.8,46.04,,195.41,-889.8,190.0,36.43,28.45,-27.22
2022/1/1 7:15,1.98,,97.8,46.04,,195.41,-4152.4,190.0,21.06,28.45,-27.22
2022/1/1 7:30,-3.95,,97.8,49.96,,195.41,-4794.84,190.0,38.96,28.45,-27.22
2022/1/1 7:45,-18.62,,97.8,49.96,,195.41,-7475.22,190.0,95.66,28.45,-27.22
