date,category,value
2024/1/1 0:00,Biomass,343.0
2024/1/1 0:00,Fossil Gas,1810.0
2024/1/1 0:00,Fossil Hard Coal,15.0
2024/1/1 0:00,Fossil Oil,162.0
2024/1/1 0:00,Hydro Pumped Storage,2033.0
2024/1/1 0:00,Hydro Run-of-river and Poundage,4822.0
2024/1/1 0:00,Hydro Water Reservoir,1481.0
2024/1/1 0:00,Nuclear,40387.0
2024/1/1 0:00,Solar,225.0
2024/1/1 0:00,Waste,87.0
2024/1/1 0:00,Wind Offshore,578.0
2024/1/1 0:00,Wind Onshore,14399.0
2024/1/1 0:15,Biomass,343.0
2024/1/1 0:15,Fossil Gas,1810.0
2024/1/1 0:15,Fossil Hard Coal,15.0
2024/1/1 0:15,Fossil Oil,162.0
2024/1/1 0:15,Hydro Pumped Storage,2033.0
2024/1/1 0:15,Hydro Run-of-river and Poundage,4822.0
2024/1/1 0:15,Hydro Water Reservoir,1481.0
2024/1/1 0:15,Nuclear,40387.0
2024/1/1 0:15,Solar,225.0
2024/1/1 0:15,Waste,87.0
2024/1/1 0:15,Wind Offshore,578.0
2024/1/1 0:15,Wind Onshore,14399.0
2024/1/1 0:30,Biomass,343.0
2024/1/1 0:30,Fossil Gas,1810.0
2024/1/1 0:30,Fossil Hard Coal,15.0
2024/1/1 0:30,Fossil Oil,162.0
2024/1/1 0:30,Hydro Pumped Storage,2033.0
2024/1/1 0:30,Hydro Run-of-river and Poundage,4822.0
2024/1/1 0:30,Hydro Water Reservoir,1481.0
2024/1/1 0:30,Nuclear,40387.0
2024/1/1 0:30,Solar,225.0
2024/1/1 0:30,Waste,87.0
2024/1/1 0:30,Wind Offshore,578.0
2024/1/1 0:30,Wind Onshore,14399.0
2024/1/1 0:45,Biomass,343.0
2024/1/1 0:45,Fossil Gas,1810.0
2024/1/1 0:45,Fossil Hard Coal,15.0
2024/1/1 0:45,Fossil Oil,162.0
2024/1/1 0:45,Hydro Pumped Storage,2033.0
2024/1/1 0:45,Hydro Run-of-river and Poundage,4822.0
2024/1/1 0:45,Hydro Water Reservoir,1481.0
2024/1/1 0:45,Nuclear,40387.0
2024/1/1 0:45,Solar,225.0
2024/1/1 0:45,Waste,87.0
2024/1/1 0:45,Wind Offshore,578.0
2024/1/1 0:45,Wind Onshore,14399.0
2024/1/1 1:00,Biomass,343.0
2024/1/1 1:00,Fossil Gas,1840.0
2024/1/1 1:00,Fossil Hard Coal,16.0
2024/1/1 1:00,Fossil Oil,191.0
2024/1/1 1:00,Hydro Pumped Storage,2067.0
2024/1/1 1:00,Hydro Run-of-river and Poundage,4767.0
2024/1/1 1:00,Hydro Water Reservoir,1282.0
2024/1/1 1:00,Nuclear,37528.0
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Waste,83.0
2024/1/1 1:00,Wind Offshore,577.0
2024/1/1 1:00,Wind Onshore,14157.0
2024/1/1 1:15,Biomass,343.0
2024/1/1 1:15,Fossil Gas,1840.0
2024/1/1 1:15,Fossil Hard Coal,16.0
2024/1/1 1:15,Fossil Oil,191.0
2024/1/1 1:15,Hydro Pumped Storage,2067.0
2024/1/1 1:15,Hydro Run-of-river and Poundage,4767.0
2024/1/1 1:15,Hydro Water Reservoir,1282.0
2024/1/1 1:15,Nuclear,37528.0
2024/1/1 1:15,Solar,0.0
2024/1/1 1:15,Waste,83.0
2024/1/1 1:15,Wind Offshore,577.0
2024/1/1 1:15,Wind Onshore,14157.0
2024/1/1 1:30,Biomass,343.0
2024/1/1 1:30,Fossil Gas,1840.0
2024/1/1 1:30,Fossil Hard Coal,16.0
2024/1/1 1:30,Fossil Oil,191.0
2024/1/1 1:30,Hydro Pumped Storage,2067.0
2024/1/1 1:30,Hydro Run-of-river and Poundage,4767.0
2024/1/1 1:30,Hydro Water Reservoir,1282.0
2024/1/1 1:30,Nuclear,37528.0
2024/1/1 1:30,Solar,0.0
2024/1/1 1:30,Waste,83.0
2024/1/1 1:30,Wind Offshore,577.0
