date,category,value
2024/1/1 0:00,Biomass,32.0
2024/1/1 0:00,Fossil Brown Coal/Lignite,747.0
2024/1/1 0:00,Fossil Gas,1423.0
2024/1/1 0:00,Fossil Hard Coal,0.0
2024/1/1 0:00,Hydro Run-of-river and Poundage,855.0
2024/1/1 0:00,Hydro Water Reservoir,33.0
2024/1/1 0:00,Nuclear,1396.0
2024/1/1 0:00,Solar,0.0
2024/1/1 0:00,Wind Onshore,1168.0
2024/1/1 0:15,Biomass,31.0
2024/1/1 0:15,Fossil Brown Coal/Lignite,805.0
2024/1/1 0:15,Fossil Gas,1433.0
2024/1/1 0:15,Fossil Hard Coal,0.0
2024/1/1 0:15,Hydro Run-of-river and Poundage,844.0
2024/1/1 0:15,Hydro Water Reservoir,33.0
2024/1/1 0:15,Nuclear,1396.0
2024/1/1 0:15,Solar,0.0
2024/1/1 0:15,Wind Onshore,1198.0
2024/1/1 0:30,Biomass,31.0
2024/1/1 0:30,Fossil Brown Coal/Lignite,845.0
2024/1/1 0:30,Fossil Gas,1435.0
2024/1/1 0:30,Fossil Hard Coal,0.0
2024/1/1 0:30,Hydro Run-of-river and Poundage,844.0
2024/1/1 0:30,Hydro Water Reservoir,33.0
2024/1/1 0:30,Nuclear,1396.0
2024/1/1 0:30,Solar,0.0
2024/1/1 0:30,Wind Onshore,1208.0
2024/1/1 0:45,Biomass,32.0
2024/1/1 0:45,Fossil Brown Coal/Lignite,842.0
2024/1/1 0:45,Fossil Gas,1422.0
2024/1/1 0:45,Fossil Hard Coal,0.0
2024/1/1 0:45,Hydro Run-of-river and Poundage,836.0
2024/1/1 0:45,Hydro Water Reservoir,33.0
2024/1/1 0:45,Nuclear,1397.0
2024/1/1 0:45,Solar,0.0
2024/1/1 0:45,Wind Onshore,1242.0
2024/1/1 1:00,Biomass,31.0
2024/1/1 1:00,Fossil Brown Coal/Lignite,845.0
2024/1/1 1:00,Fossil Gas,1435.0
2024/1/1 1:00,Fossil Hard Coal,0.0
2024/1/1 1:00,Hydro Run-of-river and Poundage,846.0
2024/1/1 1:00,Hydro Water Reservoir,35.0
2024/1/1 1:00,Nuclear,1396.0
2024/1/1 1:00,Solar,0.0
2024/1/1 1:00,Wind Onshore,1296.0
2024/1/1 1:15,Biomass,31.0
2024/1/1 1:15,Fossil Brown Coal/Lignite,842.0
2024/1/1 1:15,Fossil Gas,1425.0
2024/1/1 1:15,Fossil Hard Coal,0.0
2024/1/1 1:15,Hydro Run-of-river and Poundage,839.0
2024/1/1 1:15,Hydro Water Reservoir,33.0
2024/1/1 1:15,Nuclear,1396.0
2024/1/1 1:15,Solar,0.0
2024/1/1 1:15,Wind Onshore,1329.0
2024/1/1 1:30,Biomass,31.0
2024/1/1 1:30,Fossil Brown Coal/Lignite,842.0
2024/1/1 1:30,Fossil Gas,1423.0
2024/1/1 1:30,Fossil Hard Coal,0.0
2024/1/1 1:30,Hydro Run-of-river and Poundage,836.0
2024/1/1 1:30,Hydro Water Reservoir,32.0
2024/1/1 1:30,Nuclear,1396.0
2024/1/1 1:30,Solar,0.0
2024/1/1 1:30,Wind Onshore,1365.0
2024/1/1 1:45,Biomass,32.0
2024/1/1 1:45,Fossil Brown Coal/Lignite,835.0
2024/1/1 1:45,Fossil Gas,1421.0
2024/1/1 1:45,Fossil Hard Coal,0.0
2024/1/1 1:45,Hydro Run-of-river and Poundage,836.0
2024/1/1 1:45,Hydro Water Reservoir,31.0
2024/1/1 1:45,Nuclear,1396.0
2024/1/1 1:45,Solar,0.0
2024/1/1 1:45,Wind Onshore,1364.0
2024/1/1 2:00,Biomass,32.0
2024/1/1 2:00,Fossil Brown Coal/Lignite,851.0
2024/1/1 2:00,Fossil Gas,1457.0
2024/1/1 2:00,Fossil Hard Coal,0.0
2024/1/1 2:00,Hydro Run-of-river and Poundage,834.0
2024/1/1 2:00,Hydro Water Reservoir,31.0
2024/1/1 2:00,Nuclear,1396.0
2024/1/1 2:00,Solar,0.0
2024/1/1 2:00,Wind Onshore,1372.0
2024/1/1 2:15,Biomass,32.0
2024/1/1 2:15,Fossil Brown Coal/Lignite,844.0
2024/1/1 2:15,Fossil Gas,1425.0
2024/1/1 2:15,Fossil Hard Coal,0.0
2024/1/1 2:15,Hydro Run-of-river and Poundage,808.0
2024/1/1 2:15,Hydro Water Reservoir,31.0
2024/1/1 2:15,Nuclear,1396.0
2024/1/1 2:15,Solar,0.0
2024/1/1 2:15,Wind Onshore,1347.0
2024/1/1 2:30,Biomass,32.0
2024/1/1 2:30,Fossil Brown Coal/Lignite,842.0
2024/1/1 2:30,Fossil Gas,1423.0
2024/1/1 2:30,Fossil Hard Coal,0.0
2024/1/1 2:30,Hydro Run-of-river and Poundage,806.0
2024/1/1 2:30,Hydro Water Reservoir,31.0
2024/1/1 2:30,Nuclear,1396.0
2024/1/1 2:30,Solar,0.0
2024/1/1 2:30,Wind Onshore,1291.0
2024/1/1 2:45,Biomass,32.0
2024/1/1 2:45,Fossil Brown Coal/Lignite,839.0
2024/1/1 2:45,Fossil Gas,1423.0
2024/1/1 2:45,Fossil Hard Coal,0.0
2024/1/1 2:45,Hydro Run-of-river and Poundage,805.0
2024/1/1 2:45,Hydro Water Reservoir,31.0
2024/1/1 2:45,Nuclear,1396.0
2024/1/1 2:45,Solar,0.0
2024/1/1 2:45,Wind Onshore,1283.0
