date,category,value
2025/1/1 0:00,Biomass,178.0
2025/1/1 0:00,Fossil Brown Coal/Lignite,220.23
2025/1/1 0:00,Fossil Gas,754.81
2025/1/1 0:00,Fossil Hard Coal,24.43
2025/1/1 0:00,Fossil Oil,0.05
2025/1/1 0:00,Geothermal,0.79
2025/1/1 0:00,Hydro Run-of-river and Poundage,9.47
2025/1/1 0:00,Hydro Water Reservoir,8.6
2025/1/1 0:00,Nuclear,1946.99
2025/1/1 0:00,Other,47.48
2025/1/1 0:00,Other Renewable,18.71
2025/1/1 0:00,Solar,0.09
2025/1/1 0:00,Waste,11.61
2025/1/1 0:00,Wind Onshore,0.0
2025/1/1 0:15,Biomass,177.38
2025/1/1 0:15,Fossil Brown Coal/Lignite,189.68
2025/1/1 0:15,Fossil Gas,533.42
2025/1/1 0:15,Fossil Hard Coal,24.66
2025/1/1 0:15,Fossil Oil,0.0
2025/1/1 0:15,Geothermal,0.79
2025/1/1 0:15,Hydro Run-of-river and Poundage,9.46
2025/1/1 0:15,Hydro Water Reservoir,8.61
2025/1/1 0:15,Nuclear,1947.53
2025/1/1 0:15,Other,47.08
2025/1/1 0:15,Other Renewable,17.9
2025/1/1 0:15,Solar,0.02
2025/1/1 0:15,Waste,13.32
2025/1/1 0:15,Wind Onshore,0.0
2025/1/1 0:30,Biomass,176.97
2025/1/1 0:30,Fossil Brown Coal/Lignite,158.16
2025/1/1 0:30,Fossil Gas,501.34
2025/1/1 0:30,Fossil Hard Coal,23.97
2025/1/1 0:30,Fossil Oil,0.0
2025/1/1 0:30,Geothermal,0.79
2025/1/1 0:30,Hydro Run-of-river and Poundage,9.45
2025/1/1 0:30,Hydro Water Reservoir,8.61
2025/1/1 0:30,Nuclear,1945.86
2025/1/1 0:30,Other,45.92
2025/1/1 0:30,Other Renewable,17.68
2025/1/1 0:30,Solar,0.04
2025/1/1 0:30,Waste,14.26
2025/1/1 0:30,Wind Onshore,0.0
2025/1/1 0:45,Biomass,177.43
2025/1/1 0:45,Fossil Brown Coal/Lignite,131.19
2025/1/1 0:45,Fossil Gas,503.12
2025/1/1 0:45,Fossil Hard Coal,24.56
2025/1/1 0:45,Fossil Oil,0.0
2025/1/1 0:45,Geothermal,0.79
2025/1/1 0:45,Hydro Run-of-river and Poundage,9.45
2025/1/1 0:45,Hydro Water Reservoir,8.61
2025/1/1 0:45,Nuclear,1945.35
2025/1/1 0:45,Other,45.78
2025/1/1 0:45,Other Renewable,17.79
2025/1/1 0:45,Solar,0.03
2025/1/1 0:45,Waste,14.25
2025/1/1 0:45,Wind Onshore,0.0
2025/1/1 1:00,Biomass,177.14
2025/1/1 1:00,Fossil Brown Coal/Lignite,133.06
2025/1/1 1:00,Fossil Gas,537.84
2025/1/1 1:00,Fossil Hard Coal,23.46
2025/1/1 1:00,Fossil Oil,4.65
2025/1/1 1:00,Geothermal,0.79
