date,category,value
2025/1/1 0:00,Biomass,180.394
2025/1/1 0:00,Fossil Brown Coal/Lignite,1830.185
2025/1/1 0:00,Fossil Coal-derived Gas,177.915
2025/1/1 0:00,Fossil Gas,1768.337
2025/1/1 0:00,Fossil Hard Coal,4724.877
2025/1/1 0:00,Fossil Oil,205.193
2025/1/1 0:00,Hydro Pumped Storage,0.002
2025/1/1 0:00,Hydro Run-of-river and Poundage,100.574
2025/1/1 0:00,Hydro Water Reservoir,31.495
2025/1/1 0:00,Other,637.43
2025/1/1 0:00,Other Renewable,56.569
2025/1/1 0:00,Solar,0.0
2025/1/1 0:00,Wind Onshore,6576.63
2025/1/1 0:15,Biomass,180.127
2025/1/1 0:15,Fossil Brown Coal/Lignite,1966.371
2025/1/1 0:15,Fossil Coal-derived Gas,177.362
2025/1/1 0:15,Fossil Gas,1875.5
2025/1/1 0:15,Fossil Hard Coal,4878.442
2025/1/1 0:15,Fossil Oil,203.129
2025/1/1 0:15,Hydro Pumped Storage,0.002
2025/1/1 0:15,Hydro Run-of-river and Poundage,100.478
2025/1/1 0:15,Hydro Water Reservoir,31.495
2025/1/1 0:15,Other,636.205
2025/1/1 0:15,Other Renewable,56.424
2025/1/1 0:15,Solar,0.0
2025/1/1 0:15,Wind Onshore,6548.74
2025/1/1 0:30,Biomass,184.621
2025/1/1 0:30,Fossil Brown Coal/Lignite,1993.187
2025/1/1 0:30,Fossil Coal-derived Gas,176.715
2025/1/1 0:30,Fossil Gas,1894.987
2025/1/1 0:30,Fossil Hard Coal,4986.649
2025/1/1 0:30,Fossil Oil,203.744
2025/1/1 0:30,Hydro Pumped Storage,0.002
2025/1/1 0:30,Hydro Run-of-river and Poundage,99.882
2025/1/1 0:30,Hydro Water Reservoir,31.495
2025/1/1 0:30,Other,631.213
2025/1/1 0:30,Other Renewable,55.945
2025/1/1 0:30,Solar,0.0
2025/1/1 0:30,Wind Onshore,6258.7
2025/1/1 0:45,Biomass,184.903
2025/1/1 0:45,Fossil Brown Coal/Lignite,1988.44
2025/1/1 0:45,Fossil Coal-derived Gas,176.096
2025/1/1 0:45,Fossil Gas,1894.297
2025/1/1 0:45,Fossil Hard Coal,4998.27
2025/1/1 0:45,Fossil Oil,202.739
2025/1/1 0:45,Hydro Pumped Storage,0.002
2025/1/1 0:45,Hydro Run-of-river and Poundage,100.474
2025/1/1 0:45,Hydro Water Reservoir,31.495
2025/1/1 0:45,Other,629.04
2025/1/1 0:45,Other Renewable,55.689
2025/1/1 0:45,Solar,0.0
2025/1/1 0:45,Wind Onshore,6398.34
2025/1/1 1:00,Biomass,185.765
2025/1/1 1:00,Fossil Brown Coal/Lignite,2028.105
2025/1/1 1:00,Fossil Coal-derived Gas,177.165
2025/1/1 1:00,Fossil Gas,2166.075
2025/1/1 1:00,Fossil Hard Coal,5339.612
2025/1/1 1:00,Fossil Oil,204.306
2025/1/1 1:00,Hydro Pumped Storage,0.002
2025/1/1 1:00,Hydro Run-of-river and Poundage,100.361
2025/1/1 1:00,Hydro Water Reservoir,31.45
2025/1/1 1:00,Other,633.594
2025/1/1 1:00,Other Renewable,56.114
2025/1/1 1:00,Solar,0.0
2025/1/1 1:00,Wind Onshore,6386.1
2025/1/1 1:15,Biomass,185.079
2025/1/1 1:15,Fossil Brown Coal/Lignite,1860.066
2025/1/1 1:15,Fossil Coal-derived Gas,176.272
2025/1/1 1:15,Fossil Gas,2084.59
2025/1/1 1:15,Fossil Hard Coal,5209.813
2025/1/1 1:15,Fossil Oil,202.801
2025/1/1 1:15,Hydro Pumped Storage,0.002
2025/1/1 1:15,Hydro Run-of-river and Poundage,100.357
2025/1/1 1:15,Hydro Water Reservoir,31.45
2025/1/1 1:15,Other,634.015
2025/1/1 1:15,Other Renewable,56.203
2025/1/1 1:15,Solar,0.0
2025/1/1 1:15,Wind Onshore,6572.3
2025/1/1 1:30,Biomass,182.858
2025/1/1 1:30,Fossil Brown Coal/Lignite,1831.047
2025/1/1 1:30,Fossil Coal-derived Gas,176.577
2025/1/1 1:30,Fossil Gas,2077.889
2025/1/1 1:30,Fossil Hard Coal,4998.819
