date,category,value
2025/1/1 0:00,Biomass,30.0
2025/1/1 0:00,Fossil Brown Coal/Lignite,2820.0
2025/1/1 0:00,Fossil Gas,341.0
2025/1/1 0:00,Hydro Pumped Storage,0.0
2025/1/1 0:00,Hydro Run-of-river and Poundage,855.0
2025/1/1 0:00,Hydro Water Reservoir,0.0
2025/1/1 0:00,Other,27.0
2025/1/1 0:00,Wind Onshore,0.08
2025/1/1 0:15,Biomass,30.0
2025/1/1 0:15,Fossil Brown Coal/Lignite,2820.0
2025/1/1 0:15,Fossil Gas,341.0
2025/1/1 0:15,Hydro Pumped Storage,0.0
2025/1/1 0:15,Hydro Run-of-river and Poundage,855.0
2025/1/1 0:15,Hydro Water Reservoir,0.0
2025/1/1 0:15,Other,27.0
2025/1/1 0:15,Wind Onshore,0.08
2025/1/1 0:30,Biomass,30.0
2025/1/1 0:30,Fossil Brown Coal/Lignite,2820.0
2025/1/1 0:30,Fossil Gas,341.0
2025/1/1 0:30,Hydro Pumped Storage,0.0
2025/1/1 0:30,Hydro Run-of-river and Poundage,855.0
2025/1/1 0:30,Hydro Water Reservoir,0.0
2025/1/1 0:30,Other,27.0
2025/1/1 0:30,Wind Onshore,0.08
2025/1/1 0:45,Biomass,30.0
2025/1/1 0:45,Fossil Brown Coal/Lignite,2820.0
2025/1/1 0:45,Fossil Gas,341.0
2025/1/1 0:45,Hydro Pumped Storage,0.0
2025/1/1 0:45,Hydro Run-of-river and Poundage,855.0
2025/1/1 0:45,Hydro Water Reservoir,0.0
2025/1/1 0:45,Other,27.0
2025/1/1 0:45,Wind Onshore,0.08
2025/1/1 1:00,Biomass,30.0
2025/1/1 1:00,Fossil Brown Coal/Lignite,2820.0
2025/1/1 1:00,Fossil Gas,337.0
2025/1/1 1:00,Hydro Pumped Storage,0.0
2025/1/1 1:00,Hydro Run-of-river and Poundage,821.0
2025/1/1 1:00,Hydro Water Reservoir,0.0
2025/1/1 1:00,Other,27.0
2025/1/1 1:00,Wind Onshore,0.3
2025/1/1 1:15,Biomass,30.0
2025/1/1 1:15,Fossil Brown Coal/Lignite,2820.0
2025/1/1 1:15,Fossil Gas,337.0
2025/1/1 1:15,Hydro Pumped Storage,0.0
2025/1/1 1:15,Hydro Run-of-river and Poundage,821.0
2025/1/1 1:15,Hydro Water Reservoir,0.0
2025/1/1 1:15,Other,27.0
2025/1/1 1:15,Wind Onshore,0.3
2025/1/1 1:30,Biomass,30.0
2025/1/1 1:30,Fossil Brown Coal/Lignite,2820.0
2025/1/1 1:30,Fossil Gas,337.0
2025/1/1 1:30,Hydro Pumped Storage,0.0
2025/1/1 1:30,Hydro Run-of-river and Poundage,821.0
2025/1/1 1:30,Hydro Water Reservoir,0.0
2025/1/1 1:30,Other,27.0
2025/1/1 1:30,Wind Onshore,0.3
2025/1/1 1:45,Biomass,30.0
2025/1/1 1:45,Fossil Brown Coal/Lignite,2820.0
2025/1/1 1:45,Fossil Gas,337.0
2025/1/1 1:45,Hydro Pumped Storage,0.0
2025/1/1 1:45,Hydro Run-of-river and Poundage,821.0
2025/1/1 1:45,Hydro Water Reservoir,0.0
2025/1/1 1:45,Other,27.0
2025/1/1 1:45,Wind Onshore,0.3
2025/1/1 2:00,Biomass,30.0
2025/1/1 2:00,Fossil Brown Coal/Lignite,2824.0
2025/1/1 2:00,Fossil Gas,339.0
2025/1/1 2:00,Hydro Pumped Storage,0.0
2025/1/1 2:00,Hydro Run-of-river and Poundage,676.0
2025/1/1 2:00,Hydro Water Reservoir,0.0
2025/1/1 2:00,Other,27.0
2025/1/1 2:00,Wind Onshore,3.76
2025/1/1 2:15,Biomass,30.0
2025/1/1 2:15,Fossil Brown Coal/Lignite,2824.0
2025/1/1 2:15,Fossil Gas,339.0
2025/1/1 2:15,Hydro Pumped Storage,0.0
2025/1/1 2:15,Hydro Run-of-river and Poundage,676.0
2025/1/1 2:15,Hydro Water Reservoir,0.0
2025/1/1 2:15,Other,27.0
2025/1/1 2:15,Wind Onshore,3.76
2025/1/1 2:30,Biomass,30.0
2025/1/1 2:30,Fossil Brown Coal/Lignite,2824.0
2025/1/1 2:30,Fossil Gas,339.0
2025/1/1 2:30,Hydro Pumped Storage,0.0
2025/1/1 2:30,Hydro Run-of-river and Poundage,676.0
2025/1/1 2:30,Hydro Water Reservoir,0.0
2025/1/1 2:30,Other,27.0
2025/1/1 2:30,Wind Onshore,3.76
2025/1/1 2:45,Biomass,30.0
2025/1/1 2:45,Fossil Brown Coal/Lignite,2824.0
2025/1/1 2:45,Fossil Gas,339.0
2025/1/1 2:45,Hydro Pumped Storage,0.0
2025/1/1 2:45,Hydro Run-of-river and Poundage,676.0
2025/1/1 2:45,Hydro Water Reservoir,0.0
2025/1/1 2:45,Other,27.0
2025/1/1 2:45,Wind Onshore,3.76
2025/1/1 3:00,Biomass,30.0
2025/1/1 3:00,Fossil Brown Coal/Lignite,2838.0
2025/1/1 3:00,Fossil Gas,343.0
2025/1/1 3:00,Hydro Pumped Storage,0.0
2025/1/1 3:00,Hydro Run-of-river and Poundage,497.0
2025/1/1 3:00,Hydro Water Reservoir,0.0
2025/1/1 3:00,Other,27.0
2025/1/1 3:00,Wind Onshore,4.23
2025/1/1 3:15,Biomass,30.0
2025/1/1 3:15,Fossil Brown Coal/Lignite,2838.0
2025/1/1 3:15,Fossil Gas,343.0
2025/1/1 3:15,Hydro Pumped Storage,0.0
2025/1/1 3:15,Hydro Run-of-river and Poundage,497.0
2025/1/1 3:15,Hydro Water Reservoir,0.0
2025/1/1 3:15,Other,27.0
2025/1/1 3:15,Wind Onshore,4.23
2025/1/1 3:30,Biomass,30.0
2025/1/1 3:30,Fossil Brown Coal/Lignite,2838.0
2025/1/1 3:30,Fossil Gas,343.0
2025/1/1 3:30,Hydro Pumped Storage,0.0
2025/1/1 3:30,Hydro Run-of-river and Poundage,497.0
2025/1/1 3:30,Hydro Water Reservoir,0.0
2025/1/1 3:30,Other,27.0
2025/1/1 3:30,Wind Onshore,4.23
2025/1/1 3:45,Biomass,30.0
2025/1/1 3:45,Fossil Brown Coal/Lignite,2838.0
2025/1/1 3:45,Fossil Gas,343.0
2025/1/1 3:45,Hydro Pumped Storage,0.0
2025/1/1 3:45,Hydro Run-of-river and Poundage,497.0
2025/1/1 3:45,Hydro Water Reservoir,0.0
2025/1/1 3:45,Other,27.0
2025/1/1 3:45,Wind Onshore,4.23
2025/1/1 4:00,Biomass,30.0
2025/1/1 4:00,Fossil Brown Coal/Lignite,2846.0
2025/1/1 4:00,Fossil Gas,336.0
2025/1/1 4:00,Hydro Pumped Storage,0.0
2025/1/1 4:00,Hydro Run-of-river and Poundage,491.0
2025/1/1 4:00,Hydro Water Reservoir,0.0
2025/1/1 4:00,Other,27.0
2025/1/1 4:00,Wind Onshore,6.17
2025/1/1 4:15,Biomass,30.0
2025/1/1 4:15,Fossil Brown Coal/Lignite,2846.0
2025/1/1 4:15,Fossil Gas,336.0
2025/1/1 4:15,Hydro Pumped Storage,0.0
2025/1/1 4:15,Hydro Run-of-river and Poundage,491.0
2025/1/1 4:15,Hydro Water Reservoir,0.0
2025/1/1 4:15,Other,27.0
2025/1/1 4:15,Wind Onshore,6.17
2025/1/1 4:30,Biomass,30.0
2025/1/1 4:30,Fossil Brown Coal/Lignite,2846.0
2025/1/1 4:30,Fossil Gas,336.0
2025/1/1 4:30,Hydro Pumped Storage,0.0
2025/1/1 4:30,Hydro Run-of-river and Poundage,491.0
2025/1/1 4:30,Hydro Water Reservoir,0.0
2025/1/1 4:30,Other,27.0
2025/1/1 4:30,Wind Onshore,6.17
2025/1/1 4:45,Biomass,30.0
2025/1/1 4:45,Fossil Brown Coal/Lignite,2846.0
2025/1/1 4:45,Fossil Gas,336.0
2025/1/1 4:45,Hydro Pumped Storage,0.0
2025/1/1 4:45,Hydro Run-of-river and Poundage,491.0
2025/1/1 4:45,Hydro Water Reservoir,0.0
2025/1/1 4:45,Other,27.0
2025/1/1 4:45,Wind Onshore,6.17
2025/1/1 5:00,Biomass,30.0
2025/1/1 5:00,Fossil Brown Coal/Lignite,2808.0
2025/1/1 5:00,Fossil Gas,333.0
2025/1/1 5:00,Hydro Pumped Storage,0.0
2025/1/1 5:00,Hydro Run-of-river and Poundage,531.0
2025/1/1 5:00,Hydro Water Reservoir,0.0
2025/1/1 5:00,Other,27.0
2025/1/1 5:00,Wind Onshore,8.85
2025/1/1 5:15,Biomass,30.0
2025/1/1 5:15,Fossil Brown Coal/Lignite,2808.0
2025/1/1 5:15,Fossil Gas,333.0
2025/1/1 5:15,Hydro Pumped Storage,0.0
2025/1/1 5:15,Hydro Run-of-river and Poundage,531.0
2025/1/1 5:15,Hydro Water Reservoir,0.0
2025/1/1 5:15,Other,27.0
2025/1/1 5:15,Wind Onshore,8.85
2025/1/1 5:30,Biomass,30.0
2025/1/1 5:30,Fossil Brown Coal/Lignite,2808.0
2025/1/1 5:30,Fossil Gas,333.0
2025/1/1 5:30,Hydro Pumped Storage,0.0
2025/1/1 5:30,Hydro Run-of-river and Poundage,531.0
2025/1/1 5:30,Hydro Water Reservoir,0.0
2025/1/1 5:30,Other,27.0
2025/1/1 5:30,Wind Onshore,8.85
2025/1/1 5:45,Biomass,30.0
2025/1/1 5:45,Fossil Brown Coal/Lignite,2808.0
2025/1/1 5:45,Fossil Gas,333.0
2025/1/1 5:45,Hydro Pumped Storage,0.0
2025/1/1 5:45,Hydro Run-of-river and Poundage,531.0
2025/1/1 5:45,Hydro Water Reservoir,0.0
2025/1/1 5:45,Other,27.0
2025/1/1 5:45,Wind Onshore,8.85
2025/1/1 6:00,Biomass,30.0
2025/1/1 6:00,Fossil Brown Coal/Lignite,2802.0
2025/1/1 6:00,Fossil Gas,346.0
2025/1/1 6:00,Hydro Pumped Storage,0.0
2025/1/1 6:00,Hydro Run-of-river and Poundage,627.0
2025/1/1 6:00,Hydro Water Reservoir,0.0
2025/1/1 6:00,Other,27.0
2025/1/1 6:00,Wind Onshore,10.48
2025/1/1 6:15,Biomass,30.0
2025/1/1 6:15,Fossil Brown Coal/Lignite,2802.0
2025/1/1 6:15,Fossil Gas,346.0
2025/1/1 6:15,Hydro Pumped Storage,0.0
2025/1/1 6:15,Hydro Run-of-river and Poundage,627.0
2025/1/1 6:15,Hydro Water Reservoir,0.0
2025/1/1 6:15,Other,27.0
2025/1/1 6:15,Wind Onshore,10.48
2025/1/1 6:30,Biomass,30.0
2025/1/1 6:30,Fossil Brown Coal/Lignite,2802.0
2025/1/1 6:30,Fossil Gas,346.0
2025/1/1 6:30,Hydro Pumped Storage,0.0
2025/1/1 6:30,Hydro Run-of-river and Poundage,627.0
2025/1/1 6:30,Hydro Water Reservoir,0.0
2025/1/1 6:30,Other,27.0
2025/1/1 6:30,Wind Onshore,10.48
2025/1/1 6:45,Biomass,30.0
2025/1/1 6:45,Fossil Brown Coal/Lignite,2802.0
2025/1/1 6:45,Fossil Gas,346.0
2025/1/1 6:45,Hydro Pumped Storage,0.0
2025/1/1 6:45,Hydro Run-of-river and Poundage,627.0
2025/1/1 6:45,Hydro Water Reservoir,0.0
2025/1/1 6:45,Other,27.0
2025/1/1 6:45,Wind Onshore,10.48
2025/1/1 7:00,Biomass,30.0
2025/1/1 7:00,Fossil Brown Coal/Lignite,2787.0
2025/1/1 7:00,Fossil Gas,346.0
2025/1/1 7:00,Hydro Pumped Storage,0.0
2025/1/1 7:00,Hydro Run-of-river and Poundage,629.0
2025/1/1 7:00,Hydro Water Reservoir,0.0
2025/1/1 7:00,Other,27.0
2025/1/1 7:00,Wind Onshore,17.61
2025/1/1 7:15,Biomass,30.0
2025/1/1 7:15,Fossil Brown Coal/Lignite,2787.0
2025/1/1 7:15,Fossil Gas,346.0
2025/1/1 7:15,Hydro Pumped Storage,0.0
2025/1/1 7:15,Hydro Run-of-river and Poundage,629.0
2025/1/1 7:15,Hydro Water Reservoir,0.0
2025/1/1 7:15,Other,27.0
2025/1/1 7:15,Wind Onshore,17.61
2025/1/1 7:30,Biomass,30.0
2025/1/1 7:30,Fossil Brown Coal/Lignite,2787.0
2025/1/1 7:30,Fossil Gas,346.0
2025/1/1 7:30,Hydro Pumped Storage,0.0
2025/1/1 7:30,Hydro Run-of-river and Poundage,629.0
2025/1/1 7:30,Hydro Water Reservoir,0.0
2025/1/1 7:30,Other,27.0
2025/1/1 7:30,Wind Onshore,17.61
2025/1/1 7:45,Biomass,30.0
2025/1/1 7:45,Fossil Brown Coal/Lignite,2787.0
2025/1/1 7:45,Fossil Gas,346.0
2025/1/1 7:45,Hydro Pumped Storage,0.0
2025/1/1 7:45,Hydro Run-of-river and Poundage,629.0
2025/1/1 7:45,Hydro Water Reservoir,0.0
2025/1/1 7:45,Other,27.0
2025/1/1 7:45,Wind Onshore,17.61
2025/1/1 8:00,Biomass,30.0
2025/1/1 8:00,Fossil Brown Coal/Lignite,2757.0
2025/1/1 8:00,Fossil Gas,349.0
2025/1/1 8:00,Hydro Pumped Storage,0.0
2025/1/1 8:00,Hydro Run-of-river and Poundage,715.0
2025/1/1 8:00,Hydro Water Reservoir,0.0
2025/1/1 8:00,Other,27.0
2025/1/1 8:00,Wind Onshore,17.41
2025/1/1 8:15,Biomass,30.0
2025/1/1 8:15,Fossil Brown Coal/Lignite,2757.0
2025/1/1 8:15,Fossil Gas,349.0
2025/1/1 8:15,Hydro Pumped Storage,0.0
2025/1/1 8:15,Hydro Run-of-river and Poundage,715.0
2025/1/1 8:15,Hydro Water Reservoir,0.0
2025/1/1 8:15,Other,27.0
2025/1/1 8:15,Wind Onshore,17.41
2025/1/1 8:30,Biomass,30.0
2025/1/1 8:30,Fossil Brown Coal/Lignite,2757.0
2025/1/1 8:30,Fossil Gas,349.0
2025/1/1 8:30,Hydro Pumped Storage,0.0
2025/1/1 8:30,Hydro Run-of-river and Poundage,715.0
2025/1/1 8:30,Hydro Water Reservoir,0.0
2025/1/1 8:30,Other,27.0
2025/1/1 8:30,Wind Onshore,17.41
2025/1/1 8:45,Biomass,30.0
2025/1/1 8:45,Fossil Brown Coal/Lignite,2757.0
2025/1/1 8:45,Fossil Gas,349.0
2025/1/1 8:45,Hydro Pumped Storage,0.0
2025/1/1 8:45,Hydro Run-of-river and Poundage,715.0
2025/1/1 8:45,Hydro Water Reservoir,0.0
2025/1/1 8:45,Other,27.0
2025/1/1 8:45,Wind Onshore,17.41
2025/1/1 9:00,Biomass,30.0
2025/1/1 9:00,Fossil Brown Coal/Lignite,2752.0
2025/1/1 9:00,Fossil Gas,333.0
2025/1/1 9:00,Hydro Pumped Storage,0.0
2025/1/1 9:00,Hydro Run-of-river and Poundage,765.0
2025/1/1 9:00,Hydro Water Reservoir,0.0
2025/1/1 9:00,Other,27.0
2025/1/1 9:00,Wind Onshore,18.18
2025/1/1 9:15,Biomass,30.0
2025/1/1 9:15,Fossil Brown Coal/Lignite,2752.0
2025/1/1 9:15,Fossil Gas,333.0
2025/1/1 9:15,Hydro Pumped Storage,0.0
2025/1/1 9:15,Hydro Run-of-river and Poundage,765.0
2025/1/1 9:15,Hydro Water Reservoir,0.0
2025/1/1 9:15,Other,27.0
2025/1/1 9:15,Wind Onshore,18.18
2025/1/1 9:30,Biomass,30.0
2025/1/1 9:30,Fossil Brown Coal/Lignite,2752.0
2025/1/1 9:30,Fossil Gas,333.0
2025/1/1 9:30,Hydro Pumped Storage,0.0
2025/1/1 9:30,Hydro Run-of-river and Poundage,765.0
2025/1/1 9:30,Hydro Water Reservoir,0.0
2025/1/1 9:30,Other,27.0
2025/1/1 9:30,Wind Onshore,18.18
2025/1/1 9:45,Biomass,30.0
2025/1/1 9:45,Fossil Brown Coal/Lignite,2752.0
2025/1/1 9:45,Fossil Gas,333.0
2025/1/1 9:45,Hydro Pumped Storage,0.0
2025/1/1 9:45,Hydro Run-of-river and Poundage,765.0
2025/1/1 9:45,Hydro Water Reservoir,0.0
2025/1/1 9:45,Other,27.0
2025/1/1 9:45,Wind Onshore,18.18
2025/1/1 10:00,Biomass,30.0
2025/1/1 10:00,Fossil Brown Coal/Lignite,2811.0
2025/1/1 10:00,Fossil Gas,331.0
2025/1/1 10:00,Hydro Pumped Storage,0.0
2025/1/1 10:00,Hydro Run-of-river and Poundage,594.0
2025/1/1 10:00,Hydro Water Reservoir,0.0
2025/1/1 10:00,Other,27.0
2025/1/1 10:00,Wind Onshore,17.27
2025/1/1 10:15,Biomass,30.0
2025/1/1 10:15,Fossil Brown Coal/Lignite,2811.0
2025/1/1 10:15,Fossil Gas,331.0
2025/1/1 10:15,Hydro Pumped Storage,0.0
2025/1/1 10:15,Hydro Run-of-river and Poundage,594.0
2025/1/1 10:15,Hydro Water Reservoir,0.0
2025/1/1 10:15,Other,27.0
2025/1/1 10:15,Wind Onshore,17.27
2025/1/1 10:30,Biomass,30.0
2025/1/1 10:30,Fossil Brown Coal/Lignite,2811.0
2025/1/1 10:30,Fossil Gas,331.0
2025/1/1 10:30,Hydro Pumped Storage,0.0
2025/1/1 10:30,Hydro Run-of-river and Poundage,594.0
2025/1/1 10:30,Hydro Water Reservoir,0.0
2025/1/1 10:30,Other,27.0
2025/1/1 10:30,Wind Onshore,17.27
2025/1/1 10:45,Biomass,30.0
2025/1/1 10:45,Fossil Brown Coal/Lignite,2811.0
2025/1/1 10:45,Fossil Gas,331.0
2025/1/1 10:45,Hydro Pumped Storage,0.0
2025/1/1 10:45,Hydro Run-of-river and Poundage,594.0
2025/1/1 10:45,Hydro Water Reservoir,0.0
2025/1/1 10:45,Other,27.0
2025/1/1 10:45,Wind Onshore,17.27
2025/1/1 11:00,Biomass,30.0
2025/1/1 11:00,Fossil Brown Coal/Lignite,2797.0
2025/1/1 11:00,Fossil Gas,335.0
2025/1/1 11:00,Hydro Pumped Storage,0.0
2025/1/1 11:00,Hydro Run-of-river and Poundage,511.0
2025/1/1 11:00,Hydro Water Reservoir,0.0
2025/1/1 11:00,Other,27.0
2025/1/1 11:00,Wind Onshore,17.26
2025/1/1 11:15,Biomass,30.0
2025/1/1 11:15,Fossil Brown Coal/Lignite,2797.0
2025/1/1 11:15,Fossil Gas,335.0
2025/1/1 11:15,Hydro Pumped Storage,0.0
2025/1/1 11:15,Hydro Run-of-river and Poundage,511.0
2025/1/1 11:15,Hydro Water Reservoir,0.0
2025/1/1 11:15,Other,27.0
2025/1/1 11:15,Wind Onshore,17.26
2025/1/1 11:30,Biomass,30.0
2025/1/1 11:30,Fossil Brown Coal/Lignite,2797.0
2025/1/1 11:30,Fossil Gas,335.0
2025/1/1 11:30,Hydro Pumped Storage,0.0
2025/1/1 11:30,Hydro Run-of-river and Poundage,511.0
2025/1/1 11:30,Hydro Water Reservoir,0.0
2025/1/1 11:30,Other,27.0
2025/1/1 11:30,Wind Onshore,17.26
2025/1/1 11:45,Biomass,30.0
2025/1/1 11:45,Fossil Brown Coal/Lignite,2797.0
2025/1/1 11:45,Fossil Gas,335.0
2025/1/1 11:45,Hydro Pumped Storage,0.0
2025/1/1 11:45,Hydro Run-of-river and Poundage,511.0
