date,category,value
2026/1/1 0:00,Biomass,260.0
2026/1/1 0:00,Fossil Gas,1443.6
2026/1/1 0:00,Fossil Hard Coal,0.0
2026/1/1 0:00,Fossil Oil,0.0
2026/1/1 0:00,Geothermal,0.072
2026/1/1 0:00,Hydro Pumped Storage,0.0
2026/1/1 0:00,Hydro Run-of-river and Poundage,1362.0
2026/1/1 0:00,Hydro Water Reservoir,90.8
2026/1/1 0:00,Other,0.0
2026/1/1 0:00,Other Renewable,0.0
2026/1/1 0:00,Solar,0.0
2026/1/1 0:00,Waste,0.0
2026/1/1 0:00,Wind Onshore,3364.0
2026/1/1 0:15,Biomass,260.0
2026/1/1 0:15,Fossil Gas,1273.6
2026/1/1 0:15,Fossil Hard Coal,0.0
2026/1/1 0:15,Fossil Oil,0.0
2026/1/1 0:15,Geothermal,0.072
2026/1/1 0:15,Hydro Pumped Storage,15.2
2026/1/1 0:15,Hydro Run-of-river and Poundage,1377.2
2026/1/1 0:15,Hydro Water Reservoir,90.8
2026/1/1 0:15,Other,0.0
2026/1/1 0:15,Other Renewable,0.0
2026/1/1 0:15,Solar,0.0
2026/1/1 0:15,Waste,0.0
2026/1/1 0:15,Wind Onshore,3312.0
2026/1/1 0:30,Biomass,256.0
2026/1/1 0:30,Fossil Gas,1181.2
2026/1/1 0:30,Fossil Hard Coal,0.0
2026/1/1 0:30,Fossil Oil,0.0
2026/1/1 0:30,Geothermal,0.072
2026/1/1 0:30,Hydro Pumped Storage,33.2
2026/1/1 0:30,Hydro Run-of-river and Poundage,1383.6
2026/1/1 0:30,Hydro Water Reservoir,95.6
2026/1/1 0:30,Other,0.0
2026/1/1 0:30,Other Renewable,0.0
2026/1/1 0:30,Solar,0.0
2026/1/1 0:30,Waste,0.0
2026/1/1 0:30,Wind Onshore,3300.0
2026/1/1 0:45,Biomass,256.0
2026/1/1 0:45,Fossil Gas,1184.8
2026/1/1 0:45,Fossil Hard Coal,0.0
2026/1/1 0:45,Fossil Oil,0.0
2026/1/1 0:45,Geothermal,0.072
2026/1/1 0:45,Hydro Pumped Storage,38.8
2026/1/1 0:45,Hydro Run-of-river and Poundage,1324.4
2026/1/1 0:45,Hydro Water Reservoir,38.8
2026/1/1 0:45,Other,0.0
2026/1/1 0:45,Other Renewable,0.0
2026/1/1 0:45,Solar,0.0
2026/1/1 0:45,Waste,0.0
2026/1/1 0:45,Wind Onshore,3336.0
2026/1/1 1:00,Biomass,256.0
2026/1/1 1:00,Fossil Gas,1076.8
2026/1/1 1:00,Fossil Hard Coal,0.0
2026/1/1 1:00,Fossil Oil,0.0
2026/1/1 1:00,Geothermal,0.072
2026/1/1 1:00,Hydro Pumped Storage,0.0
2026/1/1 1:00,Hydro Run-of-river and Poundage,1314.4
2026/1/1 1:00,Hydro Water Reservoir,64.8
2026/1/1 1:00,Other,0.0
2026/1/1 1:00,Other Renewable,0.0
