date,category,value
2026/1/1 0:00,Biomass,11.304768
2026/1/1 0:00,Fossil Brown Coal/Lignite,1132.60794
2026/1/1 0:00,Fossil Gas,308.19469
2026/1/1 0:00,Fossil Hard Coal,49.5335
2026/1/1 0:00,Hydro Pumped Storage,0.0
2026/1/1 0:00,Hydro Run-of-river and Poundage,66.860491
2026/1/1 0:00,Hydro Water Reservoir,9.07844
2026/1/1 0:00,Nuclear,1764.72
2026/1/1 0:00,Solar,49.524047
2026/1/1 0:00,Waste,3.623
2026/1/1 0:00,Wind Onshore,340.113341
2026/1/1 0:15,Biomass,11.304768
2026/1/1 0:15,Fossil Brown Coal/Lignite,1132.60794
2026/1/1 0:15,Fossil Gas,308.19469
2026/1/1 0:15,Fossil Hard Coal,49.5335
2026/1/1 0:15,Hydro Pumped Storage,0.0
2026/1/1 0:15,Hydro Run-of-river and Poundage,66.860491
2026/1/1 0:15,Hydro Water Reservoir,9.07844
2026/1/1 0:15,Nuclear,1764.72
2026/1/1 0:15,Solar,49.524047
2026/1/1 0:15,Waste,3.623
2026/1/1 0:15,Wind Onshore,340.113341
2026/1/1 0:30,Biomass,11.304768
2026/1/1 0:30,Fossil Brown Coal/Lignite,1132.60794
2026/1/1 0:30,Fossil Gas,308.19469
2026/1/1 0:30,Fossil Hard Coal,49.5335
2026/1/1 0:30,Hydro Pumped Storage,0.0
2026/1/1 0:30,Hydro Run-of-river and Poundage,66.860491
2026/1/1 0:30,Hydro Water Reservoir,9.07844
2026/1/1 0:30,Nuclear,1764.72
2026/1/1 0:30,Solar,49.524047
2026/1/1 0:30,Waste,3.623
2026/1/1 0:30,Wind Onshore,340.113341
2026/1/1 0:45,Biomass,11.304768
2026/1/1 0:45,Fossil Brown Coal/Lignite,1132.60794
2026/1/1 0:45,Fossil Gas,308.19469
2026/1/1 0:45,Fossil Hard Coal,49.5335
2026/1/1 0:45,Hydro Pumped Storage,0.0
2026/1/1 0:45,Hydro Run-of-river and Poundage,66.860491
2026/1/1 0:45,Hydro Water Reservoir,9.07844
