date,category,value
2026/1/1 0:00,Biomass,400.0
2026/1/1 0:00,Energy Storage,0.0
2026/1/1 0:00,Fossil Brown Coal/Lignite,0.0
2026/1/1 0:00,Fossil Coal-derived Gas,0.0
2026/1/1 0:00,Fossil Gas,8172.0
2026/1/1 0:00,Fossil Hard Coal,0.0
2026/1/1 0:00,Fossil Oil,28.0
2026/1/1 0:00,Fossil Oil Shale,0.0
2026/1/1 0:00,Fossil Peat,0.0
2026/1/1 0:00,Geothermal,0.0
2026/1/1 0:00,Hydro Pumped Storage,1192.0
2026/1/1 0:00,Hydro Run-of-river and Poundage,1092.0
2026/1/1 0:00,Hydro Water Reservoir,2512.0
2026/1/1 0:00,Marine,0.0
2026/1/1 0:00,Nuclear,7116.0
2026/1/1 0:00,Other,4.0
2026/1/1 0:00,Other Renewable,68.0
2026/1/1 0:00,Solar,36.0
2026/1/1 0:00,Waste,212.0
2026/1/1 0:00,Wind Offshore,0.0
2026/1/1 0:00,Wind Onshore,1900.0
2026/1/1 0:15,Biomass,404.0
2026/1/1 0:15,Energy Storage,0.0
2026/1/1 0:15,Fossil Brown Coal/Lignite,0.0
2026/1/1 0:15,Fossil Coal-derived Gas,0.0
2026/1/1 0:15,Fossil Gas,7252.0
2026/1/1 0:15,Fossil Hard Coal,0.0
2026/1/1 0:15,Fossil Oil,28.0
2026/1/1 0:15,Fossil Oil Shale,0.0
2026/1/1 0:15,Fossil Peat,0.0
2026/1/1 0:15,Geothermal,0.0
2026/1/1 0:15,Hydro Pumped Storage,1148.0
2026/1/1 0:15,Hydro Run-of-river and Poundage,1084.0
2026/1/1 0:15,Hydro Water Reservoir,2528.0
2026/1/1 0:15,Marine,0.0
2026/1/1 0:15,Nuclear,7116.0
2026/1/1 0:15,Other,4.0
2026/1/1 0:15,Other Renewable,68.0
2026/1/1 0:15,Solar,36.0
2026/1/1 0:15,Waste,212.0
2026/1/1 0:15,Wind Offshore,0.0
2026/1/1 0:15,Wind Onshore,2080.0
2026/1/1 0:30,Biomass,404.0
2026/1/1 0:30,Energy Storage,0.0
