date,category,value
2026/1/1 0:00,Fossil Brown Coal/Lignite,390.0
2026/1/1 0:00,Fossil Gas,3851.0
2026/1/1 0:00,Fossil Oil,0.0
2026/1/1 0:00,Hydro Pumped Storage,0.0
2026/1/1 0:00,Hydro Water Reservoir,10.0
2026/1/1 0:00,Solar,0.0
2026/1/1 0:00,Wind Onshore,2240.0
2026/1/1 0:15,Fossil Brown Coal/Lignite,390.0
2026/1/1 0:15,Fossil Gas,3851.0
2026/1/1 0:15,Fossil Oil,0.0
2026/1/1 0:15,Hydro Pumped Storage,0.0
2026/1/1 0:15,Hydro Water Reservoir,10.0
2026/1/1 0:15,Solar,0.0
2026/1/1 0:15,Wind Onshore,2240.0
2026/1/1 0:30,Fossil Brown Coal/Lignite,390.0
2026/1/1 0:30,Fossil Gas,3851.0
2026/1/1 0:30,Fossil Oil,0.0
2026/1/1 0:30,Hydro Pumped Storage,0.0
2026/1/1 0:30,Hydro Water Reservoir,10.0
2026/1/1 0:30,Solar,0.0
2026/1/1 0:30,Wind Onshore,2240.0
2026/1/1 0:45,Fossil Brown Coal/Lignite,390.0
2026/1/1 0:45,Fossil Gas,3851.0
2026/1/1 0:45,Fossil Oil,0.0
2026/1/1 0:45,Hydro Pumped Storage,0.0
2026/1/1 0:45,Hydro Water Reservoir,10.0
2026/1/1 0:45,Solar,0.0
2026/1/1 0:45,Wind Onshore,2240.0
2026/1/1 1:00,Fossil Brown Coal/Lignite,388.0
2026/1/1 1:00,Fossil Gas,3758.0
2026/1/1 1:00,Fossil Oil,0.0
2026/1/1 1:00,Hydro Pumped Storage,0.0
2026/1/1 1:00,Hydro Water Reservoir,6.0
2026/1/1 1:00,Solar,0.0
2026/1/1 1:00,Wind Onshore,2087.0
2026/1/1 1:15,Fossil Brown Coal/Lignite,388.0
2026/1/1 1:15,Fossil Gas,3758.0
2026/1/1 1:15,Fossil Oil,0.0
2026/1/1 1:15,Hydro Pumped Storage,0.0
2026/1/1 1:15,Hydro Water Reservoir,6.0
2026/1/1 1:15,Solar,0.0
2026/1/1 1:15,Wind Onshore,2087.0
2026/1/1 1:30,Fossil Brown Coal/Lignite,388.0
2026/1/1 1:30,Fossil Gas,3758.0
2026/1/1 1:30,Fossil Oil,0.0
2026/1/1 1:30,Hydro Pumped Storage,0.0
2026/1/1 1:30,Hydro Water Reservoir,6.0
2026/1/1 1:30,Solar,0.0
2026/1/1 1:30,Wind Onshore,2087.0
2026/1/1 1:45,Fossil Brown Coal/Lignite,388.0
2026/1/1 1:45,Fossil Gas,3758.0
2026/1/1 1:45,Fossil Oil,0.0
2026/1/1 1:45,Hydro Pumped Storage,0.0
2026/1/1 1:45,Hydro Water Reservoir,6.0
2026/1/1 1:45,Solar,0.0
2026/1/1 1:45,Wind Onshore,2087.0
