date,category,value
2026/1/1 0:00,Biomass,76.4
2026/1/1 0:00,Energy Storage,0.0
2026/1/1 0:00,Fossil Gas,442.0
2026/1/1 0:00,Fossil Hard Coal,200.0
2026/1/1 0:00,Fossil Oil,11.6
2026/1/1 0:00,Geothermal,0.0
2026/1/1 0:00,Hydro Pumped Storage,56.4
2026/1/1 0:00,Hydro Run-of-river and Poundage,64.4
2026/1/1 0:00,Hydro Water Reservoir,342.8
2026/1/1 0:00,Other Renewable,35.6
2026/1/1 0:00,Solar,0.0
2026/1/1 0:00,Waste,4.8
2026/1/1 0:00,Wind Onshore,195.6
2026/1/1 0:15,Biomass,76.4
2026/1/1 0:15,Energy Storage,0.0
2026/1/1 0:15,Fossil Gas,422.8
2026/1/1 0:15,Fossil Hard Coal,199.2
2026/1/1 0:15,Fossil Oil,11.6
2026/1/1 0:15,Geothermal,0.0
2026/1/1 0:15,Hydro Pumped Storage,0.0
2026/1/1 0:15,Hydro Run-of-river and Poundage,64.8
2026/1/1 0:15,Hydro Water Reservoir,345.2
2026/1/1 0:15,Other Renewable,35.6
2026/1/1 0:15,Solar,0.0
2026/1/1 0:15,Waste,4.8
2026/1/1 0:15,Wind Onshore,194.4
2026/1/1 0:30,Biomass,76.4
2026/1/1 0:30,Energy Storage,0.0
2026/1/1 0:30,Fossil Gas,423.6
2026/1/1 0:30,Fossil Hard Coal,200.0
2026/1/1 0:30,Fossil Oil,11.6
2026/1/1 0:30,Geothermal,0.0
2026/1/1 0:30,Hydro Pumped Storage,0.0
2026/1/1 0:30,Hydro Run-of-river and Poundage,64.8
2026/1/1 0:30,Hydro Water Reservoir,353.6
2026/1/1 0:30,Other Renewable,35.6
2026/1/1 0:30,Solar,0.0
2026/1/1 0:30,Waste,4.8
2026/1/1 0:30,Wind Onshore,191.2
2026/1/1 0:45,Biomass,76.4
2026/1/1 0:45,Energy Storage,0.0
2026/1/1 0:45,Fossil Gas,422.0
2026/1/1 0:45,Fossil Hard Coal,200.8
2026/1/1 0:45,Fossil Oil,11.6
2026/1/1 0:45,Geothermal,0.0
2026/1/1 0:45,Hydro Pumped Storage,0.0
2026/1/1 0:45,Hydro Run-of-river and Poundage,64.8
2026/1/1 0:45,Hydro Water Reservoir,362.0
2026/1/1 0:45,Other Renewable,35.6
2026/1/1 0:45,Solar,0.0
2026/1/1 0:45,Waste,4.8
2026/1/1 0:45,Wind Onshore,193.6
2026/1/1 1:00,Biomass,76.4
2026/1/1 1:00,Energy Storage,0.0
2026/1/1 1:00,Fossil Gas,424.0
2026/1/1 1:00,Fossil Hard Coal,200.8
2026/1/1 1:00,Fossil Oil,11.6
2026/1/1 1:00,Geothermal,0.0
2026/1/1 1:00,Hydro Pumped Storage,0.0
2026/1/1 1:00,Hydro Run-of-river and Poundage,46.8
2026/1/1 1:00,Hydro Water Reservoir,386.0
2026/1/1 1:00,Other Renewable,35.6
2026/1/1 1:00,Solar,0.0
2026/1/1 1:00,Waste,4.8
2026/1/1 1:00,Wind Onshore,190.8
2026/1/1 1:15,Biomass,76.4
2026/1/1 1:15,Energy Storage,0.0
2026/1/1 1:15,Fossil Gas,424.0
2026/1/1 1:15,Fossil Hard Coal,200.8
2026/1/1 1:15,Fossil Oil,11.6
2026/1/1 1:15,Geothermal,0.0
2026/1/1 1:15,Hydro Pumped Storage,0.0
2026/1/1 1:15,Hydro Run-of-river and Poundage,44.4
2026/1/1 1:15,Hydro Water Reservoir,387.6
2026/1/1 1:15,Other Renewable,35.6
2026/1/1 1:15,Solar,0.0
2026/1/1 1:15,Waste,4.8
2026/1/1 1:15,Wind Onshore,187.2
2026/1/1 1:30,Biomass,76.4
2026/1/1 1:30,Energy Storage,0.0
2026/1/1 1:30,Fossil Gas,422.0
2026/1/1 1:30,Fossil Hard Coal,200.0
2026/1/1 1:30,Fossil Oil,11.6
2026/1/1 1:30,Geothermal,0.0
2026/1/1 1:30,Hydro Pumped Storage,0.0
2026/1/1 1:30,Hydro Run-of-river and Poundage,44.4
2026/1/1 1:30,Hydro Water Reservoir,388.0
2026/1/1 1:30,Other Renewable,35.6
2026/1/1 1:30,Solar,0.0
2026/1/1 1:30,Waste,4.8
2026/1/1 1:30,Wind Onshore,190.4
2026/1/1 1:45,Biomass,76.4
2026/1/1 1:45,Energy Storage,0.0
2026/1/1 1:45,Fossil Gas,422.8
2026/1/1 1:45,Fossil Hard Coal,200.8
