date,category,value
2026/1/1 0:00,Biomass,411.0
2026/1/1 0:00,Energy Storage,0.0
2026/1/1 0:00,Fossil Coal-derived Gas,480.0
2026/1/1 0:00,Fossil Gas,14390.0
2026/1/1 0:00,Fossil Hard Coal,370.0
2026/1/1 0:00,Fossil Oil,12.0
2026/1/1 0:00,Hydro Run-of-river and Poundage,1379.0
2026/1/1 0:00,Hydro Water Reservoir,78.0
2026/1/1 0:00,Other,1826.0
2026/1/1 0:00,Solar,0.0
2026/1/1 0:00,Waste,8.0
2026/1/1 0:00,Wind Offshore,5.0
2026/1/1 0:00,Wind Onshore,1147.0
2026/1/1 0:15,Biomass,384.0
2026/1/1 0:15,Fossil Coal-derived Gas,480.0
2026/1/1 0:15,Fossil Gas,14252.0
2026/1/1 0:15,Fossil Hard Coal,330.0
2026/1/1 0:15,Fossil Oil,12.0
2026/1/1 0:15,Hydro Run-of-river and Poundage,1341.0
2026/1/1 0:15,Hydro Water Reservoir,79.0
2026/1/1 0:15,Other,1823.0
2026/1/1 0:15,Solar,0.0
2026/1/1 0:15,Waste,9.0
2026/1/1 0:15,Wind Offshore,7.0
2026/1/1 0:15,Wind Onshore,1146.0
2026/1/1 0:30,Biomass,377.0
2026/1/1 0:30,Fossil Coal-derived Gas,478.0
2026/1/1 0:30,Fossil Gas,14306.0
2026/1/1 0:30,Fossil Hard Coal,348.0
2026/1/1 0:30,Fossil Oil,12.0
2026/1/1 0:30,Hydro Run-of-river and Poundage,1323.0
2026/1/1 0:30,Hydro Water Reservoir,81.0
2026/1/1 0:30,Other,1817.0
2026/1/1 0:30,Solar,0.0
2026/1/1 0:30,Waste,9.0
2026/1/1 0:30,Wind Offshore,8.0
2026/1/1 0:30,Wind Onshore,1118.0
2026/1/1 0:45,Biomass,377.0
2026/1/1 0:45,Fossil Coal-derived Gas,480.0
2026/1/1 0:45,Fossil Gas,13930.0
2026/1/1 0:45,Fossil Hard Coal,355.0
2026/1/1 0:45,Fossil Oil,12.0
2026/1/1 0:45,Hydro Run-of-river and Poundage,1322.0
2026/1/1 0:45,Hydro Water Reservoir,79.0
2026/1/1 0:45,Other,1819.0
2026/1/1 0:45,Solar,0.0
2026/1/1 0:45,Waste,9.0
2026/1/1 0:45,Wind Offshore,7.0
2026/1/1 0:45,Wind Onshore,1113.0
2026/1/1 1:00,Biomass,354.0
2026/1/1 1:00,Energy Storage,56.0
2026/1/1 1:00,Fossil Coal-derived Gas,482.0
2026/1/1 1:00,Fossil Gas,14171.0
