date,category,value
2026/1/1 0:00,Biomass,106.1
2026/1/1 0:00,Fossil Brown Coal/Lignite,18.8
2026/1/1 0:00,Fossil Gas,238.3
2026/1/1 0:00,Fossil Hard Coal,0.0
2026/1/1 0:00,Fossil Oil,69.4
2026/1/1 0:00,Hydro Pumped Storage,197.8
2026/1/1 0:00,Hydro Run-of-river and Poundage,239.0
2026/1/1 0:00,Hydro Water Reservoir,2.8
2026/1/1 0:00,Nuclear,2468.5
2026/1/1 0:00,Other,122.6
2026/1/1 0:00,Other Renewable,54.6
2026/1/1 0:00,Solar,0.0
2026/1/1 0:00,Wind Onshore,1.3
2026/1/1 0:15,Biomass,106.1
2026/1/1 0:15,Fossil Brown Coal/Lignite,18.8
2026/1/1 0:15,Fossil Gas,238.3
2026/1/1 0:15,Fossil Hard Coal,0.0
2026/1/1 0:15,Fossil Oil,69.4
2026/1/1 0:15,Hydro Pumped Storage,197.8
2026/1/1 0:15,Hydro Run-of-river and Poundage,239.0
2026/1/1 0:15,Hydro Water Reservoir,2.8
2026/1/1 0:15,Nuclear,2468.5
2026/1/1 0:15,Other,122.6
2026/1/1 0:15,Other Renewable,54.6
2026/1/1 0:15,Solar,0.0
2026/1/1 0:15,Wind Onshore,1.3
2026/1/1 0:30,Biomass,106.1
2026/1/1 0:30,Fossil Brown Coal/Lignite,18.8
2026/1/1 0:30,Fossil Gas,238.3
2026/1/1 0:30,Fossil Hard Coal,0.0
2026/1/1 0:30,Fossil Oil,69.4
2026/1/1 0:30,Hydro Pumped Storage,197.8
2026/1/1 0:30,Hydro Run-of-river and Poundage,239.0
2026/1/1 0:30,Hydro Water Reservoir,2.8
2026/1/1 0:30,Nuclear,2468.5
2026/1/1 0:30,Other,122.6
2026/1/1 0:30,Other Renewable,54.6
2026/1/1 0:30,Solar,0.0
2026/1/1 0:30,Wind Onshore,1.3
2026/1/1 0:45,Biomass,106.1
2026/1/1 0:45,Fossil Brown Coal/Lignite,18.8
2026/1/1 0:45,Fossil Gas,238.3
2026/1/1 0:45,Fossil Hard Coal,0.0
2026/1/1 0:45,Fossil Oil,69.4
2026/1/1 0:45,Hydro Pumped Storage,197.8
2026/1/1 0:45,Hydro Run-of-river and Poundage,239.0
2026/1/1 0:45,Hydro Water Reservoir,2.8
2026/1/1 0:45,Nuclear,2468.5
2026/1/1 0:45,Other,122.6
2026/1/1 0:45,Other Renewable,54.6
2026/1/1 0:45,Solar,0.0
2026/1/1 0:45,Wind Onshore,1.3
2026/1/1 1:00,Biomass,106.3
2026/1/1 1:00,Fossil Brown Coal/Lignite,19.2
2026/1/1 1:00,Fossil Gas,235.5
2026/1/1 1:00,Fossil Hard Coal,0.0
2026/1/1 1:00,Fossil Oil,69.5
2026/1/1 1:00,Hydro Pumped Storage,205.3
2026/1/1 1:00,Hydro Run-of-river and Poundage,236.6
2026/1/1 1:00,Hydro Water Reservoir,4.8
2026/1/1 1:00,Nuclear,2467.2
2026/1/1 1:00,Other,121.0
2026/1/1 1:00,Other Renewable,55.1
2026/1/1 1:00,Solar,0.0
2026/1/1 1:00,Wind Onshore,1.1
2026/1/1 1:15,Biomass,106.3
2026/1/1 1:15,Fossil Brown Coal/Lignite,19.2
2026/1/1 1:15,Fossil Gas,235.5
2026/1/1 1:15,Fossil Hard Coal,0.0
2026/1/1 1:15,Fossil Oil,69.5
2026/1/1 1:15,Hydro Pumped Storage,205.3
2026/1/1 1:15,Hydro Run-of-river and Poundage,236.6
2026/1/1 1:15,Hydro Water Reservoir,4.8
2026/1/1 1:15,Nuclear,2467.2
2026/1/1 1:15,Other,121.0
2026/1/1 1:15,Other Renewable,55.1
2026/1/1 1:15,Solar,0.0
2026/1/1 1:15,Wind Onshore,1.1
2026/1/1 1:30,Biomass,106.3
2026/1/1 1:30,Fossil Brown Coal/Lignite,19.2
2026/1/1 1:30,Fossil Gas,235.5
2026/1/1 1:30,Fossil Hard Coal,0.0
