Date,AT,DE,ES,FR,GR,HR,HU,PL,RO,RS,SK
2024/1/1 0:00,-8.19,75.15,40.73,-16.65,,0.06,-234.35,279.4,3100.0,53.23,-5.0
2024/1/1 0:15,65.89,78.53,40.73,-16.65,,0.07,38.28,279.4,3100.0,53.23,-5.0
2024/1/1 0:30,79.29,83.17,40.73,-19.75,,0.07,38.28,279.4,3100.0,53.23,-5.0
2024/1/1 0:45,-9.05,75.15,40.73,-19.75,,0.07,-21.19,279.4,3100.0,53.23,-5.0
2024/1/1 1:00,45.93,79.13,29.82,-20.99,,0.01,3.83,329.14,2000.0,32.04,132.0
2024/1/1 1:15,47.13,80.89,29.82,-20.99,,0.01,-523.25,329.14,2000.0,32.04,-5.0
2024/1/1 1:30,-3.49,75.15,29.82,-16.03,,0.01,-389.39,329.14,2000.0,32.04,-5.0
2024/1/1 1:45,-18.68,75.15,29.82,-16.03,,0.01,-1273.07,329.14,2000.0,32.04,-5.0
2024/1/1 2:00,5.41,89.45,43.91,-17.32,,0.02,-2138.12,348.62,3100.0,33.06,-5.0
2024/1/1 2:15,-5.66,88.67,43.91,-17.32,,0.02,-1420.35,348.62,3100.0,33.06,-5.0
2024/1/1 2:30,-23.96,85.15,43.91,-18.46,,0.02,-1493.29,348.62,3100.0,33.06,-5.0
2024/1/1 2:45,-21.63,75.15,43.91,-18.46,,0.02,-508.31,348.62,3100.0,33.06,-5.0
2024/1/1 3:00,3.01,95.74,39.35,30.67,,0.0,-89.16,279.4,2000.0,31.35,-5.0
2024/1/1 3:15,-3.39,100.87,39.35,30.67,,0.0,-792.29,279.4,2000.0,31.35,-5.0
2024/1/1 3:30,-6.91,75.15,39.35,-13.13,,0.0,-241.94,279.4,2000.0,31.35,-5.0
2024/1/1 3:45,-56.88,75.15,39.35,-13.13,,0.0,-2642.17,279.4,2000.0,31.35,-5.0
2024/1/1 4:00,-3.37,75.15,39.17,0.99,,0.0,-450.56,266.69,3100.0,5.59,-5.0
