date,category,value
2026/4/27 10:00,Fossil Gas,271.2
2026/4/27 10:00,Hydro Pumped Storage,1120.8
2026/4/27 10:00,Hydro Run-of-river and Poundage,2193.6
2026/4/27 10:00,Hydro Water Reservoir,361.6
2026/4/27 10:00,Solar,3728.0
2026/4/27 10:00,Wind Onshore,148.0
2026/4/27 10:15,Fossil Gas,202.4
2026/4/27 10:15,Hydro Pumped Storage,1142.8
2026/4/27 10:15,Hydro Run-of-river and Poundage,2163.6
2026/4/27 10:15,Hydro Water Reservoir,292.8
2026/4/27 10:15,Solar,3976.0
2026/4/27 10:30,Biomass,208.0
2026/4/27 10:30,Fossil Gas,188.4
2026/4/27 10:30,Hydro Pumped Storage,1138.0
2026/4/27 10:30,Hydro Run-of-river and Poundage,2176.0
2026/4/27 10:30,Hydro Water Reservoir,284.4
2026/4/27 10:30,Solar,4192.0
2026/4/27 10:30,Wind Onshore,144.0
2026/4/27 10:45,Biomass,208.0
2026/4/27 10:45,Fossil Gas,190.0
2026/4/27 10:45,Hydro Pumped Storage,1204.4
2026/4/27 10:45,Hydro Run-of-river and Poundage,2166.0
2026/4/27 10:45,Hydro Water Reservoir,287.6
2026/4/27 10:45,Solar,4400.0
2026/4/27 10:45,Wind Onshore,132.0
2026/4/27 11:00,Biomass,208.0
2026/4/27 11:00,Fossil Gas,195.2
2026/4/27 11:00,Hydro Pumped Storage,1306.0
2026/4/27 11:00,Hydro Run-of-river and Poundage,2216.4
2026/4/27 11:00,Hydro Water Reservoir,246.4
2026/4/27 11:00,Solar,4672.0
2026/4/27 11:00,Wind Onshore,120.0
2026/4/27 11:15,Biomass,208.0
2026/4/27 11:15,Fossil Gas,197.6
2026/4/27 11:15,Hydro Pumped Storage,1349.6
2026/4/27 11:15,Hydro Run-of-river and Poundage,2227.2
2026/4/27 11:15,Hydro Water Reservoir,254.4
2026/4/27 11:15,Solar,4884.0
2026/4/27 11:15,Wind Onshore,92.0
2026/4/27 11:30,Fossil Gas,194.8
2026/4/27 11:30,Hydro Pumped Storage,1378.0
2026/4/27 11:30,Hydro Run-of-river and Poundage,2212.4
2026/4/27 11:30,Hydro Water Reservoir,252.4
2026/4/27 11:30,Solar,4952.0
2026/4/27 11:30,Wind Onshore,68.0
2026/4/27 11:45,Fossil Gas,190.4
2026/4/27 11:45,Hydro Pumped Storage,1399.2
2026/4/27 11:45,Hydro Run-of-river and Poundage,2165.2
2026/4/27 11:45,Hydro Water Reservoir,250.8
2026/4/27 11:45,Solar,4940.0
2026/4/27 11:45,Wind Onshore,56.0
2026/4/27 12:00,Fossil Gas,187.6
2026/4/27 12:00,Hydro Pumped Storage,1334.0
2026/4/27 12:00,Hydro Run-of-river and Poundage,2119.6
2026/4/27 12:00,Hydro Water Reservoir,175.2
2026/4/27 12:00,Solar,4992.0
2026/4/27 12:00,Wind Onshore,44.0
2026/4/27 12:15,Fossil Gas,189.6
2026/4/27 12:15,Hydro Pumped Storage,1391.6
2026/4/27 12:15,Hydro Run-of-river and Poundage,2120.4
2026/4/27 12:15,Hydro Water Reservoir,174.0
2026/4/27 12:15,Solar,5060.0
2026/4/27 12:15,Wind Onshore,36.0
2026/4/27 12:30,Fossil Gas,192.0
2026/4/27 12:30,Hydro Pumped Storage,1343.6
2026/4/27 12:30,Hydro Run-of-river and Poundage,2159.6
2026/4/27 12:30,Hydro Water Reservoir,178.4
2026/4/27 12:30,Solar,5148.0
2026/4/27 12:30,Wind Onshore,28.0
2026/4/27 12:45,Biomass,204.0
2026/4/27 12:45,Hydro Pumped Storage,1377.6
2026/4/27 12:45,Hydro Run-of-river and Poundage,2160.8
2026/4/27 12:45,Hydro Water Reservoir,174.4
2026/4/27 12:45,Solar,5168.0
2026/4/27 12:45,Wind Onshore,24.0
2026/4/27 13:00,Biomass,204.0
2026/4/27 13:00,Fossil Gas,189.6
2026/4/27 13:00,Hydro Pumped Storage,1398.0
2026/4/27 13:00,Hydro Run-of-river and Poundage,2128.8
2026/4/27 13:00,Hydro Water Reservoir,153.2
2026/4/27 13:00,Solar,5092.0
2026/4/27 13:00,Wind Onshore,20.0
2026/4/27 13:15,Biomass,204.0
2026/4/27 13:15,Fossil Gas,189.2
2026/4/27 13:15,Hydro Pumped Storage,1414.4
2026/4/27 13:15,Hydro Run-of-river and Poundage,2124.0
2026/4/27 13:15,Hydro Water Reservoir,149.2
2026/4/27 13:15,Solar,5052.0
2026/4/27 13:30,Biomass,204.0
2026/4/27 13:30,Fossil Gas,187.2
2026/4/27 13:30,Hydro Pumped Storage,1410.4
2026/4/27 13:30,Hydro Run-of-river and Poundage,2112.8
2026/4/27 13:30,Hydro Water Reservoir,146.4
2026/4/27 13:30,Solar,4980.0
2026/4/27 13:45,Fossil Gas,189.6
2026/4/27 13:45,Hydro Pumped Storage,1407.6
2026/4/27 13:45,Hydro Run-of-river and Poundage,2109.6
2026/4/27 13:45,Hydro Water Reservoir,145.6
2026/4/27 13:45,Solar,4912.0
2026/4/27 13:45,Wind Onshore,16.0
2026/4/27 14:00,Hydro Pumped Storage,1391.2
2026/4/27 14:00,Hydro Run-of-river and Poundage,2115.6
2026/4/27 14:00,Hydro Water Reservoir,187.2
2026/4/27 14:00,Solar,4820.0
2026/4/27 14:00,Wind Onshore,8.0
2026/4/27 14:15,Fossil Gas,207.2
2026/4/27 14:15,Hydro Pumped Storage,1364.8
2026/4/27 14:15,Hydro Run-of-river and Poundage,2115.2
2026/4/27 14:15,Hydro Water Reservoir,203.6
2026/4/27 14:15,Solar,4708.0
2026/4/27 14:15,Wind Onshore,20.0
2026/4/27 14:30,Fossil Gas,192.4
2026/4/27 14:30,Hydro Pumped Storage,1368.4
2026/4/27 14:30,Hydro Run-of-river and Poundage,2162.8
2026/4/27 14:30,Hydro Water Reservoir,180.4
2026/4/27 14:30,Solar,4652.0
2026/4/27 14:30,Wind Onshore,16.0
2026/4/27 14:45,Fossil Gas,187.6
2026/4/27 14:45,Hydro Pumped Storage,1357.2
2026/4/27 14:45,Hydro Run-of-river and Poundage,2175.2
2026/4/27 14:45,Hydro Water Reservoir,172.0
2026/4/27 14:45,Solar,4468.0
2026/4/27 14:45,Wind Onshore,12.0
2026/4/27 15:00,Fossil Gas,186.8
2026/4/27 15:00,Hydro Pumped Storage,1203.6
2026/4/27 15:00,Hydro Run-of-river and Poundage,2202.0
2026/4/27 15:00,Hydro Water Reservoir,134.4
2026/4/27 15:00,Solar,4276.0
2026/4/27 15:00,Wind Onshore,16.0
2026/4/27 15:15,Fossil Gas,184.4
2026/4/27 15:15,Hydro Pumped Storage,1243.6
2026/4/27 15:15,Hydro Run-of-river and Poundage,2190.4
2026/4/27 15:15,Hydro Water Reservoir,124.8
2026/4/27 15:15,Solar,4028.0
2026/4/27 15:30,Fossil Gas,185.2
2026/4/27 15:30,Hydro Pumped Storage,1229.2
2026/4/27 15:30,Hydro Run-of-river and Poundage,2191.6
2026/4/27 15:30,Hydro Water Reservoir,125.2
2026/4/27 15:30,Solar,3824.0
2026/4/27 15:45,Fossil Gas,186.0
2026/4/27 15:45,Hydro Pumped Storage,1213.6
2026/4/27 15:45,Hydro Run-of-river and Poundage,2210.0
2026/4/27 15:45,Hydro Water Reservoir,170.8
2026/4/27 15:45,Solar,3616.0
2026/4/27 16:00,Hydro Pumped Storage,1189.2
2026/4/27 16:00,Hydro Run-of-river and Poundage,2266.4
2026/4/27 16:00,Hydro Water Reservoir,173.6
2026/4/27 16:00,Solar,3372.0
2026/4/27 16:15,Fossil Gas,183.6
2026/4/27 16:15,Hydro Pumped Storage,1188.0
2026/4/27 16:15,Hydro Run-of-river and Poundage,2253.6
2026/4/27 16:15,Hydro Water Reservoir,161.2
2026/4/27 16:15,Solar,3076.0
2026/4/27 16:15,Wind Onshore,20.0
2026/4/27 16:30,Fossil Gas,214.0
2026/4/27 16:30,Hydro Pumped Storage,1131.6
2026/4/27 16:30,Hydro Run-of-river and Poundage,2243.6
2026/4/27 16:30,Hydro Water Reservoir,170.0
2026/4/27 16:30,Solar,2788.0
2026/4/27 16:30,Wind Onshore,28.0
2026/4/27 16:45,Fossil Gas,303.6
2026/4/27 16:45,Hydro Pumped Storage,946.0
2026/4/27 16:45,Hydro Run-of-river and Poundage,2280.0
2026/4/27 16:45,Hydro Water Reservoir,194.8
2026/4/27 16:45,Solar,2524.0
2026/4/27 16:45,Wind Onshore,36.0
2026/4/27 17:00,Fossil Gas,419.6
2026/4/27 17:00,Hydro Pumped Storage,6.4
2026/4/27 17:00,Hydro Run-of-river and Poundage,2341.6
2026/4/27 17:00,Hydro Water Reservoir,263.2
2026/4/27 17:00,Solar,2180.0
2026/4/27 17:00,Wind Onshore,48.0
2026/4/27 17:15,Fossil Gas,650.0
2026/4/27 17:15,Hydro Pumped Storage,110.0
2026/4/27 17:15,Hydro Run-of-river and Poundage,2398.8
2026/4/27 17:15,Hydro Water Reservoir,311.6
2026/4/27 17:15,Solar,1868.0
