date,category,value
2026/4/27 10:00,Biomass,12.829296
2026/4/27 10:00,Fossil Brown Coal/Lignite,741.11029
2026/4/27 10:00,Fossil Gas,201.02817
2026/4/27 10:00,Fossil Hard Coal,29.0203
2026/4/27 10:00,Hydro Run-of-river and Poundage,153.383462
2026/4/27 10:00,Hydro Water Reservoir,91.3839
2026/4/27 10:00,Nuclear,1846.2528
2026/4/27 10:00,Solar,1656.493615
2026/4/27 10:00,Waste,4.989
2026/4/27 10:00,Wind Onshore,46.481341
2026/4/27 10:15,Biomass,12.829296
2026/4/27 10:15,Fossil Brown Coal/Lignite,741.11029
2026/4/27 10:15,Fossil Gas,201.02817
2026/4/27 10:15,Fossil Hard Coal,29.0203
2026/4/27 10:15,Hydro Run-of-river and Poundage,153.383462
2026/4/27 10:15,Hydro Water Reservoir,91.3839
2026/4/27 10:15,Nuclear,1846.2528
2026/4/27 10:15,Solar,1656.493615
2026/4/27 10:15,Waste,4.989
2026/4/27 10:15,Wind Onshore,46.481341
2026/4/27 10:30,Biomass,12.829296
2026/4/27 10:30,Fossil Brown Coal/Lignite,741.11029
2026/4/27 10:30,Fossil Gas,201.02817
2026/4/27 10:30,Fossil Hard Coal,29.0203
2026/4/27 10:30,Hydro Run-of-river and Poundage,153.383462
2026/4/27 10:30,Hydro Water Reservoir,91.3839
2026/4/27 10:30,Nuclear,1846.2528
2026/4/27 10:30,Solar,1656.493615
2026/4/27 10:30,Waste,4.989
2026/4/27 10:30,Wind Onshore,46.481341
2026/4/27 10:45,Biomass,12.829296
2026/4/27 10:45,Fossil Brown Coal/Lignite,741.11029
2026/4/27 10:45,Fossil Gas,201.02817
2026/4/27 10:45,Fossil Hard Coal,29.0203
2026/4/27 10:45,Hydro Run-of-river and Poundage,153.383462
2026/4/27 10:45,Hydro Water Reservoir,91.3839
2026/4/27 10:45,Nuclear,1846.2528
2026/4/27 10:45,Solar,1656.493615
2026/4/27 10:45,Waste,4.989
2026/4/27 10:45,Wind Onshore,46.481341
2026/4/27 11:00,Biomass,13.407952
2026/4/27 11:00,Fossil Brown Coal/Lignite,739.562
2026/4/27 11:00,Fossil Gas,195.168335
2026/4/27 11:00,Fossil Hard Coal,29.0649
2026/4/27 11:00,Hydro Run-of-river and Poundage,118.352322
2026/4/27 11:00,Hydro Water Reservoir,64.44202
2026/4/27 11:00,Nuclear,1847.0736
2026/4/27 11:00,Solar,1862.253598
2026/4/27 11:00,Waste,5.147
2026/4/27 11:00,Wind Onshore,30.774595
2026/4/27 11:15,Biomass,13.407952
2026/4/27 11:15,Fossil Brown Coal/Lignite,739.562
2026/4/27 11:15,Fossil Gas,195.168335
2026/4/27 11:15,Fossil Hard Coal,29.0649
2026/4/27 11:15,Hydro Run-of-river and Poundage,118.352322
2026/4/27 11:15,Hydro Water Reservoir,64.44202
2026/4/27 11:15,Nuclear,1847.0736
2026/4/27 11:15,Solar,1862.253598
2026/4/27 11:15,Waste,5.147
