date,category,value
2026/4/27 10:00,Biomass,4311.15598
2026/4/27 10:00,Fossil Brown Coal/Lignite,4147.31394
2026/4/27 10:00,Fossil Coal-derived Gas,537.57334
2026/4/27 10:00,Fossil Gas,4188.0101
2026/4/27 10:00,Fossil Hard Coal,1283.34255
2026/4/27 10:00,Fossil Oil,476.52967
2026/4/27 10:00,Hydro Pumped Storage,3052.6021
2026/4/27 10:00,Hydro Run-of-river and Poundage,1287.96908
2026/4/27 10:00,Hydro Water Reservoir,53.1912
2026/4/27 10:00,Other,159.79675
2026/4/27 10:00,Other Renewable,95.06
2026/4/27 10:00,Solar,39864.803
2026/4/27 10:00,Waste,742.7392
2026/4/27 10:00,Wind Offshore,14.33
2026/4/27 10:00,Wind Onshore,578.9991
2026/4/27 10:15,Biomass,4284.03488
2026/4/27 10:15,Fossil Brown Coal/Lignite,3997.0202
2026/4/27 10:15,Fossil Coal-derived Gas,561.68
2026/4/27 10:15,Fossil Gas,3734.21839
2026/4/27 10:15,Fossil Hard Coal,1286.90601
2026/4/27 10:15,Fossil Oil,465.199
2026/4/27 10:15,Hydro Pumped Storage,67.3045
2026/4/27 10:15,Hydro Run-of-river and Poundage,1270.28098
2026/4/27 10:15,Hydro Water Reservoir,50.303
2026/4/27 10:15,Other,159.90075
2026/4/27 10:15,Other Renewable,95.06
2026/4/27 10:15,Solar,41847.323
2026/4/27 10:15,Waste,750.2756
2026/4/27 10:15,Wind Offshore,15.52
2026/4/27 10:15,Wind Onshore,548.81306
2026/4/27 10:30,Biomass,4271.77338
2026/4/27 10:30,Fossil Brown Coal/Lignite,3940.14585
2026/4/27 10:30,Fossil Coal-derived Gas,542.584
2026/4/27 10:30,Fossil Gas,3433.57277
2026/4/27 10:30,Fossil Hard Coal,1271.45753
2026/4/27 10:30,Fossil Oil,465.366
2026/4/27 10:30,Hydro Pumped Storage,158.1443
2026/4/27 10:30,Hydro Run-of-river and Poundage,1281.44887
2026/4/27 10:30,Hydro Water Reservoir,48.2799
2026/4/27 10:30,Other,159.81375
2026/4/27 10:30,Other Renewable,95.06
2026/4/27 10:30,Solar,43609.872
2026/4/27 10:30,Waste,749.8357
2026/4/27 10:30,Wind Offshore,11.83
2026/4/27 10:30,Wind Onshore,536.77732
2026/4/27 10:45,Biomass,4265.77458
2026/4/27 10:45,Fossil Brown Coal/Lignite,3878.7406
2026/4/27 10:45,Fossil Coal-derived Gas,558.63834
2026/4/27 10:45,Fossil Gas,3182.44923
2026/4/27 10:45,Fossil Hard Coal,1252.04098
2026/4/27 10:45,Fossil Oil,464.50867
2026/4/27 10:45,Hydro Pumped Storage,4360.0083
2026/4/27 10:45,Hydro Run-of-river and Poundage,1288.22287
2026/4/27 10:45,Hydro Water Reservoir,46.7434
2026/4/27 10:45,Other,159.84675
2026/4/27 10:45,Solar,45406.107
2026/4/27 10:45,Waste,745.0502
2026/4/27 10:45,Wind Offshore,10.112
2026/4/27 10:45,Wind Onshore,525.02213
2026/4/27 11:00,Biomass,4216.30028
2026/4/27 11:00,Fossil Brown Coal/Lignite,3776.90714
2026/4/27 11:00,Fossil Coal-derived Gas,562.11166
2026/4/27 11:00,Fossil Gas,2508.5552
2026/4/27 11:00,Fossil Hard Coal,1317.43078
2026/4/27 11:00,Fossil Oil,465.94033
2026/4/27 11:00,Hydro Pumped Storage,145.4809
2026/4/27 11:00,Hydro Run-of-river and Poundage,1280.77514
2026/4/27 11:00,Hydro Water Reservoir,99.0058
2026/4/27 11:00,Other,159.82575
2026/4/27 11:00,Solar,47017.825
2026/4/27 11:00,Waste,713.4475
2026/4/27 11:00,Wind Offshore,11.38
2026/4/27 11:00,Wind Onshore,550.35917
2026/4/27 11:15,Biomass,4215.49528
2026/4/27 11:15,Fossil Brown Coal/Lignite,3689.95983
2026/4/27 11:15,Fossil Coal-derived Gas,558.691
2026/4/27 11:15,Fossil Gas,2462.08637
2026/4/27 11:15,Fossil Hard Coal,1327.95645
2026/4/27 11:15,Fossil Oil,464.00867
2026/4/27 11:15,Hydro Pumped Storage,4429.8439
2026/4/27 11:15,Hydro Run-of-river and Poundage,1291.24914
2026/4/27 11:15,Hydro Water Reservoir,44.6238
2026/4/27 11:15,Other,159.82975
2026/4/27 11:15,Solar,48427.738
2026/4/27 11:15,Waste,688.9524
2026/4/27 11:15,Wind Offshore,5.73
2026/4/27 11:15,Wind Onshore,609.74494
2026/4/27 11:30,Biomass,4188.05328
2026/4/27 11:30,Fossil Brown Coal/Lignite,3667.7221
2026/4/27 11:30,Fossil Coal-derived Gas,557.71334
2026/4/27 11:30,Fossil Gas,2405.54067
2026/4/27 11:30,Fossil Hard Coal,1302.98113
2026/4/27 11:30,Fossil Oil,463.92467
