date,category,value
2026/4/27 10:00,Biomass,434.17
2026/4/27 10:00,Fossil Gas,458.88
2026/4/27 10:00,Fossil Hard Coal,6.37
2026/4/27 10:00,Hydro Pumped Storage,322.39
2026/4/27 10:00,Hydro Run-of-river and Poundage,4669.99
2026/4/27 10:00,Hydro Water Reservoir,593.75
2026/4/27 10:00,Nuclear,42850.28
2026/4/27 10:00,Solar,11247.37
2026/4/27 10:00,Waste,366.02
2026/4/27 10:00,Wind Offshore,72.94
2026/4/27 10:00,Wind Onshore,900.5
2026/4/27 10:15,Biomass,428.14
2026/4/27 10:15,Fossil Gas,428.84
2026/4/27 10:15,Fossil Hard Coal,1.85
2026/4/27 10:15,Fossil Oil,35.6
2026/4/27 10:15,Hydro Pumped Storage,361.83
2026/4/27 10:15,Hydro Run-of-river and Poundage,4542.72
2026/4/27 10:15,Hydro Water Reservoir,484.45
2026/4/27 10:15,Nuclear,42077.03
2026/4/27 10:15,Solar,12287.76
2026/4/27 10:15,Waste,361.2
2026/4/27 10:15,Wind Offshore,65.21
2026/4/27 10:15,Wind Onshore,849.25
2026/4/27 10:30,Biomass,432.65
2026/4/27 10:30,Fossil Gas,386.11
2026/4/27 10:30,Fossil Hard Coal,1.66
2026/4/27 10:30,Fossil Oil,36.0
2026/4/27 10:30,Hydro Pumped Storage,2278.31
2026/4/27 10:30,Hydro Run-of-river and Poundage,4536.86
2026/4/27 10:30,Hydro Water Reservoir,557.95
2026/4/27 10:30,Nuclear,42183.39
2026/4/27 10:30,Solar,13568.05
2026/4/27 10:30,Waste,365.62
2026/4/27 10:30,Wind Offshore,48.29
2026/4/27 10:30,Wind Onshore,814.73
2026/4/27 10:45,Biomass,431.55
2026/4/27 10:45,Fossil Gas,421.83
2026/4/27 10:45,Fossil Hard Coal,1.62
2026/4/27 10:45,Fossil Oil,35.6
2026/4/27 10:45,Hydro Pumped Storage,289.0
2026/4/27 10:45,Hydro Run-of-river and Poundage,4473.69
2026/4/27 10:45,Hydro Water Reservoir,481.47
2026/4/27 10:45,Nuclear,41767.64
