date,category,value
2026/4/27 10:00,Fossil Brown Coal/Lignite,187.0
2026/4/27 10:00,Fossil Gas,1242.0
2026/4/27 10:00,Hydro Water Reservoir,24.0
2026/4/27 10:00,Solar,4834.0
2026/4/27 10:00,Wind Onshore,807.0
2026/4/27 10:15,Fossil Brown Coal/Lignite,187.0
2026/4/27 10:15,Fossil Gas,1242.0
2026/4/27 10:15,Hydro Water Reservoir,24.0
2026/4/27 10:15,Solar,4834.0
2026/4/27 10:15,Wind Onshore,807.0
2026/4/27 10:30,Fossil Brown Coal/Lignite,187.0
2026/4/27 10:30,Fossil Gas,1242.0
2026/4/27 10:30,Hydro Water Reservoir,24.0
2026/4/27 10:30,Solar,4834.0
2026/4/27 10:30,Wind Onshore,807.0
2026/4/27 10:45,Fossil Brown Coal/Lignite,187.0
2026/4/27 10:45,Fossil Gas,1242.0
2026/4/27 10:45,Hydro Water Reservoir,24.0
2026/4/27 10:45,Solar,4834.0
2026/4/27 10:45,Wind Onshore,807.0
2026/4/27 11:00,Fossil Brown Coal/Lignite,192.0
2026/4/27 11:00,Fossil Gas,1120.0
2026/4/27 11:00,Hydro Water Reservoir,17.0
2026/4/27 11:00,Solar,6636.0
2026/4/27 11:00,Wind Onshore,721.0
2026/4/27 11:15,Fossil Brown Coal/Lignite,192.0
2026/4/27 11:15,Fossil Gas,1120.0
2026/4/27 11:15,Hydro Water Reservoir,17.0
2026/4/27 11:15,Solar,6636.0
2026/4/27 11:15,Wind Onshore,721.0
2026/4/27 11:30,Fossil Brown Coal/Lignite,192.0
2026/4/27 11:30,Fossil Gas,1120.0
2026/4/27 11:30,Hydro Water Reservoir,17.0
2026/4/27 11:30,Solar,6636.0
2026/4/27 11:30,Wind Onshore,721.0
2026/4/27 11:45,Fossil Brown Coal/Lignite,192.0
2026/4/27 11:45,Fossil Gas,1120.0
2026/4/27 11:45,Hydro Water Reservoir,17.0
2026/4/27 11:45,Solar,6636.0
2026/4/27 11:45,Wind Onshore,721.0
2026/4/27 12:00,Fossil Brown Coal/Lignite,191.0
2026/4/27 12:00,Fossil Gas,997.0
2026/4/27 12:00,Hydro Water Reservoir,12.0
2026/4/27 12:00,Solar,6754.0
2026/4/27 12:00,Wind Onshore,644.0
2026/4/27 12:15,Fossil Brown Coal/Lignite,191.0
2026/4/27 12:15,Fossil Gas,997.0
2026/4/27 12:15,Hydro Water Reservoir,12.0
2026/4/27 12:15,Solar,6754.0
2026/4/27 12:15,Wind Onshore,644.0
2026/4/27 12:30,Fossil Brown Coal/Lignite,191.0
2026/4/27 12:30,Fossil Gas,997.0
2026/4/27 12:30,Hydro Water Reservoir,12.0
2026/4/27 12:30,Solar,6754.0
2026/4/27 12:30,Wind Onshore,644.0
2026/4/27 12:45,Fossil Brown Coal/Lignite,191.0
2026/4/27 12:45,Fossil Gas,997.0
2026/4/27 12:45,Hydro Water Reservoir,12.0
2026/4/27 12:45,Solar,6754.0
2026/4/27 12:45,Wind Onshore,644.0
2026/4/27 13:00,Fossil Gas,956.0
2026/4/27 13:00,Hydro Water Reservoir,13.0
2026/4/27 13:00,Solar,6676.0
2026/4/27 13:00,Wind Onshore,585.0
2026/4/27 13:15,Fossil Gas,956.0
2026/4/27 13:15,Hydro Water Reservoir,13.0
2026/4/27 13:15,Solar,6676.0
2026/4/27 13:15,Wind Onshore,585.0
2026/4/27 13:30,Fossil Gas,956.0
2026/4/27 13:30,Hydro Water Reservoir,13.0
2026/4/27 13:30,Solar,6676.0
2026/4/27 13:30,Wind Onshore,585.0
2026/4/27 13:45,Fossil Gas,956.0
2026/4/27 13:45,Hydro Water Reservoir,13.0
2026/4/27 13:45,Solar,6676.0
2026/4/27 13:45,Wind Onshore,585.0
2026/4/27 14:00,Fossil Brown Coal/Lignite,192.0
2026/4/27 14:00,Fossil Gas,968.0
2026/4/27 14:00,Hydro Water Reservoir,3.0
2026/4/27 14:00,Solar,6576.0
2026/4/27 14:00,Wind Onshore,545.0
2026/4/27 14:15,Fossil Brown Coal/Lignite,192.0
2026/4/27 14:15,Fossil Gas,968.0
2026/4/27 14:15,Hydro Water Reservoir,3.0
2026/4/27 14:15,Solar,6576.0
2026/4/27 14:15,Wind Onshore,545.0
2026/4/27 14:30,Fossil Brown Coal/Lignite,192.0
2026/4/27 14:30,Fossil Gas,968.0
2026/4/27 14:30,Hydro Water Reservoir,3.0
2026/4/27 14:30,Solar,6576.0
2026/4/27 14:30,Wind Onshore,545.0
2026/4/27 14:45,Fossil Brown Coal/Lignite,192.0
2026/4/27 14:45,Fossil Gas,968.0
2026/4/27 14:45,Hydro Water Reservoir,3.0
2026/4/27 14:45,Solar,6576.0
2026/4/27 14:45,Wind Onshore,545.0
2026/4/27 15:00,Fossil Brown Coal/Lignite,194.0
2026/4/27 15:00,Fossil Gas,995.0
