date,category,value
2026/4/27 2:00,Biomass,70.0
2026/4/27 2:00,Fossil Gas,0.0
2026/4/27 2:00,Fossil Hard Coal,0.0
2026/4/27 2:00,Fossil Oil,0.0
2026/4/27 2:00,Geothermal,0.0
2026/4/27 2:00,Hydro Pumped Storage,6.0
2026/4/27 2:00,Hydro Run-of-river and Poundage,92.0
2026/4/27 2:00,Hydro Water Reservoir,230.8
2026/4/27 2:00,Other Renewable,33.2
2026/4/27 2:00,Solar,0.0
2026/4/27 2:00,Waste,3.6
2026/4/27 2:00,Wind Onshore,577.6
2026/4/27 2:15,Biomass,70.0
2026/4/27 2:15,Hydro Pumped Storage,6.0
2026/4/27 2:15,Hydro Run-of-river and Poundage,92.0
2026/4/27 2:15,Hydro Water Reservoir,232.0
2026/4/27 2:15,Other Renewable,33.2
2026/4/27 2:15,Solar,0.0
2026/4/27 2:15,Waste,3.6
2026/4/27 2:15,Wind Onshore,586.0
2026/4/27 2:30,Biomass,70.0
2026/4/27 2:30,Hydro Pumped Storage,6.0
2026/4/27 2:30,Hydro Run-of-river and Poundage,92.0
2026/4/27 2:30,Hydro Water Reservoir,248.4
2026/4/27 2:30,Other Renewable,33.2
2026/4/27 2:30,Solar,0.0
2026/4/27 2:30,Waste,3.6
2026/4/27 2:30,Wind Onshore,586.4
2026/4/27 2:45,Biomass,70.4
2026/4/27 2:45,Hydro Pumped Storage,5.6
2026/4/27 2:45,Hydro Run-of-river and Poundage,92.0
2026/4/27 2:45,Hydro Water Reservoir,242.4
2026/4/27 2:45,Other Renewable,33.2
2026/4/27 2:45,Solar,0.0
2026/4/27 2:45,Waste,4.0
2026/4/27 2:45,Wind Onshore,571.6
2026/4/27 3:00,Biomass,70.4
2026/4/27 3:00,Hydro Pumped Storage,5.6
2026/4/27 3:00,Hydro Water Reservoir,289.2
2026/4/27 3:00,Other Renewable,32.4
2026/4/27 3:00,Waste,4.0
2026/4/27 3:00,Wind Onshore,540.4
2026/4/27 3:15,Biomass,70.4
2026/4/27 3:15,Hydro Pumped Storage,6.0
2026/4/27 3:15,Hydro Run-of-river and Poundage,91.6
2026/4/27 3:15,Hydro Water Reservoir,282.0
2026/4/27 3:15,Other Renewable,32.4
2026/4/27 3:15,Waste,4.0
2026/4/27 3:15,Wind Onshore,544.4
2026/4/27 3:30,Biomass,70.4
2026/4/27 3:30,Hydro Pumped Storage,6.0
2026/4/27 3:30,Hydro Run-of-river and Poundage,92.0
2026/4/27 3:30,Hydro Water Reservoir,262.8
2026/4/27 3:30,Other Renewable,32.4
2026/4/27 3:30,Waste,4.0
2026/4/27 3:30,Wind Onshore,553.2
2026/4/27 3:45,Biomass,70.0
2026/4/27 3:45,Hydro Pumped Storage,5.6
2026/4/27 3:45,Hydro Run-of-river and Poundage,91.6
2026/4/27 3:45,Hydro Water Reservoir,278.8
2026/4/27 3:45,Other Renewable,32.4
2026/4/27 3:45,Waste,3.6
2026/4/27 3:45,Wind Onshore,547.6
2026/4/27 4:00,Biomass,70.0
2026/4/27 4:00,Hydro Pumped Storage,5.6
2026/4/27 4:00,Hydro Run-of-river and Poundage,91.6
2026/4/27 4:00,Hydro Water Reservoir,262.8
