date,category,value
2026/4/27 10:00,Biomass,161.859
2026/4/27 10:00,Fossil Brown Coal/Lignite,96.424
2026/4/27 10:00,Fossil Gas,145.3
2026/4/27 10:00,Fossil Oil,0.0
2026/4/27 10:00,Hydro Run-of-river and Poundage,10.111
2026/4/27 10:00,Hydro Water Reservoir,9.19
2026/4/27 10:00,Nuclear,1931.06
2026/4/27 10:00,Other,99.432
2026/4/27 10:00,Other Renewable,12.605
2026/4/27 10:00,Solar,3469.11384
2026/4/27 10:00,Waste,2.024
2026/4/27 10:00,Wind Onshore,18.20243
2026/4/27 10:15,Biomass,161.862
2026/4/27 10:15,Fossil Brown Coal/Lignite,98.732
2026/4/27 10:15,Fossil Gas,137.196
2026/4/27 10:15,Hydro Run-of-river and Poundage,9.972
2026/4/27 10:15,Hydro Water Reservoir,9.197
2026/4/27 10:15,Nuclear,1929.798
2026/4/27 10:15,Other,99.131
2026/4/27 10:15,Other Renewable,12.847
2026/4/27 10:15,Solar,3275.75431
2026/4/27 10:15,Waste,2.022
2026/4/27 10:15,Wind Onshore,5.84056
2026/4/27 10:30,Biomass,162.032
2026/4/27 10:30,Fossil Brown Coal/Lignite,103.916
2026/4/27 10:30,Fossil Gas,140.363
2026/4/27 10:30,Hydro Run-of-river and Poundage,9.895
2026/4/27 10:30,Hydro Water Reservoir,9.191
2026/4/27 10:30,Nuclear,1929.728
2026/4/27 10:30,Other,101.924
2026/4/27 10:30,Other Renewable,12.648
2026/4/27 10:30,Solar,3297.10048
2026/4/27 10:30,Waste,2.024
2026/4/27 10:30,Wind Onshore,4.05569
2026/4/27 10:45,Biomass,162.159
2026/4/27 10:45,Fossil Brown Coal/Lignite,105.121
2026/4/27 10:45,Fossil Gas,139.349
2026/4/27 10:45,Hydro Run-of-river and Poundage,9.819
2026/4/27 10:45,Hydro Water Reservoir,9.186
2026/4/27 10:45,Nuclear,1931.514
2026/4/27 10:45,Other,101.395
2026/4/27 10:45,Other Renewable,12.385
2026/4/27 10:45,Solar,3203.51947
2026/4/27 10:45,Waste,2.022
2026/4/27 10:45,Wind Onshore,2.76184
2026/4/27 11:00,Biomass,161.757
2026/4/27 11:00,Fossil Brown Coal/Lignite,103.032
2026/4/27 11:00,Fossil Gas,147.376
2026/4/27 11:00,Hydro Run-of-river and Poundage,9.787
2026/4/27 11:00,Hydro Water Reservoir,9.221
2026/4/27 11:00,Nuclear,1929.708
2026/4/27 11:00,Other,101.813
2026/4/27 11:00,Other Renewable,13.39
2026/4/27 11:00,Solar,3556.074
2026/4/27 11:00,Waste,2.021
2026/4/27 11:00,Wind Onshore,1.88239
2026/4/27 11:15,Biomass,161.009
2026/4/27 11:15,Fossil Brown Coal/Lignite,103.157
2026/4/27 11:15,Fossil Gas,135.755
2026/4/27 11:15,Hydro Run-of-river and Poundage,9.735
2026/4/27 11:15,Hydro Water Reservoir,9.246
2026/4/27 11:15,Nuclear,1931.008
2026/4/27 11:15,Other,103.805
2026/4/27 11:15,Other Renewable,13.828
2026/4/27 11:15,Solar,3262.85774
2026/4/27 11:15,Waste,2.019
2026/4/27 11:15,Wind Onshore,1.27153
2026/4/27 11:30,Biomass,162.352
2026/4/27 11:30,Fossil Brown Coal/Lignite,102.929
2026/4/27 11:30,Fossil Gas,130.173
2026/4/27 11:30,Hydro Run-of-river and Poundage,9.754
2026/4/27 11:30,Hydro Water Reservoir,9.265
2026/4/27 11:30,Nuclear,1930.445
2026/4/27 11:30,Other,106.545
2026/4/27 11:30,Other Renewable,13.091
2026/4/27 11:30,Solar,3026.09723
2026/4/27 11:30,Waste,0.409
2026/4/27 11:30,Wind Onshore,1.2798
2026/4/27 11:45,Biomass,167.809
2026/4/27 11:45,Fossil Brown Coal/Lignite,105.255
2026/4/27 11:45,Fossil Gas,126.994
2026/4/27 11:45,Hydro Run-of-river and Poundage,9.744
2026/4/27 11:45,Hydro Water Reservoir,9.213
2026/4/27 11:45,Nuclear,1929.59
2026/4/27 11:45,Other,103.825
2026/4/27 11:45,Other Renewable,13.229
2026/4/27 11:45,Solar,3085.31611
2026/4/27 11:45,Waste,0.224
2026/4/27 11:45,Wind Onshore,1.22451
2026/4/27 12:00,Biomass,179.045
2026/4/27 12:00,Fossil Brown Coal/Lignite,104.591
2026/4/27 12:00,Fossil Gas,137.618
2026/4/27 12:00,Hydro Run-of-river and Poundage,9.796
2026/4/27 12:00,Hydro Water Reservoir,9.196
2026/4/27 12:00,Nuclear,1929.347
2026/4/27 12:00,Other,105.422
2026/4/27 12:00,Other Renewable,11.85
2026/4/27 12:00,Solar,3168.43191
2026/4/27 12:00,Wind Onshore,0.6608
2026/4/27 12:15,Biomass,179.184
2026/4/27 12:15,Fossil Brown Coal/Lignite,103.884
2026/4/27 12:15,Fossil Gas,136.886
2026/4/27 12:15,Hydro Run-of-river and Poundage,9.823
2026/4/27 12:15,Hydro Water Reservoir,9.192
2026/4/27 12:15,Nuclear,1928.889
2026/4/27 12:15,Other,104.738
2026/4/27 12:15,Other Renewable,10.674
2026/4/27 12:15,Solar,3213.89287
2026/4/27 12:15,Wind Onshore,0.86095
2026/4/27 12:30,Biomass,179.489
2026/4/27 12:30,Fossil Brown Coal/Lignite,103.126
2026/4/27 12:30,Fossil Gas,130.427
2026/4/27 12:30,Hydro Run-of-river and Poundage,9.588
2026/4/27 12:30,Hydro Water Reservoir,9.486
2026/4/27 12:30,Nuclear,1930.191
2026/4/27 12:30,Other,106.019
2026/4/27 12:30,Other Renewable,9.906
2026/4/27 12:30,Solar,3168.18443
2026/4/27 12:30,Wind Onshore,0.51091
2026/4/27 12:45,Biomass,180.067
2026/4/27 12:45,Fossil Brown Coal/Lignite,106.496
2026/4/27 12:45,Fossil Gas,139.129
2026/4/27 12:45,Hydro Run-of-river and Poundage,9.62
2026/4/27 12:45,Hydro Water Reservoir,9.482
2026/4/27 12:45,Nuclear,1930.428
2026/4/27 12:45,Other,106.379
2026/4/27 12:45,Other Renewable,10.11
2026/4/27 12:45,Solar,3148.37845
2026/4/27 12:45,Wind Onshore,0.15697
2026/4/27 13:00,Biomass,180.117
2026/4/27 13:00,Fossil Brown Coal/Lignite,105.007
2026/4/27 13:00,Fossil Gas,140.652
2026/4/27 13:00,Fossil Oil,0.525
2026/4/27 13:00,Hydro Run-of-river and Poundage,9.603
2026/4/27 13:00,Hydro Water Reservoir,9.48
2026/4/27 13:00,Nuclear,1931.94
2026/4/27 13:00,Other,107.865
2026/4/27 13:00,Other Renewable,10.085
2026/4/27 13:00,Solar,3119.23339
2026/4/27 13:00,Wind Onshore,0.21077
2026/4/27 13:15,Biomass,179.073
2026/4/27 13:15,Fossil Brown Coal/Lignite,105.388
2026/4/27 13:15,Fossil Gas,137.346
2026/4/27 13:15,Fossil Oil,0.149
2026/4/27 13:15,Hydro Run-of-river and Poundage,9.549
2026/4/27 13:15,Hydro Water Reservoir,9.477
2026/4/27 13:15,Nuclear,1930.364
2026/4/27 13:15,Other,104.76
2026/4/27 13:15,Other Renewable,9.907
2026/4/27 13:15,Solar,3123.06697
2026/4/27 13:15,Wind Onshore,0.11148
2026/4/27 13:30,Biomass,178.875
2026/4/27 13:30,Fossil Brown Coal/Lignite,104.673
2026/4/27 13:30,Fossil Gas,137.469
2026/4/27 13:30,Fossil Oil,0.0
2026/4/27 13:30,Hydro Run-of-river and Poundage,9.533
2026/4/27 13:30,Hydro Water Reservoir,9.48
2026/4/27 13:30,Nuclear,1930.607
2026/4/27 13:30,Other,104.006
2026/4/27 13:30,Other Renewable,10.133
2026/4/27 13:30,Solar,3118.86514
2026/4/27 13:30,Wind Onshore,0.03396
2026/4/27 13:45,Biomass,178.881
2026/4/27 13:45,Fossil Brown Coal/Lignite,101.92
2026/4/27 13:45,Fossil Gas,127.281
2026/4/27 13:45,Fossil Oil,0.525
2026/4/27 13:45,Hydro Run-of-river and Poundage,9.529
2026/4/27 13:45,Nuclear,1929.916
2026/4/27 13:45,Other,102.019
2026/4/27 13:45,Other Renewable,10.117
2026/4/27 13:45,Solar,3113.03786
2026/4/27 13:45,Wind Onshore,0.0195
2026/4/27 14:00,Biomass,179.108
2026/4/27 14:00,Fossil Brown Coal/Lignite,106.824
2026/4/27 14:00,Fossil Gas,139.022
2026/4/27 14:00,Hydro Run-of-river and Poundage,9.595
2026/4/27 14:00,Hydro Water Reservoir,9.483
2026/4/27 14:00,Nuclear,1930.312
2026/4/27 14:00,Other,101.75
2026/4/27 14:00,Other Renewable,9.729
2026/4/27 14:00,Solar,3076.10958
2026/4/27 14:00,Wind Onshore,0.0177
2026/4/27 14:15,Biomass,178.697
2026/4/27 14:15,Fossil Brown Coal/Lignite,109.195
2026/4/27 14:15,Fossil Gas,140.171
2026/4/27 14:15,Hydro Run-of-river and Poundage,9.603
2026/4/27 14:15,Hydro Water Reservoir,9.487
2026/4/27 14:15,Nuclear,1929.134
2026/4/27 14:15,Other,96.521
2026/4/27 14:15,Other Renewable,9.731
2026/4/27 14:15,Solar,3063.5035
2026/4/27 14:15,Waste,0.619
2026/4/27 14:15,Wind Onshore,0.01876
2026/4/27 14:30,Biomass,178.114
2026/4/27 14:30,Fossil Brown Coal/Lignite,110.352
2026/4/27 14:30,Fossil Gas,142.558
2026/4/27 14:30,Hydro Run-of-river and Poundage,9.597
2026/4/27 14:30,Hydro Water Reservoir,9.48
2026/4/27 14:30,Nuclear,1929.622
2026/4/27 14:30,Other,95.177
2026/4/27 14:30,Other Renewable,10.744
2026/4/27 14:30,Solar,3027.82241
2026/4/27 14:30,Waste,0.566
2026/4/27 14:30,Wind Onshore,0.12883
2026/4/27 14:45,Biomass,178.544
2026/4/27 14:45,Fossil Brown Coal/Lignite,111.734
2026/4/27 14:45,Fossil Gas,136.967
2026/4/27 14:45,Hydro Run-of-river and Poundage,9.579
2026/4/27 14:45,Hydro Water Reservoir,9.492
2026/4/27 14:45,Nuclear,1929.291
2026/4/27 14:45,Other,92.533
2026/4/27 14:45,Other Renewable,11.151
2026/4/27 14:45,Solar,3086.78819
2026/4/27 14:45,Waste,1.166
2026/4/27 14:45,Wind Onshore,0.0322
2026/4/27 15:00,Biomass,178.847
2026/4/27 15:00,Fossil Brown Coal/Lignite,111.49
2026/4/27 15:00,Fossil Gas,142.961
2026/4/27 15:00,Hydro Run-of-river and Poundage,8.761
2026/4/27 15:00,Hydro Water Reservoir,9.487
2026/4/27 15:00,Nuclear,1928.237
2026/4/27 15:00,Other,87.436
2026/4/27 15:00,Other Renewable,11.448
2026/4/27 15:00,Solar,2996.18475
2026/4/27 15:00,Waste,2.012
2026/4/27 15:00,Wind Onshore,0.0102
2026/4/27 15:15,Biomass,178.472
2026/4/27 15:15,Fossil Brown Coal/Lignite,108.666
2026/4/27 15:15,Fossil Gas,144.441
2026/4/27 15:15,Hydro Run-of-river and Poundage,9.089
2026/4/27 15:15,Hydro Water Reservoir,9.484
2026/4/27 15:15,Nuclear,1928.618
2026/4/27 15:15,Other,78.757
2026/4/27 15:15,Other Renewable,11.702
2026/4/27 15:15,Solar,2925.4564
2026/4/27 15:15,Waste,2.025
2026/4/27 15:15,Wind Onshore,0.0186
2026/4/27 15:30,Biomass,179.275
2026/4/27 15:30,Fossil Brown Coal/Lignite,102.894
2026/4/27 15:30,Fossil Gas,131.535
2026/4/27 15:30,Hydro Run-of-river and Poundage,9.445
2026/4/27 15:30,Nuclear,1928.503
2026/4/27 15:30,Other,81.543
2026/4/27 15:30,Other Renewable,11.755
2026/4/27 15:30,Solar,3084.41244
2026/4/27 15:30,Wind Onshore,0.0474
2026/4/27 15:45,Biomass,180.289
2026/4/27 15:45,Fossil Brown Coal/Lignite,100.416
2026/4/27 15:45,Fossil Gas,131.498
2026/4/27 15:45,Fossil Oil,0.084
2026/4/27 15:45,Hydro Run-of-river and Poundage,9.428
2026/4/27 15:45,Hydro Water Reservoir,9.487
2026/4/27 15:45,Nuclear,1927.166
2026/4/27 15:45,Other,71.29
2026/4/27 15:45,Other Renewable,11.161
2026/4/27 15:45,Solar,3327.11627
2026/4/27 15:45,Waste,2.023
2026/4/27 15:45,Wind Onshore,0.3224
2026/4/27 16:00,Biomass,183.043
2026/4/27 16:00,Fossil Brown Coal/Lignite,113.381
2026/4/27 16:00,Fossil Gas,139.308
2026/4/27 16:00,Fossil Oil,0.014
2026/4/27 16:00,Hydro Run-of-river and Poundage,9.608
2026/4/27 16:00,Hydro Water Reservoir,9.587
2026/4/27 16:00,Nuclear,1928.509
2026/4/27 16:00,Other,56.067
2026/4/27 16:00,Other Renewable,13.591
2026/4/27 16:00,Solar,3174.89418
2026/4/27 16:00,Waste,2.025
2026/4/27 16:00,Wind Onshore,0.32913
2026/4/27 16:15,Biomass,182.933
2026/4/27 16:15,Fossil Brown Coal/Lignite,121.466
2026/4/27 16:15,Fossil Gas,154.618
2026/4/27 16:15,Fossil Oil,0.0
2026/4/27 16:15,Hydro Run-of-river and Poundage,9.713
2026/4/27 16:15,Hydro Water Reservoir,10.933
2026/4/27 16:15,Nuclear,1929.325
2026/4/27 16:15,Other,50.143
2026/4/27 16:15,Other Renewable,14.357
2026/4/27 16:15,Solar,3057.98365
2026/4/27 16:15,Waste,2.023
2026/4/27 16:15,Wind Onshore,0.41611
2026/4/27 16:30,Biomass,182.929
2026/4/27 16:30,Fossil Brown Coal/Lignite,123.875
2026/4/27 16:30,Fossil Gas,165.337
2026/4/27 16:30,Fossil Oil,0.084
2026/4/27 16:30,Hydro Run-of-river and Poundage,9.792
2026/4/27 16:30,Hydro Water Reservoir,11.939
2026/4/27 16:30,Nuclear,1928.609
2026/4/27 16:30,Other,59.721
2026/4/27 16:30,Other Renewable,14.481
2026/4/27 16:30,Solar,2832.1125
2026/4/27 16:30,Waste,2.024
2026/4/27 16:30,Wind Onshore,0.63812
2026/4/27 16:45,Biomass,183.39
2026/4/27 16:45,Fossil Brown Coal/Lignite,126.001
2026/4/27 16:45,Fossil Gas,205.487
2026/4/27 16:45,Hydro Run-of-river and Poundage,9.805
2026/4/27 16:45,Hydro Water Reservoir,12.928
2026/4/27 16:45,Nuclear,1926.672
2026/4/27 16:45,Other,56.883
2026/4/27 16:45,Other Renewable,14.838
2026/4/27 16:45,Solar,2576.54655
2026/4/27 16:45,Waste,2.025
2026/4/27 16:45,Wind Onshore,0.65634
2026/4/27 17:00,Biomass,184.111
2026/4/27 17:00,Fossil Brown Coal/Lignite,138.794
2026/4/27 17:00,Fossil Gas,226.742
2026/4/27 17:00,Hydro Run-of-river and Poundage,10.085
2026/4/27 17:00,Hydro Water Reservoir,13.616
2026/4/27 17:00,Nuclear,1928.001
2026/4/27 17:00,Other,52.277
2026/4/27 17:00,Other Renewable,15.422
2026/4/27 17:00,Solar,2337.46308
2026/4/27 17:00,Waste,2.021
2026/4/27 17:00,Wind Onshore,0.97415
2026/4/27 17:15,Biomass,184.495
2026/4/27 17:15,Fossil Brown Coal/Lignite,145.288
2026/4/27 17:15,Fossil Gas,242.464
2026/4/27 17:15,Hydro Run-of-river and Poundage,10.104
2026/4/27 17:15,Hydro Water Reservoir,13.601
2026/4/27 17:15,Nuclear,1927.837
2026/4/27 17:15,Other,60.144
2026/4/27 17:15,Other Renewable,16.337
2026/4/27 17:15,Solar,2105.80248
2026/4/27 17:15,Waste,2.023
2026/4/27 17:15,Wind Onshore,1.46638
2026/4/27 17:30,Biomass,185.574
2026/4/27 17:30,Fossil Brown Coal/Lignite,166.159
2026/4/27 17:30,Fossil Gas,247.965
2026/4/27 17:30,Geothermal,0.265
2026/4/27 17:30,Hydro Run-of-river and Poundage,10.067
2026/4/27 17:30,Hydro Water Reservoir,13.609
2026/4/27 17:30,Nuclear,1927.431
2026/4/27 17:30,Other,50.065
2026/4/27 17:30,Other Renewable,15.694
2026/4/27 17:30,Solar,1735.15374
2026/4/27 17:30,Wind Onshore,2.30984
2026/4/27 17:45,Biomass,190.659
2026/4/27 17:45,Fossil Brown Coal/Lignite,171.865
2026/4/27 17:45,Fossil Gas,266.154
2026/4/27 17:45,Geothermal,0.214
2026/4/27 17:45,Hydro Run-of-river and Poundage,10.048
2026/4/27 17:45,Hydro Water Reservoir,13.604
2026/4/27 17:45,Nuclear,1926.137
2026/4/27 17:45,Other,53.698
2026/4/27 17:45,Other Renewable,15.435
2026/4/27 17:45,Solar,1389.44604
2026/4/27 17:45,Waste,2.021
2026/4/27 17:45,Wind Onshore,1.36342
2026/4/27 18:00,Biomass,193.412
2026/4/27 18:00,Fossil Brown Coal/Lignite,175.904
2026/4/27 18:00,Fossil Gas,321.257
2026/4/27 18:00,Geothermal,0.265
2026/4/27 18:00,Hydro Run-of-river and Poundage,11.044
2026/4/27 18:00,Hydro Water Reservoir,13.605
2026/4/27 18:00,Nuclear,1927.181
2026/4/27 18:00,Other,59.48
2026/4/27 18:00,Other Renewable,14.929
2026/4/27 18:00,Solar,1048.80788
2026/4/27 18:00,Waste,2.021
2026/4/27 18:00,Wind Onshore,1.55326
2026/4/27 18:15,Biomass,193.208
2026/4/27 18:15,Fossil Brown Coal/Lignite,177.591
2026/4/27 18:15,Fossil Gas,337.719
2026/4/27 18:15,Geothermal,0.265
2026/4/27 18:15,Hydro Run-of-river and Poundage,11.064
2026/4/27 18:15,Hydro Water Reservoir,13.603
2026/4/27 18:15,Nuclear,1928.205
2026/4/27 18:15,Other,63.089
2026/4/27 18:15,Other Renewable,14.916
2026/4/27 18:15,Solar,744.64631
2026/4/27 18:15,Waste,2.022
2026/4/27 18:15,Wind Onshore,1.40636
2026/4/27 18:30,Biomass,193.259
2026/4/27 18:30,Fossil Brown Coal/Lignite,177.517
2026/4/27 18:30,Fossil Gas,367.379
2026/4/27 18:30,Fossil Oil,0.01
2026/4/27 18:30,Hydro Run-of-river and Poundage,11.124
2026/4/27 18:30,Hydro Water Reservoir,13.599
2026/4/27 18:30,Nuclear,1926.875
2026/4/27 18:30,Other,66.136
2026/4/27 18:30,Other Renewable,15.155
2026/4/27 18:30,Solar,490.0098
2026/4/27 18:30,Waste,2.023
2026/4/27 18:30,Wind Onshore,0.66769
