date,category,value
2026/4/27 2:00,Biomass,343.0
2026/4/27 2:00,Fossil Coal-derived Gas,393.0
2026/4/27 2:00,Fossil Gas,6854.0
2026/4/27 2:00,Fossil Oil,32.0
2026/4/27 2:00,Geothermal,605.0
2026/4/27 2:00,Hydro Run-of-river and Poundage,2587.0
2026/4/27 2:00,Hydro Water Reservoir,396.0
2026/4/27 2:00,Other,1690.0
2026/4/27 2:00,Solar,0.0
2026/4/27 2:00,Waste,3.0
2026/4/27 2:00,Wind Offshore,0.0
2026/4/27 2:00,Wind Onshore,379.0
2026/4/27 2:15,Biomass,343.0
2026/4/27 2:15,Fossil Coal-derived Gas,395.0
2026/4/27 2:15,Fossil Gas,6801.0
2026/4/27 2:15,Fossil Oil,32.0
2026/4/27 2:15,Geothermal,605.0
2026/4/27 2:15,Hydro Run-of-river and Poundage,2569.0
2026/4/27 2:15,Hydro Water Reservoir,395.0
2026/4/27 2:15,Other,1693.0
2026/4/27 2:15,Solar,0.0
2026/4/27 2:15,Waste,3.0
2026/4/27 2:15,Wind Offshore,0.0
2026/4/27 2:15,Wind Onshore,358.0
2026/4/27 2:30,Biomass,342.0
2026/4/27 2:30,Fossil Coal-derived Gas,394.0
2026/4/27 2:30,Fossil Gas,7028.0
2026/4/27 2:30,Fossil Oil,30.0
2026/4/27 2:30,Geothermal,605.0
2026/4/27 2:30,Hydro Run-of-river and Poundage,2566.0
2026/4/27 2:30,Other,1689.0
2026/4/27 2:30,Solar,0.0
2026/4/27 2:30,Waste,3.0
2026/4/27 2:30,Wind Offshore,0.0
2026/4/27 2:30,Wind Onshore,346.0
2026/4/27 2:45,Biomass,342.0
2026/4/27 2:45,Fossil Coal-derived Gas,395.0
2026/4/27 2:45,Fossil Gas,7082.0
2026/4/27 2:45,Fossil Oil,30.0
2026/4/27 2:45,Geothermal,605.0
2026/4/27 2:45,Hydro Run-of-river and Poundage,2573.0
2026/4/27 2:45,Hydro Water Reservoir,394.0
2026/4/27 2:45,Solar,0.0
2026/4/27 2:45,Waste,3.0
2026/4/27 2:45,Wind Offshore,0.0
2026/4/27 2:45,Wind Onshore,342.0
2026/4/27 3:00,Biomass,342.0
2026/4/27 3:00,Fossil Coal-derived Gas,394.0
2026/4/27 3:00,Fossil Gas,7181.0
2026/4/27 3:00,Fossil Oil,30.0
2026/4/27 3:00,Hydro Run-of-river and Poundage,2565.0
2026/4/27 3:00,Hydro Water Reservoir,384.0
2026/4/27 3:00,Other,1687.0
2026/4/27 3:00,Wind Onshore,341.0
2026/4/27 3:15,Biomass,343.0
2026/4/27 3:15,Fossil Gas,6974.0
2026/4/27 3:15,Fossil Oil,31.0
2026/4/27 3:15,Hydro Run-of-river and Poundage,2564.0
2026/4/27 3:15,Hydro Water Reservoir,391.0
2026/4/27 3:15,Other,1683.0
2026/4/27 3:15,Wind Onshore,333.0
2026/4/27 3:30,Biomass,345.0
2026/4/27 3:30,Fossil Coal-derived Gas,393.0
2026/4/27 3:30,Fossil Gas,7003.0
2026/4/27 3:30,Fossil Oil,30.0
2026/4/27 3:30,Hydro Run-of-river and Poundage,2562.0
2026/4/27 3:30,Hydro Water Reservoir,395.0
2026/4/27 3:30,Other,1684.0
2026/4/27 3:30,Wind Onshore,315.0
2026/4/27 3:45,Biomass,342.0
2026/4/27 3:45,Fossil Coal-derived Gas,392.0
2026/4/27 3:45,Fossil Gas,7062.0
2026/4/27 3:45,Fossil Oil,31.0
2026/4/27 3:45,Geothermal,606.0
2026/4/27 3:45,Hydro Run-of-river and Poundage,2573.0
2026/4/27 3:45,Other,1686.0
2026/4/27 3:45,Wind Onshore,298.0
2026/4/27 4:00,Biomass,341.0
2026/4/27 4:00,Fossil Coal-derived Gas,394.0
2026/4/27 4:00,Fossil Gas,7065.0
2026/4/27 4:00,Fossil Oil,31.0
2026/4/27 4:00,Geothermal,605.0
2026/4/27 4:00,Hydro Run-of-river and Poundage,2600.0
2026/4/27 4:00,Wind Onshore,292.0
2026/4/27 4:15,Biomass,344.0
2026/4/27 4:15,Fossil Coal-derived Gas,392.0
2026/4/27 4:15,Fossil Gas,6926.0
2026/4/27 4:15,Fossil Oil,30.0
2026/4/27 4:15,Geothermal,606.0
2026/4/27 4:15,Hydro Run-of-river and Poundage,2602.0
2026/4/27 4:15,Other,1692.0
2026/4/27 4:15,Wind Onshore,281.0
2026/4/27 4:30,Biomass,334.0
2026/4/27 4:30,Fossil Gas,7049.0
2026/4/27 4:30,Fossil Oil,31.0
2026/4/27 4:30,Geothermal,605.0
2026/4/27 4:30,Hydro Run-of-river and Poundage,2614.0
2026/4/27 4:30,Other,1699.0
2026/4/27 4:30,Wind Onshore,271.0
2026/4/27 4:45,Biomass,331.0
2026/4/27 4:45,Fossil Coal-derived Gas,394.0
2026/4/27 4:45,Fossil Gas,7177.0
2026/4/27 4:45,Fossil Oil,30.0
2026/4/27 4:45,Hydro Pumped Storage,49.0
2026/4/27 4:45,Hydro Run-of-river and Poundage,2608.0
2026/4/27 4:45,Hydro Water Reservoir,406.0
2026/4/27 4:45,Other,1698.0
2026/4/27 4:45,Wind Onshore,254.0
2026/4/27 5:00,Biomass,333.0
2026/4/27 5:00,Fossil Coal-derived Gas,393.0
2026/4/27 5:00,Fossil Gas,7306.0
2026/4/27 5:00,Fossil Oil,31.0
2026/4/27 5:00,Geothermal,606.0
2026/4/27 5:00,Hydro Pumped Storage,146.0
2026/4/27 5:00,Hydro Run-of-river and Poundage,2664.0
2026/4/27 5:00,Hydro Water Reservoir,423.0
2026/4/27 5:00,Other,1700.0
2026/4/27 5:00,Wind Onshore,237.0
2026/4/27 5:15,Fossil Coal-derived Gas,394.0
2026/4/27 5:15,Fossil Gas,7477.0
2026/4/27 5:15,Fossil Oil,30.0
2026/4/27 5:15,Geothermal,605.0
2026/4/27 5:15,Hydro Pumped Storage,145.0
2026/4/27 5:15,Hydro Run-of-river and Poundage,2674.0
2026/4/27 5:15,Hydro Water Reservoir,424.0
2026/4/27 5:15,Other,1701.0
2026/4/27 5:15,Wind Onshore,238.0
2026/4/27 5:30,Fossil Coal-derived Gas,394.0
2026/4/27 5:30,Fossil Gas,7938.0
2026/4/27 5:30,Geothermal,606.0
2026/4/27 5:30,Hydro Pumped Storage,147.0
2026/4/27 5:30,Hydro Run-of-river and Poundage,2797.0
2026/4/27 5:30,Hydro Water Reservoir,425.0
2026/4/27 5:30,Other,1710.0
2026/4/27 5:30,Wind Onshore,240.0
2026/4/27 5:45,Biomass,340.0
2026/4/27 5:45,Fossil Coal-derived Gas,396.0
2026/4/27 5:45,Fossil Gas,8228.0
2026/4/27 5:45,Geothermal,606.0
2026/4/27 5:45,Hydro Run-of-river and Poundage,2888.0
2026/4/27 5:45,Hydro Water Reservoir,441.0
2026/4/27 5:45,Other,1709.0
2026/4/27 5:45,Wind Onshore,231.0
2026/4/27 6:00,Biomass,325.0
2026/4/27 6:00,Fossil Coal-derived Gas,394.0
2026/4/27 6:00,Fossil Gas,8426.0
2026/4/27 6:00,Hydro Pumped Storage,186.0
2026/4/27 6:00,Hydro Run-of-river and Poundage,3267.0
2026/4/27 6:00,Hydro Water Reservoir,581.0
2026/4/27 6:00,Other,1706.0
2026/4/27 6:00,Solar,23.0
2026/4/27 6:00,Wind Onshore,235.0
2026/4/27 6:15,Biomass,326.0
2026/4/27 6:15,Fossil Coal-derived Gas,393.0
2026/4/27 6:15,Fossil Gas,8684.0
2026/4/27 6:15,Hydro Pumped Storage,212.0
2026/4/27 6:15,Hydro Run-of-river and Poundage,3362.0
2026/4/27 6:15,Hydro Water Reservoir,649.0
2026/4/27 6:15,Other,1715.0
2026/4/27 6:15,Solar,127.0
2026/4/27 6:15,Wind Onshore,237.0
2026/4/27 6:30,Biomass,325.0
2026/4/27 6:30,Fossil Coal-derived Gas,394.0
2026/4/27 6:30,Fossil Gas,8633.0
2026/4/27 6:30,Hydro Pumped Storage,215.0
2026/4/27 6:30,Hydro Run-of-river and Poundage,3375.0
2026/4/27 6:30,Hydro Water Reservoir,646.0
2026/4/27 6:30,Other,1716.0
2026/4/27 6:30,Solar,370.0
2026/4/27 6:30,Wind Onshore,229.0
2026/4/27 6:45,Biomass,332.0
2026/4/27 6:45,Fossil Coal-derived Gas,392.0
2026/4/27 6:45,Fossil Gas,8580.0
2026/4/27 6:45,Hydro Pumped Storage,238.0
2026/4/27 6:45,Hydro Run-of-river and Poundage,3399.0
2026/4/27 6:45,Hydro Water Reservoir,676.0
2026/4/27 6:45,Other,1714.0
2026/4/27 6:45,Solar,825.0
2026/4/27 6:45,Waste,2.0
2026/4/27 6:45,Wind Onshore,231.0
2026/4/27 7:00,Biomass,343.0
2026/4/27 7:00,Fossil Coal-derived Gas,390.0
2026/4/27 7:00,Fossil Gas,8640.0
2026/4/27 7:00,Fossil Oil,31.0
2026/4/27 7:00,Geothermal,606.0
2026/4/27 7:00,Hydro Pumped Storage,931.0
2026/4/27 7:00,Hydro Run-of-river and Poundage,3659.0
2026/4/27 7:00,Hydro Water Reservoir,760.0
2026/4/27 7:00,Other,1703.0
2026/4/27 7:00,Solar,1570.0
2026/4/27 7:00,Waste,2.0
2026/4/27 7:00,Wind Onshore,228.0
2026/4/27 7:15,Biomass,347.0
2026/4/27 7:15,Fossil Coal-derived Gas,392.0
2026/4/27 7:15,Fossil Gas,8316.0
2026/4/27 7:15,Fossil Oil,30.0
2026/4/27 7:15,Geothermal,605.0
2026/4/27 7:15,Hydro Pumped Storage,878.0
2026/4/27 7:15,Hydro Run-of-river and Poundage,3652.0
2026/4/27 7:15,Hydro Water Reservoir,755.0
2026/4/27 7:15,Other,1708.0
2026/4/27 7:15,Solar,2562.0
2026/4/27 7:15,Waste,3.0
2026/4/27 7:15,Wind Onshore,230.0
2026/4/27 7:30,Fossil Coal-derived Gas,389.0
2026/4/27 7:30,Fossil Gas,7913.0
2026/4/27 7:30,Fossil Oil,31.0
2026/4/27 7:30,Geothermal,604.0
2026/4/27 7:30,Hydro Pumped Storage,872.0
2026/4/27 7:30,Hydro Run-of-river and Poundage,3649.0
2026/4/27 7:30,Hydro Water Reservoir,743.0
2026/4/27 7:30,Other,1701.0
2026/4/27 7:30,Solar,3741.0
2026/4/27 7:30,Waste,2.0
2026/4/27 7:30,Wind Onshore,219.0
2026/4/27 7:45,Biomass,346.0
2026/4/27 7:45,Fossil Coal-derived Gas,392.0
2026/4/27 7:45,Fossil Gas,7468.0
2026/4/27 7:45,Fossil Oil,31.0
2026/4/27 7:45,Geothermal,603.0
2026/4/27 7:45,Hydro Pumped Storage,871.0
2026/4/27 7:45,Hydro Run-of-river and Poundage,3645.0
2026/4/27 7:45,Hydro Water Reservoir,735.0
2026/4/27 7:45,Other,1702.0
2026/4/27 7:45,Solar,5042.0
2026/4/27 7:45,Waste,3.0
2026/4/27 7:45,Wind Onshore,194.0
2026/4/27 8:00,Biomass,348.0
2026/4/27 8:00,Fossil Gas,7534.0
2026/4/27 8:00,Hydro Pumped Storage,200.0
2026/4/27 8:00,Hydro Run-of-river and Poundage,3518.0
2026/4/27 8:00,Hydro Water Reservoir,656.0
2026/4/27 8:00,Other,1700.0
2026/4/27 8:00,Solar,6458.0
2026/4/27 8:00,Waste,3.0
2026/4/27 8:00,Wind Onshore,177.0
2026/4/27 8:15,Biomass,352.0
2026/4/27 8:15,Fossil Coal-derived Gas,391.0
2026/4/27 8:15,Fossil Gas,7169.0
2026/4/27 8:15,Hydro Pumped Storage,143.0
2026/4/27 8:15,Hydro Run-of-river and Poundage,3529.0
2026/4/27 8:15,Hydro Water Reservoir,640.0
2026/4/27 8:15,Other,1705.0
2026/4/27 8:15,Solar,7831.0
2026/4/27 8:15,Wind Onshore,158.0
2026/4/27 8:30,Biomass,355.0
2026/4/27 8:30,Fossil Coal-derived Gas,394.0
2026/4/27 8:30,Fossil Gas,6573.0
2026/4/27 8:30,Geothermal,602.0
2026/4/27 8:30,Hydro Pumped Storage,109.0
2026/4/27 8:30,Hydro Run-of-river and Poundage,3364.0
2026/4/27 8:30,Hydro Water Reservoir,631.0
2026/4/27 8:30,Other,1704.0
2026/4/27 8:30,Solar,9070.0
2026/4/27 8:30,Waste,1.0
