date,category,value
2026/4/27 2:00,Biomass,315.079
2026/4/27 2:00,Fossil Brown Coal/Lignite,2883.6
2026/4/27 2:00,Fossil Coal-derived Gas,144.473
2026/4/27 2:00,Fossil Gas,2575.704
2026/4/27 2:00,Fossil Hard Coal,5852.787
2026/4/27 2:00,Fossil Oil,179.535
2026/4/27 2:00,Hydro Pumped Storage,0.0
2026/4/27 2:00,Hydro Run-of-river and Poundage,84.538
2026/4/27 2:00,Hydro Water Reservoir,25.237
2026/4/27 2:00,Other,631.407
2026/4/27 2:00,Other Renewable,72.928
2026/4/27 2:00,Solar,0.0
2026/4/27 2:00,Wind Onshore,2026.374
2026/4/27 2:15,Biomass,312.71
2026/4/27 2:15,Fossil Brown Coal/Lignite,2888.785
2026/4/27 2:15,Fossil Coal-derived Gas,144.431
2026/4/27 2:15,Fossil Gas,2413.305
2026/4/27 2:15,Fossil Hard Coal,5872.787
2026/4/27 2:15,Fossil Oil,178.971
2026/4/27 2:15,Hydro Pumped Storage,16.602
2026/4/27 2:15,Hydro Run-of-river and Poundage,84.631
2026/4/27 2:15,Hydro Water Reservoir,25.237
2026/4/27 2:15,Other,631.053
2026/4/27 2:15,Other Renewable,72.909
2026/4/27 2:15,Solar,0.0
2026/4/27 2:15,Wind Onshore,2058.955
2026/4/27 2:30,Biomass,311.777
2026/4/27 2:30,Fossil Brown Coal/Lignite,2737.838
2026/4/27 2:30,Fossil Coal-derived Gas,144.184
2026/4/27 2:30,Fossil Gas,2330.254
2026/4/27 2:30,Fossil Hard Coal,5615.376
2026/4/27 2:30,Fossil Oil,180.053
2026/4/27 2:30,Hydro Pumped Storage,16.564
2026/4/27 2:30,Hydro Run-of-river and Poundage,85.033
2026/4/27 2:30,Hydro Water Reservoir,25.237
2026/4/27 2:30,Other,629.704
2026/4/27 2:30,Other Renewable,72.766
2026/4/27 2:30,Solar,0.0
2026/4/27 2:30,Wind Onshore,2166.409
2026/4/27 2:45,Biomass,322.741
2026/4/27 2:45,Fossil Brown Coal/Lignite,2782.492
2026/4/27 2:45,Fossil Coal-derived Gas,144.7
2026/4/27 2:45,Fossil Gas,2331.889
2026/4/27 2:45,Fossil Hard Coal,5430.759
2026/4/27 2:45,Fossil Oil,178.549
2026/4/27 2:45,Hydro Pumped Storage,16.602
2026/4/27 2:45,Hydro Run-of-river and Poundage,84.437
2026/4/27 2:45,Hydro Water Reservoir,25.237
2026/4/27 2:45,Other,630.852
2026/4/27 2:45,Other Renewable,72.848
2026/4/27 2:45,Solar,0.0
2026/4/27 2:45,Wind Onshore,2247.112
2026/4/27 3:00,Biomass,325.785
2026/4/27 3:00,Fossil Brown Coal/Lignite,2807.246
2026/4/27 3:00,Fossil Coal-derived Gas,144.477
2026/4/27 3:00,Fossil Gas,2353.715
2026/4/27 3:00,Fossil Hard Coal,5541.91
2026/4/27 3:00,Fossil Oil,179.75
2026/4/27 3:00,Hydro Pumped Storage,16.259
2026/4/27 3:00,Hydro Run-of-river and Poundage,84.536
2026/4/27 3:00,Hydro Water Reservoir,25.315
2026/4/27 3:00,Other,634.697
2026/4/27 3:00,Other Renewable,73.299
2026/4/27 3:00,Wind Onshore,2275.919
2026/4/27 3:15,Biomass,325.703
2026/4/27 3:15,Fossil Brown Coal/Lignite,2800.764
2026/4/27 3:15,Fossil Coal-derived Gas,144.602
2026/4/27 3:15,Fossil Gas,2343.85
2026/4/27 3:15,Fossil Hard Coal,5480.65
2026/4/27 3:15,Fossil Oil,181.089
2026/4/27 3:15,Hydro Pumped Storage,16.45
2026/4/27 3:15,Hydro Run-of-river and Poundage,84.63
2026/4/27 3:15,Hydro Water Reservoir,25.315
2026/4/27 3:15,Other,634.187
2026/4/27 3:15,Other Renewable,73.218
2026/4/27 3:15,Wind Onshore,2298.079
2026/4/27 3:30,Biomass,323.455
2026/4/27 3:30,Fossil Brown Coal/Lignite,2808.299
2026/4/27 3:30,Fossil Coal-derived Gas,146.265
2026/4/27 3:30,Fossil Gas,2333.763
2026/4/27 3:30,Fossil Hard Coal,5358.671
2026/4/27 3:30,Fossil Oil,178.953
2026/4/27 3:30,Hydro Pumped Storage,17.06
2026/4/27 3:30,Hydro Run-of-river and Poundage,84.829
2026/4/27 3:30,Hydro Water Reservoir,25.315
2026/4/27 3:30,Other,631.558
2026/4/27 3:30,Other Renewable,72.901
2026/4/27 3:30,Wind Onshore,2343.189
2026/4/27 3:45,Biomass,335.212
2026/4/27 3:45,Fossil Brown Coal/Lignite,2776.169
2026/4/27 3:45,Fossil Coal-derived Gas,145.58
2026/4/27 3:45,Fossil Gas,2398.493
2026/4/27 3:45,Fossil Hard Coal,5437.276
2026/4/27 3:45,Fossil Oil,177.915
2026/4/27 3:45,Hydro Pumped Storage,16.908
2026/4/27 3:45,Hydro Run-of-river and Poundage,84.531
2026/4/27 3:45,Hydro Water Reservoir,25.315
2026/4/27 3:45,Other,634.592
2026/4/27 3:45,Other Renewable,73.166
2026/4/27 3:45,Wind Onshore,2361.69
2026/4/27 4:00,Biomass,339.343
2026/4/27 4:00,Fossil Brown Coal/Lignite,2857.352
2026/4/27 4:00,Fossil Coal-derived Gas,153.202
2026/4/27 4:00,Fossil Gas,2418.815
2026/4/27 4:00,Fossil Hard Coal,5576.61
2026/4/27 4:00,Fossil Oil,176.805
2026/4/27 4:00,Hydro Pumped Storage,16.755
2026/4/27 4:00,Hydro Run-of-river and Poundage,84.554
2026/4/27 4:00,Hydro Water Reservoir,25.301
2026/4/27 4:00,Other,631.061
2026/4/27 4:00,Other Renewable,72.907
2026/4/27 4:00,Wind Onshore,2440.975
2026/4/27 4:15,Biomass,341.997
2026/4/27 4:15,Fossil Brown Coal/Lignite,2892.782
2026/4/27 4:15,Fossil Coal-derived Gas,152.718
2026/4/27 4:15,Fossil Gas,2388.477
2026/4/27 4:15,Fossil Hard Coal,5670.617
2026/4/27 4:15,Fossil Oil,178.147
2026/4/27 4:15,Hydro Pumped Storage,16.602
2026/4/27 4:15,Hydro Run-of-river and Poundage,84.655
2026/4/27 4:15,Hydro Water Reservoir,25.301
2026/4/27 4:15,Other,632.861
2026/4/27 4:15,Other Renewable,73.112
2026/4/27 4:15,Wind Onshore,2500.314
2026/4/27 4:30,Biomass,336.913
2026/4/27 4:30,Fossil Brown Coal/Lignite,2985.698
2026/4/27 4:30,Fossil Coal-derived Gas,152.824
2026/4/27 4:30,Fossil Gas,2421.934
2026/4/27 4:30,Fossil Hard Coal,5812.293
2026/4/27 4:30,Fossil Oil,176.911
2026/4/27 4:30,Hydro Pumped Storage,16.946
2026/4/27 4:30,Hydro Run-of-river and Poundage,84.659
2026/4/27 4:30,Hydro Water Reservoir,25.301
2026/4/27 4:30,Other,632.143
2026/4/27 4:30,Other Renewable,73.065
2026/4/27 4:30,Wind Onshore,2518.407
2026/4/27 4:45,Biomass,341.616
2026/4/27 4:45,Fossil Brown Coal/Lignite,3039.394
2026/4/27 4:45,Fossil Coal-derived Gas,152.938
2026/4/27 4:45,Fossil Gas,2415.657
2026/4/27 4:45,Fossil Hard Coal,5978.285
2026/4/27 4:45,Fossil Oil,175.398
2026/4/27 4:45,Hydro Pumped Storage,17.175
2026/4/27 4:45,Hydro Run-of-river and Poundage,84.952
2026/4/27 4:45,Hydro Water Reservoir,25.301
2026/4/27 4:45,Other,635.154
2026/4/27 4:45,Other Renewable,73.324
2026/4/27 4:45,Solar,25.433
2026/4/27 4:45,Wind Onshore,2535.812
2026/4/27 5:00,Biomass,337.702
2026/4/27 5:00,Fossil Brown Coal/Lignite,3274.69
2026/4/27 5:00,Fossil Coal-derived Gas,153.554
2026/4/27 5:00,Fossil Gas,2401.521
2026/4/27 5:00,Fossil Hard Coal,6142.159
2026/4/27 5:00,Fossil Oil,177.747
2026/4/27 5:00,Hydro Pumped Storage,16.602
2026/4/27 5:00,Hydro Run-of-river and Poundage,84.752
2026/4/27 5:00,Hydro Water Reservoir,25.292
2026/4/27 5:00,Other,634.966
2026/4/27 5:00,Other Renewable,73.251
2026/4/27 5:00,Solar,29.491
2026/4/27 5:00,Wind Onshore,2622.0
2026/4/27 5:15,Biomass,342.88
2026/4/27 5:15,Fossil Brown Coal/Lignite,3362.466
2026/4/27 5:15,Fossil Coal-derived Gas,153.538
2026/4/27 5:15,Fossil Gas,2380.704
2026/4/27 5:15,Fossil Hard Coal,6194.473
2026/4/27 5:15,Fossil Oil,176.963
2026/4/27 5:15,Hydro Pumped Storage,15.762
2026/4/27 5:15,Hydro Run-of-river and Poundage,84.452
2026/4/27 5:15,Hydro Water Reservoir,25.292
2026/4/27 5:15,Other,636.845
2026/4/27 5:15,Other Renewable,73.448
2026/4/27 5:15,Solar,135.639
2026/4/27 5:15,Wind Onshore,2630.705
2026/4/27 5:30,Biomass,344.691
2026/4/27 5:30,Fossil Brown Coal/Lignite,3494.838
2026/4/27 5:30,Fossil Coal-derived Gas,153.179
2026/4/27 5:30,Fossil Gas,2443.884
2026/4/27 5:30,Fossil Hard Coal,6342.837
2026/4/27 5:30,Fossil Oil,177.536
2026/4/27 5:30,Hydro Pumped Storage,16.449
2026/4/27 5:30,Hydro Run-of-river and Poundage,85.25
2026/4/27 5:30,Hydro Water Reservoir,25.292
2026/4/27 5:30,Other,643.74
2026/4/27 5:30,Other Renewable,74.183
2026/4/27 5:30,Solar,260.607
2026/4/27 5:30,Wind Onshore,2663.526
2026/4/27 5:45,Biomass,341.027
2026/4/27 5:45,Fossil Brown Coal/Lignite,3491.211
2026/4/27 5:45,Fossil Coal-derived Gas,153.842
2026/4/27 5:45,Fossil Gas,2475.299
2026/4/27 5:45,Fossil Hard Coal,6286.358
2026/4/27 5:45,Fossil Oil,178.729
2026/4/27 5:45,Hydro Pumped Storage,12.432
2026/4/27 5:45,Hydro Run-of-river and Poundage,84.952
2026/4/27 5:45,Hydro Water Reservoir,38.342
2026/4/27 5:45,Other,639.146
2026/4/27 5:45,Other Renewable,73.657
2026/4/27 5:45,Solar,500.633
2026/4/27 5:45,Wind Onshore,2625.437
2026/4/27 6:00,Biomass,344.012
2026/4/27 6:00,Fossil Brown Coal/Lignite,3575.16
2026/4/27 6:00,Fossil Coal-derived Gas,151.758
2026/4/27 6:00,Fossil Gas,2812.704
2026/4/27 6:00,Fossil Hard Coal,6420.417
2026/4/27 6:00,Fossil Oil,177.143
2026/4/27 6:00,Hydro Pumped Storage,305.8
2026/4/27 6:00,Hydro Run-of-river and Poundage,115.805
2026/4/27 6:00,Hydro Water Reservoir,48.813
2026/4/27 6:00,Other,650.457
2026/4/27 6:00,Other Renewable,74.936
2026/4/27 6:00,Solar,817.033
2026/4/27 6:00,Wind Onshore,2587.91
2026/4/27 6:15,Biomass,343.136
2026/4/27 6:15,Fossil Brown Coal/Lignite,3646.693
