date,category,value
2026/4/27 3:00,Biomass,39.0
2026/4/27 3:00,Fossil Brown Coal/Lignite,450.0
2026/4/27 3:00,Fossil Gas,352.0
2026/4/27 3:00,Fossil Hard Coal,0.0
2026/4/27 3:00,Hydro Run-of-river and Poundage,1201.0
2026/4/27 3:00,Hydro Water Reservoir,512.0
2026/4/27 3:00,Nuclear,1227.0
2026/4/27 3:00,Solar,0.0
2026/4/27 3:00,Wind Onshore,1146.0
2026/4/27 3:15,Biomass,39.0
2026/4/27 3:15,Fossil Brown Coal/Lignite,445.0
2026/4/27 3:15,Fossil Gas,351.0
2026/4/27 3:15,Fossil Hard Coal,0.0
2026/4/27 3:15,Hydro Run-of-river and Poundage,1201.0
2026/4/27 3:15,Hydro Water Reservoir,523.0
2026/4/27 3:15,Nuclear,1227.0
2026/4/27 3:15,Solar,0.0
2026/4/27 3:15,Wind Onshore,1148.0
2026/4/27 3:30,Biomass,38.0
2026/4/27 3:30,Fossil Brown Coal/Lignite,469.0
2026/4/27 3:30,Fossil Gas,354.0
2026/4/27 3:30,Fossil Hard Coal,0.0
2026/4/27 3:30,Hydro Run-of-river and Poundage,1201.0
2026/4/27 3:30,Hydro Water Reservoir,533.0
2026/4/27 3:30,Nuclear,1227.0
2026/4/27 3:30,Solar,0.0
2026/4/27 3:30,Wind Onshore,1019.0
2026/4/27 3:45,Biomass,38.0
2026/4/27 3:45,Fossil Brown Coal/Lignite,457.0
2026/4/27 3:45,Fossil Gas,351.0
2026/4/27 3:45,Fossil Hard Coal,0.0
2026/4/27 3:45,Hydro Run-of-river and Poundage,1203.0
2026/4/27 3:45,Hydro Water Reservoir,523.0
2026/4/27 3:45,Nuclear,1226.0
2026/4/27 3:45,Solar,0.0
2026/4/27 3:45,Wind Onshore,989.0
2026/4/27 4:00,Biomass,38.0
2026/4/27 4:00,Fossil Brown Coal/Lignite,474.0
2026/4/27 4:00,Fossil Gas,355.0
2026/4/27 4:00,Hydro Run-of-river and Poundage,1208.0
2026/4/27 4:00,Hydro Water Reservoir,534.0
2026/4/27 4:00,Nuclear,1226.0
2026/4/27 4:00,Wind Onshore,946.0
2026/4/27 4:15,Biomass,39.0
2026/4/27 4:15,Fossil Brown Coal/Lignite,475.0
2026/4/27 4:15,Fossil Gas,356.0
2026/4/27 4:15,Hydro Run-of-river and Poundage,1206.0
2026/4/27 4:15,Hydro Water Reservoir,544.0
2026/4/27 4:15,Nuclear,1226.0
2026/4/27 4:15,Wind Onshore,931.0
2026/4/27 4:30,Biomass,38.0
