date,category,value
2026/4/27 2:00,Biomass,39.0
2026/4/27 2:00,Fossil Brown Coal/Lignite,1910.0
2026/4/27 2:00,Fossil Gas,33.0
2026/4/27 2:00,Hydro Pumped Storage,0.0
2026/4/27 2:00,Hydro Run-of-river and Poundage,723.0
2026/4/27 2:00,Hydro Water Reservoir,0.0
2026/4/27 2:00,Other,18.0
2026/4/27 2:00,Wind Onshore,119.12
2026/4/27 2:15,Biomass,39.0
2026/4/27 2:15,Fossil Brown Coal/Lignite,1910.0
2026/4/27 2:15,Fossil Gas,33.0
2026/4/27 2:15,Hydro Pumped Storage,0.0
2026/4/27 2:15,Hydro Run-of-river and Poundage,723.0
2026/4/27 2:15,Hydro Water Reservoir,0.0
2026/4/27 2:15,Other,18.0
2026/4/27 2:15,Wind Onshore,119.12
2026/4/27 2:30,Biomass,39.0
2026/4/27 2:30,Fossil Brown Coal/Lignite,1910.0
2026/4/27 2:30,Fossil Gas,33.0
2026/4/27 2:30,Hydro Pumped Storage,0.0
2026/4/27 2:30,Hydro Run-of-river and Poundage,723.0
2026/4/27 2:30,Hydro Water Reservoir,0.0
2026/4/27 2:30,Other,18.0
2026/4/27 2:30,Wind Onshore,119.12
2026/4/27 2:45,Biomass,39.0
2026/4/27 2:45,Fossil Brown Coal/Lignite,1910.0
2026/4/27 2:45,Fossil Gas,33.0
2026/4/27 2:45,Hydro Pumped Storage,0.0
2026/4/27 2:45,Hydro Run-of-river and Poundage,723.0
2026/4/27 2:45,Hydro Water Reservoir,0.0
2026/4/27 2:45,Other,18.0
2026/4/27 2:45,Wind Onshore,119.12
2026/4/27 3:00,Biomass,40.0
2026/4/27 3:00,Fossil Brown Coal/Lignite,1830.0
2026/4/27 3:00,Hydro Run-of-river and Poundage,701.0
2026/4/27 3:00,Wind Onshore,118.481
2026/4/27 3:15,Biomass,40.0
2026/4/27 3:15,Fossil Brown Coal/Lignite,1830.0
2026/4/27 3:15,Hydro Run-of-river and Poundage,701.0
2026/4/27 3:15,Wind Onshore,118.481
2026/4/27 3:30,Biomass,40.0
2026/4/27 3:30,Fossil Brown Coal/Lignite,1830.0
2026/4/27 3:30,Hydro Run-of-river and Poundage,701.0
2026/4/27 3:30,Wind Onshore,118.481
2026/4/27 3:45,Biomass,40.0
2026/4/27 3:45,Fossil Brown Coal/Lignite,1830.0
2026/4/27 3:45,Hydro Run-of-river and Poundage,701.0
2026/4/27 3:45,Wind Onshore,118.481
2026/4/27 4:00,Biomass,39.0
2026/4/27 4:00,Fossil Brown Coal/Lignite,1841.0
2026/4/27 4:00,Hydro Run-of-river and Poundage,765.0
2026/4/27 4:00,Wind Onshore,104.423
2026/4/27 4:15,Biomass,39.0
2026/4/27 4:15,Fossil Brown Coal/Lignite,1841.0
2026/4/27 4:15,Hydro Run-of-river and Poundage,765.0
2026/4/27 4:15,Wind Onshore,104.423
2026/4/27 4:30,Biomass,39.0
2026/4/27 4:30,Fossil Brown Coal/Lignite,1841.0
2026/4/27 4:30,Hydro Run-of-river and Poundage,765.0
2026/4/27 4:30,Wind Onshore,104.423
2026/4/27 4:45,Biomass,39.0
2026/4/27 4:45,Fossil Brown Coal/Lignite,1841.0
2026/4/27 4:45,Hydro Run-of-river and Poundage,765.0
2026/4/27 4:45,Wind Onshore,104.423
2026/4/27 5:00,Fossil Brown Coal/Lignite,1830.0
2026/4/27 5:00,Hydro Run-of-river and Poundage,876.0
2026/4/27 5:00,Wind Onshore,143.546
2026/4/27 5:15,Fossil Brown Coal/Lignite,1830.0
2026/4/27 5:15,Hydro Run-of-river and Poundage,876.0
2026/4/27 5:15,Wind Onshore,143.546
2026/4/27 5:30,Fossil Brown Coal/Lignite,1830.0
2026/4/27 5:30,Hydro Run-of-river and Poundage,876.0
2026/4/27 5:30,Wind Onshore,143.546
2026/4/27 5:45,Fossil Brown Coal/Lignite,1830.0
2026/4/27 5:45,Hydro Run-of-river and Poundage,876.0
2026/4/27 5:45,Wind Onshore,143.546
2026/4/27 6:00,Fossil Brown Coal/Lignite,1908.0
2026/4/27 6:00,Hydro Run-of-river and Poundage,1164.0
2026/4/27 6:00,Wind Onshore,334.364
2026/4/27 6:15,Fossil Brown Coal/Lignite,1908.0
2026/4/27 6:15,Hydro Run-of-river and Poundage,1164.0
2026/4/27 6:15,Wind Onshore,334.364
2026/4/27 6:30,Fossil Brown Coal/Lignite,1908.0
2026/4/27 6:30,Hydro Run-of-river and Poundage,1164.0
2026/4/27 6:30,Wind Onshore,334.364
2026/4/27 6:45,Fossil Brown Coal/Lignite,1908.0
2026/4/27 6:45,Hydro Run-of-river and Poundage,1164.0
2026/4/27 6:45,Wind Onshore,334.364
2026/4/27 7:00,Fossil Brown Coal/Lignite,1866.0
2026/4/27 7:00,Fossil Gas,32.0
2026/4/27 7:00,Hydro Run-of-river and Poundage,1270.0
2026/4/27 7:00,Other,19.0
2026/4/27 7:00,Wind Onshore,365.723
2026/4/27 7:15,Fossil Brown Coal/Lignite,1866.0
2026/4/27 7:15,Fossil Gas,32.0
2026/4/27 7:15,Hydro Run-of-river and Poundage,1270.0
2026/4/27 7:15,Other,19.0
2026/4/27 7:15,Wind Onshore,365.723
2026/4/27 7:30,Fossil Brown Coal/Lignite,1866.0
2026/4/27 7:30,Fossil Gas,32.0
2026/4/27 7:30,Hydro Run-of-river and Poundage,1270.0
2026/4/27 7:30,Other,19.0
2026/4/27 7:30,Wind Onshore,365.723
2026/4/27 7:45,Fossil Brown Coal/Lignite,1866.0
2026/4/27 7:45,Fossil Gas,32.0
2026/4/27 7:45,Hydro Run-of-river and Poundage,1270.0
2026/4/27 7:45,Other,19.0
2026/4/27 7:45,Wind Onshore,365.723
2026/4/27 8:00,Biomass,40.0
2026/4/27 8:00,Fossil Brown Coal/Lignite,1875.0
2026/4/27 8:00,Hydro Run-of-river and Poundage,773.0
