date,category,value
2026/4/27 2:00,Biomass,117.4
2026/4/27 2:00,Fossil Brown Coal/Lignite,4.8
2026/4/27 2:00,Fossil Gas,249.4
2026/4/27 2:00,Fossil Hard Coal,0.0
2026/4/27 2:00,Fossil Oil,38.7
2026/4/27 2:00,Hydro Pumped Storage,2.0
2026/4/27 2:00,Hydro Run-of-river and Poundage,161.0
2026/4/27 2:00,Hydro Water Reservoir,2.0
2026/4/27 2:00,Nuclear,1969.9
2026/4/27 2:00,Other,69.4
2026/4/27 2:00,Other Renewable,53.1
2026/4/27 2:00,Solar,0.1
2026/4/27 2:00,Wind Onshore,0.2
2026/4/27 2:15,Biomass,117.4
2026/4/27 2:15,Fossil Brown Coal/Lignite,4.8
2026/4/27 2:15,Fossil Gas,249.4
2026/4/27 2:15,Fossil Hard Coal,0.0
2026/4/27 2:15,Fossil Oil,38.7
2026/4/27 2:15,Hydro Pumped Storage,2.0
2026/4/27 2:15,Hydro Run-of-river and Poundage,161.0
2026/4/27 2:15,Hydro Water Reservoir,2.0
2026/4/27 2:15,Nuclear,1969.9
2026/4/27 2:15,Other,69.4
2026/4/27 2:15,Other Renewable,53.1
2026/4/27 2:15,Solar,0.1
2026/4/27 2:15,Wind Onshore,0.2
2026/4/27 2:30,Biomass,117.4
2026/4/27 2:30,Fossil Brown Coal/Lignite,4.8
2026/4/27 2:30,Fossil Gas,249.4
2026/4/27 2:30,Fossil Hard Coal,0.0
2026/4/27 2:30,Fossil Oil,38.7
2026/4/27 2:30,Hydro Pumped Storage,2.0
2026/4/27 2:30,Hydro Run-of-river and Poundage,161.0
2026/4/27 2:30,Hydro Water Reservoir,2.0
2026/4/27 2:30,Nuclear,1969.9
2026/4/27 2:30,Other,69.4
2026/4/27 2:30,Other Renewable,53.1
2026/4/27 2:30,Solar,0.1
2026/4/27 2:30,Wind Onshore,0.2
2026/4/27 2:45,Biomass,117.4
2026/4/27 2:45,Fossil Brown Coal/Lignite,4.8
2026/4/27 2:45,Fossil Gas,249.4
2026/4/27 2:45,Fossil Hard Coal,0.0
2026/4/27 2:45,Fossil Oil,38.7
2026/4/27 2:45,Hydro Pumped Storage,2.0
2026/4/27 2:45,Hydro Run-of-river and Poundage,161.0
2026/4/27 2:45,Hydro Water Reservoir,2.0
2026/4/27 2:45,Nuclear,1969.9
2026/4/27 2:45,Other,69.4
2026/4/27 2:45,Other Renewable,53.1
2026/4/27 2:45,Solar,0.1
2026/4/27 2:45,Wind Onshore,0.2
2026/4/27 3:00,Biomass,119.6
2026/4/27 3:00,Fossil Gas,250.2
2026/4/27 3:00,Fossil Oil,38.6
2026/4/27 3:00,Hydro Run-of-river and Poundage,160.9
2026/4/27 3:00,Nuclear,1971.0
2026/4/27 3:00,Other,70.9
2026/4/27 3:00,Other Renewable,52.8
2026/4/27 3:15,Biomass,119.6
2026/4/27 3:15,Fossil Gas,250.2
2026/4/27 3:15,Fossil Oil,38.6
